#             eta             phi           depth             det    value      DetId
               -3              39               1              HB  1.08642   420041A7
               -3              40               1              HB  1.08642   420041A8
               -3              41               1              HB  1.08642   420041A9
               -3              42               1              HB  1.08642   420041AA
               -3              43               1              HB  1.08642   420041AB
               -3              44               1              HB  1.08642   420041AC
               -3              45               1              HB  1.08642   420041AD
               -3              46               1              HB  1.08642   420041AE
               -3              47               1              HB  1.08642   420041AF
               -3              48               1              HB  1.08642   420041B0
               -3              49               1              HB  1.08642   420041B1
               -3              50               1              HB  1.08642   420041B2
               -3              51               1              HB  1.08642   420041B3
               -3              52               1              HB  1.08642   420041B4
               -3              53               1              HB  1.08642   420041B5
               -3              54               1              HB  1.08642   420041B6
               -3              55               1              HB  1.08642   420041B7
               -3              56               1              HB  1.08642   420041B8
               -3              57               1              HB  1.08642   420041B9
               -3              58               1              HB  1.08642   420041BA
               -3              59               1              HB  1.08642   420041BB
               -3              60               1              HB  1.08642   420041BC
               -3              61               1              HB  1.08642   420041BD
               -3              62               1              HB  1.08642   420041BE
               -3              63               1              HB  1.08642   420041BF
               -3              64               1              HB  1.08642   420041C0
               -3              65               1              HB  1.08642   420041C1
               -3              66               1              HB  1.08642   420041C2
               -3              67               1              HB  1.08642   420041C3
               -3              68               1              HB  1.08642   420041C4
               -3              69               1              HB  1.08642   420041C5
               -3              70               1              HB  1.08642   420041C6
               -3              71               1              HB  1.08642   420041C7
               -3              72               1              HB  1.08642   420041C8
                3               1               1              HB  1.08638   42006181
                3               2               1              HB  1.08638   42006182
                3               3               1              HB  1.08638   42006183
                3               4               1              HB  1.08638   42006184
                3               5               1              HB  1.08638   42006185
                3               6               1              HB  1.08638   42006186
                3               7               1              HB  1.08638   42006187
                3               8               1              HB  1.08638   42006188
                3               9               1              HB  1.08638   42006189
                3              10               1              HB  1.08638   4200618A
                3              11               1              HB  1.08638   4200618B
                3              12               1              HB  1.08638   4200618C
                3              13               1              HB  1.08638   4200618D
                3              14               1              HB  1.08638   4200618E
                3              15               1              HB  1.08638   4200618F
                3              16               1              HB  1.08638   42006190
                3              17               1              HB  1.08638   42006191
                3              18               1              HB  1.08638   42006192
                3              19               1              HB  1.08638   42006193
                3              20               1              HB  1.08638   42006194
                3              21               1              HB  1.08638   42006195
                3              22               1              HB  1.08638   42006196
                3              23               1              HB  1.08638   42006197
                3              24               1              HB  1.08638   42006198
                3              25               1              HB  1.08638   42006199
                3              26               1              HB  1.08638   4200619A
                3              27               1              HB  1.08638   4200619B
                3              28               1              HB  1.08638   4200619C
                3              29               1              HB  1.08638   4200619D
                3              30               1              HB  1.08638   4200619E
                3              31               1              HB  1.08638   4200619F
                3              32               1              HB  1.08638   420061A0
                3              33               1              HB  1.08638   420061A1
                3              34               1              HB  1.08638   420061A2
                3              35               1              HB  1.08638   420061A3
                3              36               1              HB  1.08638   420061A4
                3              37               1              HB  1.08638   420061A5
                3              38               1              HB  1.08638   420061A6
                3              39               1              HB  1.08638   420061A7
                3              40               1              HB  1.08638   420061A8
                3              41               1              HB  1.08638   420061A9
                3              42               1              HB  1.08638   420061AA
                3              43               1              HB  1.08638   420061AB
                3              44               1              HB  1.08638   420061AC
                3              45               1              HB  1.08638   420061AD
                3              46               1              HB  1.08638   420061AE
                3              47               1              HB  1.08638   420061AF
                3              48               1              HB  1.08638   420061B0
                3              49               1              HB  1.08638   420061B1
                3              50               1              HB  1.08638   420061B2
                3              51               1              HB  1.08638   420061B3
                3              52               1              HB  1.08638   420061B4
                3              53               1              HB  1.08638   420061B5
                3              54               1              HB  1.08638   420061B6
                3              55               1              HB  1.08638   420061B7
                3              56               1              HB  1.08638   420061B8
                3              57               1              HB  1.08638   420061B9
                3              58               1              HB  1.08638   420061BA
                3              59               1              HB  1.08638   420061BB
                3              60               1              HB  1.08638   420061BC
                3              61               1              HB  1.08638   420061BD
                3              62               1              HB  1.08638   420061BE
                3              63               1              HB  1.08638   420061BF
                3              64               1              HB  1.08638   420061C0
                3              65               1              HB  1.08638   420061C1
                3              66               1              HB  1.08638   420061C2
                3              67               1              HB  1.08638   420061C3
                3              68               1              HB  1.08638   420061C4
                3              69               1              HB  1.08638   420061C5
                3              70               1              HB  1.08638   420061C6
                3              71               1              HB  1.08638   420061C7
                3              72               1              HB  1.08638   420061C8
               -4               1               1              HB  1.09256   42004201
               -4               2               1              HB  1.09256   42004202
               -4               3               1              HB  1.09256   42004203
               -4               4               1              HB  1.09256   42004204
               -4               5               1              HB  1.09256   42004205
               -4               6               1              HB  1.09256   42004206
               -4               7               1              HB  1.09256   42004207
               -4               8               1              HB  1.09256   42004208
               -4               9               1              HB  1.09256   42004209
               -4              10               1              HB  1.09256   4200420A
               -4              11               1              HB  1.09256   4200420B
               -4              12               1              HB  1.09256   4200420C
               -4              13               1              HB  1.09256   4200420D
               -4              14               1              HB  1.09256   4200420E
               -4              15               1              HB  1.09256   4200420F
               -4              16               1              HB  1.09256   42004210
               -4              17               1              HB  1.09256   42004211
               -4              18               1              HB  1.09256   42004212
               -4              19               1              HB  1.09256   42004213
               -4              20               1              HB  1.09256   42004214
               -4              21               1              HB  1.09256   42004215
               -4              22               1              HB  1.09256   42004216
               -4              23               1              HB  1.09256   42004217
               -4              24               1              HB  1.09256   42004218
               -4              25               1              HB  1.09256   42004219
               -4              26               1              HB  1.09256   4200421A
               -4              27               1              HB  1.09256   4200421B
               -4              28               1              HB  1.09256   4200421C
               -4              29               1              HB  1.09256   4200421D
               -4              30               1              HB  1.09256   4200421E
               -4              31               1              HB  1.09256   4200421F
               -4              32               1              HB  1.09256   42004220
               -4              33               1              HB  1.09256   42004221
               -4              34               1              HB  1.09256   42004222
               -4              35               1              HB  1.09256   42004223
               -4              36               1              HB  1.09256   42004224
               -4              37               1              HB  1.09256   42004225
               -4              38               1              HB  1.09256   42004226
               -4              39               1              HB  1.09256   42004227
               -4              40               1              HB  1.09256   42004228
               -4              41               1              HB  1.09256   42004229
               -4              42               1              HB  1.09256   4200422A
               -4              43               1              HB  1.09256   4200422B
               -4              44               1              HB  1.09256   4200422C
               -4              45               1              HB  1.09256   4200422D
               -4              46               1              HB  1.09256   4200422E
               -4              47               1              HB  1.09256   4200422F
               -4              48               1              HB  1.09256   42004230
               -4              49               1              HB  1.09256   42004231
               -4              50               1              HB  1.09256   42004232
               -4              51               1              HB  1.09256   42004233
               -4              52               1              HB  1.09256   42004234
               -4              53               1              HB  1.09256   42004235
               -4              54               1              HB  1.09256   42004236
               -4              55               1              HB  1.09256   42004237
               -4              56               1              HB  1.09256   42004238
               -4              57               1              HB  1.09256   42004239
               -4              58               1              HB  1.09256   4200423A
               -4              59               1              HB  1.09256   4200423B
               -4              60               1              HB  1.09256   4200423C
               -4              61               1              HB  1.09256   4200423D
               -4              62               1              HB  1.09256   4200423E
               -4              63               1              HB  1.09256   4200423F
               -4              64               1              HB  1.09256   42004240
               -4              65               1              HB  1.09256   42004241
               -4              66               1              HB  1.09256   42004242
               -4              67               1              HB  1.09256   42004243
               -4              68               1              HB  1.09256   42004244
               -4              69               1              HB  1.09256   42004245
               -4              70               1              HB  1.09256   42004246
               -4              71               1              HB  1.09256   42004247
               -4              72               1              HB  1.09256   42004248
                4               1               1              HB  1.09244   42006201
                4               2               1              HB  1.09244   42006202
                4               3               1              HB  1.09244   42006203
                4               4               1              HB  1.09244   42006204
                4               5               1              HB  1.09244   42006205
                4               6               1              HB  1.09244   42006206
                4               7               1              HB  1.09244   42006207
                4               8               1              HB  1.09244   42006208
                4               9               1              HB  1.09244   42006209
                4              10               1              HB  1.09244   4200620A
                4              11               1              HB  1.09244   4200620B
                4              12               1              HB  1.09244   4200620C
                4              13               1              HB  1.09244   4200620D
                4              14               1              HB  1.09244   4200620E
                4              15               1              HB  1.09244   4200620F
                4              16               1              HB  1.09244   42006210
                4              17               1              HB  1.09244   42006211
                4              18               1              HB  1.09244   42006212
                4              19               1              HB  1.09244   42006213
                4              20               1              HB  1.09244   42006214
