Physics Running																																																										
HB	HE	HE	HE	HE	HE	HE	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF
705	705	352	141	141	352	705	216	187	157	147	123	103	87	73	61	49	41	34	27	216	187	157	147	123	103	87	73	61	49	41	34	27	216	187	157	147	123	103	87	73	61	49	41	34	27	216	187	157	147	123	103	87	73	61	49	41	34	27
743	743	371	148	148	371	743	228	197	166	155	130	109	91	77	64	51	43	36	28	228	197	166	155	130	109	91	77	64	51	43	36	28	228	197	166	155	130	109	91	77	64	51	43	36	28	228	197	166	155	130	109	91	77	64	51	43	36	28
793	793	396	158	158	396	793	243	211	177	165	138	116	98	82	69	55	46	38	30	243	211	177	165	138	116	98	82	69	55	46	38	30	243	211	177	165	138	116	98	82	69	55	46	38	30	243	211	177	165	138	116	98	82	69	55	46	38	30
843	843	421	168	168	421	843	258	224	188	175	147	124	104	87	73	58	49	41	32	258	224	188	175	147	124	104	87	73	58	49	41	32	258	224	188	175	147	124	104	87	73	58	49	41	32	258	224	188	175	147	124	104	87	73	58	49	41	32
893	893	446	178	178	446	893	273	237	199	186	156	131	110	92	77	62	52	43	34	273	237	199	186	156	131	110	92	77	62	52	43	34	273	237	199	186	156	131	110	92	77	62	52	43	34	273	237	199	186	156	131	110	92	77	62	52	43	34
943	943	471	188	188	471	943	289	250	210	196	165	138	116	97	82	65	54	46	36	289	250	210	196	165	138	116	97	82	65	54	46	36	289	250	210	196	165	138	116	97	82	65	54	46	36	289	250	210	196	165	138	116	97	82	65	54	46	36
993	993	496	198	198	496	993	304	264	221	207	173	145	122	102	86	68	57	48	38	304	264	221	207	173	145	122	102	86	68	57	48	38	304	264	221	207	173	145	122	102	86	68	57	48	38	304	264	221	207	173	145	122	102	86	68	57	48	38
1043	1043	521	208	208	521	1043	319	277	233	217	182	153	128	108	90	72	60	50	40	319	277	233	217	182	153	128	108	90	72	60	50	40	319	277	233	217	182	153	128	108	90	72	60	50	40	319	277	233	217	182	153	128	108	90	72	60	50	40
1105	1105	552	221	221	552	1105	338	293	246	230	193	162	136	114	96	76	64	53	42	338	293	246	230	193	162	136	114	96	76	64	53	42	338	293	246	230	193	162	136	114	96	76	64	53	42	338	293	246	230	193	162	136	114	96	76	64	53	42
1180	1180	590	236	236	590	1180	361	313	263	246	206	173	145	122	102	81	68	57	45	361	313	263	246	206	173	145	122	102	81	68	57	45	361	313	263	246	206	173	145	122	102	81	68	57	45	361	313	263	246	206	173	145	122	102	81	68	57	45
1255	1255	627	251	251	627	1255	384	333	280	261	219	184	154	129	109	87	73	61	48	384	333	280	261	219	184	154	129	109	87	73	61	48	384	333	280	261	219	184	154	129	109	87	73	61	48	384	333	280	261	219	184	154	129	109	87	73	61	48
1330	1330	665	266	266	665	1330	407	353	297	277	232	195	164	137	115	92	77	64	51	407	353	297	277	232	195	164	137	115	92	77	64	51	407	353	297	277	232	195	164	137	115	92	77	64	51	407	353	297	277	232	195	164	137	115	92	77	64	51
1418	1418	709	283	283	709	1418	434	376	316	295	248	208	174	146	123	98	82	69	54	434	376	316	295	248	208	174	146	123	98	82	69	54	434	376	316	295	248	208	174	146	123	98	82	69	54	434	376	316	295	248	208	174	146	123	98	82	69	54
1518	1518	759	303	303	759	1518	464	403	338	316	265	222	187	157	131	105	88	74	58	464	403	338	316	265	222	187	157	131	105	88	74	58	464	403	338	316	265	222	187	157	131	105	88	74	58	464	403	338	316	265	222	187	157	131	105	88	74	58
1618	1618	809	323	323	809	1618	495	429	361	336	282	237	199	167	140	112	94	78	62	495	429	361	336	282	237	199	167	140	112	94	78	62	495	429	361	336	282	237	199	167	140	112	94	78	62	495	429	361	336	282	237	199	167	140	112	94	78	62
1730	1730	865	346	346	865	1730	529	459	386	360	302	254	213	178	150	119	100	84	66	529	459	386	360	302	254	213	178	150	119	100	84	66	529	459	386	360	302	254	213	178	150	119	100	84	66	529	459	386	360	302	254	213	178	150	119	100	84	66
1855	1855	927	371	371	927	1855	568	492	413	386	324	272	228	191	161	128	107	90	71	568	492	413	386	324	272	228	191	161	128	107	90	71	568	492	413	386	324	272	228	191	161	128	107	90	71	568	492	413	386	324	272	228	191	161	128	107	90	71
1980	1980	990	396	396	990	1980	606	525	441	412	346	290	244	204	171	137	115	96	76	606	525	441	412	346	290	244	204	171	137	115	96	76	606	525	441	412	346	290	244	204	171	137	115	96	76	606	525	441	412	346	290	244	204	171	137	115	96	76
1855	1855	927	371	371	927	1855	568	492	413	386	324	272	228	191	161	128	107	90	71	568	492	413	386	324	272	228	191	161	128	107	90	71	568	492	413	386	324	272	228	191	161	128	107	90	71	568	492	413	386	324	272	228	191	161	128	107	90	71
1980	1980	990	396	396	990	1980	606	525	441	412	346	290	244	204	171	137	115	96	76	606	525	441	412	346	290	244	204	171	137	115	96	76	606	525	441	412	346	290	244	204	171	137	115	96	76	606	525	441	412	346	290	244	204	171	137	115	96	76
2105	2105	1052	421	421	1052	2105	644	558	469	438	367	308	259	217	182	145	122	102	80	644	558	469	438	367	308	259	217	182	145	122	102	80	644	558	469	438	367	308	259	217	182	145	122	102	80	644	558	469	438	367	308	259	217	182	145	122	102	80
2230	2230	1115	446	446	1115	2230	682	592	497	464	389	327	274	230	193	154	129	108	85	682	592	497	464	389	327	274	230	193	154	129	108	85	682	592	497	464	389	327	274	230	193	154	129	108	85	682	592	497	464	389	327	274	230	193	154	129	108	85
2355	2355	1177	471	471	1177	2355	720	625	525	490	411	345	290	243	204	163	136	114	90	720	625	525	490	411	345	290	243	204	163	136	114	90	720	625	525	490	411	345	290	243	204	163	136	114	90	720	625	525	490	411	345	290	243	204	163	136	114	90
2480	2480	1240	496	496	1240	2480	758	658	552	516	433	363	305	256	215	171	144	120	95	758	658	552	516	433	363	305	256	215	171	144	120	95	758	658	552	516	433	363	305	256	215	171	144	120	95	758	658	552	516	433	363	305	256	215	171	144	120	95
2605	2605	1302	521	521	1302	2605	797	691	580	541	455	382	321	269	226	180	151	126	100	797	691	580	541	455	382	321	269	226	180	151	126	100	797	691	580	541	455	382	321	269	226	180	151	126	100	797	691	580	541	455	382	321	269	226	180	151	126	100
2730	2730	1365	546	546	1365	2730	835	724	608	567	476	400	336	282	236	189	158	133	104	835	724	608	567	476	400	336	282	236	189	158	133	104	835	724	608	567	476	400	336	282	236	189	158	133	104	835	724	608	567	476	400	336	282	236	189	158	133	104
2855	2855	1427	571	571	1427	2855	873	757	636	593	498	418	351	295	247	197	165	139	109	873	757	636	593	498	418	351	295	247	197	165	139	109	873	757	636	593	498	418	351	295	247	197	165	139	109	873	757	636	593	498	418	351	295	247	197	165	139	109
2980	2980	1490	596	596	1490	2980	911	790	664	619	520	437	367	307	258	206	173	145	114	911	790	664	619	520	437	367	307	258	206	173	145	114	911	790	664	619	520	437	367	307	258	206	173	145	114	911	790	664	619	520	437	367	307	258	206	173	145	114
3105	3105	1552	621	621	1552	3105	949	823	692	645	542	455	382	320	269	215	180	151	119	949	823	692	645	542	455	382	320	269	215	180	151	119	949	823	692	645	542	455	382	320	269	215	180	151	119	949	823	692	645	542	455	382	320	269	215	180	151	119
3230	3230	1615	646	646	1615	3230	988	857	719	671	564	473	397	333	280	223	187	157	124	988	857	719	671	564	473	397	333	280	223	187	157	124	988	857	719	671	564	473	397	333	280	223	187	157	124	988	857	719	671	564	473	397	333	280	223	187	157	124
