# towers masked in DAQ
Crystal EE-99 58041 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE-99 58060 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE-99 59041 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE-99 59042 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE-99 59059 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE-99 59060 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE-99 60041 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE-99 60042 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE-99 60043 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE-99 60058 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE-99 60059 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE-99 60060 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE+99 41041 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE+99 41042 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE+99 41043 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE+99 41058 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE+99 41059 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE+99 41060 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE+99 42041 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE+99 42042 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE+99 42059 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE+99 42060 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE+99 43041 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE+99 43060 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE+99 58041 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE+99 58060 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE+99 59041 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE+99 59042 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE+99 59059 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE+99 59060 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE+99 60041 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE+99 60042 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE+99 60043 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE+99 60058 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE+99 60059 PHYSICS_BAD_CHANNEL_WARNING
Crystal EE+99 60060 PHYSICS_BAD_CHANNEL_WARNING
