#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
              -12               1               4              HB  0.0004517  0.0004517  0.0004517  0.0004517   43403001
              -13               1               1              HB  0.0012741  0.0012741  0.0012741  0.0012741   43103401
              -13               1               2              HB  0.0005914  0.0005914  0.0005914  0.0005914   43203401
              -13               1               3              HB  0.0005491  0.0005491  0.0005491  0.0005491   43303401
              -13               1               4              HB  0.0003893  0.0003893  0.0003893  0.0003893   43403401
              -14               1               1              HB  0.0012348  0.0012348  0.0012348  0.0012348   43103801
              -14               1               2              HB  0.0005346  0.0005346  0.0005346  0.0005346   43203801
              -14               1               3              HB  0.0004645  0.0004645  0.0004645  0.0004645   43303801
              -14               1               4              HB  0.0003510  0.0003510  0.0003510  0.0003510   43403801
              -15               1               1              HB  0.0011703  0.0011703  0.0011703  0.0011703   43103C01
              -15               1               2              HB  0.0005241  0.0005241  0.0005241  0.0005241   43203C01
              -15               1               3              HB  0.0004596  0.0004596  0.0004596  0.0004596   43303C01
              -15               1               4              HB  0.0003621  0.0003621  0.0003621  0.0003621   43403C01
              -16               1               1              HB  0.0013052  0.0013052  0.0013052  0.0013052   43104001
              -16               1               2              HB  0.0005454  0.0005454  0.0005454  0.0005454   43204001
              -16               1               3              HB  0.0003966  0.0003966  0.0003966  0.0003966   43304001
               -1               2               1              HB  0.0012793  0.0012793  0.0012793  0.0012793   43100402
               -1               2               2              HB  0.0007567  0.0007567  0.0007567  0.0007567   43200402
               -1               2               3              HB  0.0006274  0.0006274  0.0006274  0.0006274   43300402
               -1               2               4              HB  0.0005694  0.0005694  0.0005694  0.0005694   43400402
               -2               2               1              HB  0.0012211  0.0012211  0.0012211  0.0012211   43100802
               -2               2               2              HB  0.0007044  0.0007044  0.0007044  0.0007044   43200802
               -2               2               3              HB  0.0005666  0.0005666  0.0005666  0.0005666   43300802
               -2               2               4              HB  0.0005376  0.0005376  0.0005376  0.0005376   43400802
               -3               2               1              HB  0.0013303  0.0013303  0.0013303  0.0013303   43100C02
               -3               2               2              HB  0.0006143  0.0006143  0.0006143  0.0006143   43200C02
               -3               2               3              HB  0.0005221  0.0005221  0.0005221  0.0005221   43300C02
               -3               2               4              HB  0.0004915  0.0004915  0.0004915  0.0004915   43400C02
               -4               2               1              HB  0.0013228  0.0013228  0.0013228  0.0013228   43101002
               -4               2               2              HB  0.0006516  0.0006516  0.0006516  0.0006516   43201002
               -4               2               3              HB  0.0005826  0.0005826  0.0005826  0.0005826   43301002
               -4               2               4              HB  0.0004784  0.0004784  0.0004784  0.0004784   43401002
               -5               2               1              HB  0.0013707  0.0013707  0.0013707  0.0013707   43101402
               -5               2               2              HB  0.0006042  0.0006042  0.0006042  0.0006042   43201402
               -5               2               3              HB  0.0004988  0.0004988  0.0004988  0.0004988   43301402
               -5               2               4              HB  0.0004646  0.0004646  0.0004646  0.0004646   43401402
               -6               2               1              HB  0.0012371  0.0012371  0.0012371  0.0012371   43101802
               -6               2               2              HB  0.0005772  0.0005772  0.0005772  0.0005772   43201802
               -6               2               3              HB  0.0004873  0.0004873  0.0004873  0.0004873   43301802
               -6               2               4              HB  0.0004641  0.0004641  0.0004641  0.0004641   43401802
               -7               2               1              HB  0.0012813  0.0012813  0.0012813  0.0012813   43101C02
               -7               2               2              HB  0.0006177  0.0006177  0.0006177  0.0006177   43201C02
               -7               2               3              HB  0.0004909  0.0004909  0.0004909  0.0004909   43301C02
               -7               2               4              HB  0.0004549  0.0004549  0.0004549  0.0004549   43401C02
               -8               2               1              HB  0.0013415  0.0013415  0.0013415  0.0013415   43102002
               -8               2               2              HB  0.0005962  0.0005962  0.0005962  0.0005962   43202002
               -8               2               3              HB  0.0005285  0.0005285  0.0005285  0.0005285   43302002
               -8               2               4              HB  0.0004448  0.0004448  0.0004448  0.0004448   43402002
               -9               2               1              HB  0.0011649  0.0011649  0.0011649  0.0011649   43102402
               -9               2               2              HB  0.0006070  0.0006070  0.0006070  0.0006070   43202402
               -9               2               3              HB  0.0005181  0.0005181  0.0005181  0.0005181   43302402
               -9               2               4              HB  0.0004092  0.0004092  0.0004092  0.0004092   43402402
              -10               2               1              HB  0.0028908  0.0028908  0.0028908  0.0028908   43102802
              -10               2               2              HB  0.0005540  0.0005540  0.0005540  0.0005540   43202802
              -10               2               3              HB  0.0005390  0.0005390  0.0005390  0.0005390   43302802
              -10               2               4              HB  0.0004043  0.0004043  0.0004043  0.0004043   43402802
              -11               2               1              HB  0.0010406  0.0010406  0.0010406  0.0010406   43102C02
              -11               2               2              HB  0.0005648  0.0005648  0.0005648  0.0005648   43202C02
              -11               2               3              HB  0.0005141  0.0005141  0.0005141  0.0005141   43302C02
              -11               2               4              HB  0.0004064  0.0004064  0.0004064  0.0004064   43402C02
              -12               2               1              HB  0.0011579  0.0011579  0.0011579  0.0011579   43103002
              -12               2               2              HB  0.0005712  0.0005712  0.0005712  0.0005712   43203002
              -12               2               3              HB  0.0005583  0.0005583  0.0005583  0.0005583   43303002
              -12               2               4              HB  0.0004373  0.0004373  0.0004373  0.0004373   43403002
              -13               2               1              HB  0.0010022  0.0010022  0.0010022  0.0010022   43103402
              -13               2               2              HB  0.0005687  0.0005687  0.0005687  0.0005687   43203402
              -13               2               3              HB  0.0005509  0.0005509  0.0005509  0.0005509   43303402
              -13               2               4              HB  0.0003582  0.0003582  0.0003582  0.0003582   43403402
              -14               2               1              HB  0.0009800  0.0009800  0.0009800  0.0009800   43103802
              -14               2               2              HB  0.0005126  0.0005126  0.0005126  0.0005126   43203802
              -14               2               3              HB  0.0004800  0.0004800  0.0004800  0.0004800   43303802
              -14               2               4              HB  0.0003326  0.0003326  0.0003326  0.0003326   43403802
              -15               2               1              HB  0.0009108  0.0009108  0.0009108  0.0009108   43103C02
              -15               2               2              HB  0.0004649  0.0004649  0.0004649  0.0004649   43203C02
              -15               2               3              HB  0.0004012  0.0004012  0.0004012  0.0004012   43303C02
              -15               2               4              HB  0.0003097  0.0003097  0.0003097  0.0003097   43403C02
              -16               2               1              HB  0.0008444  0.0008444  0.0008444  0.0008444   43104002
              -16               2               2              HB  0.0005466  0.0005466  0.0005466  0.0005466   43204002
              -16               2               3              HB  0.0004289  0.0004289  0.0004289  0.0004289   43304002
               -1               3               1              HB  0.0013697  0.0013697  0.0013697  0.0013697   43100403
               -1               3               2              HB  0.0006651  0.0006651  0.0006651  0.0006651   43200403
               -1               3               3              HB  0.0005767  0.0005767  0.0005767  0.0005767   43300403
               -1               3               4              HB  0.0005059  0.0005059  0.0005059  0.0005059   43400403
               -2               3               1              HB  0.0028433  0.0028433  0.0028433  0.0028433   43100803
               -2               3               2              HB  0.0006448  0.0006448  0.0006448  0.0006448   43200803
               -2               3               3              HB  0.0005744  0.0005744  0.0005744  0.0005744   43300803
               -2               3               4              HB  0.0005069  0.0005069  0.0005069  0.0005069   43400803
               -3               3               1              HB  0.0012905  0.0012905  0.0012905  0.0012905   43100C03
               -3               3               2              HB  0.0006836  0.0006836  0.0006836  0.0006836   43200C03
               -3               3               3              HB  0.0005777  0.0005777  0.0005777  0.0005777   43300C03
               -3               3               4              HB  0.0004772  0.0004772  0.0004772  0.0004772   43400C03
               -4               3               1              HB  0.0012575  0.0012575  0.0012575  0.0012575   43101003
               -4               3               2              HB  0.0006320  0.0006320  0.0006320  0.0006320   43201003
               -4               3               3              HB  0.0005469  0.0005469  0.0005469  0.0005469   43301003
               -4               3               4              HB  0.0004613  0.0004613  0.0004613  0.0004613   43401003
               -5               3               1              HB  0.0012371  0.0012371  0.0012371  0.0012371   43101403
               -5               3               2              HB  0.0006378  0.0006378  0.0006378  0.0006378   43201403
               -5               3               3              HB  0.0005167  0.0005167  0.0005167  0.0005167   43301403
               -5               3               4              HB  0.0004748  0.0004748  0.0004748  0.0004748   43401403
               -6               3               1              HB  0.0012182  0.0012182  0.0012182  0.0012182   43101803
               -6               3               2              HB  0.0006040  0.0006040  0.0006040  0.0006040   43201803
               -6               3               3              HB  0.0005106  0.0005106  0.0005106  0.0005106   43301803
               -6               3               4              HB  0.0004565  0.0004565  0.0004565  0.0004565   43401803
               -7               3               1              HB  0.0012995  0.0012995  0.0012995  0.0012995   43101C03
               -7               3               2              HB  0.0006132  0.0006132  0.0006132  0.0006132   43201C03
               -7               3               3              HB  0.0005116  0.0005116  0.0005116  0.0005116   43301C03
               -7               3               4              HB  0.0004673  0.0004673  0.0004673  0.0004673   43401C03
               -8               3               1              HB  0.0011796  0.0011796  0.0011796  0.0011796   43102003
               -8               3               2              HB  0.0006750  0.0006750  0.0006750  0.0006750   43202003
               -8               3               3              HB  0.0004741  0.0004741  0.0004741  0.0004741   43302003
               -8               3               4              HB  0.0004817  0.0004817  0.0004817  0.0004817   43402003
               -9               3               1              HB  0.0011674  0.0011674  0.0011674  0.0011674   43102403
               -9               3               2              HB  0.0006295  0.0006295  0.0006295  0.0006295   43202403
               -9               3               3              HB  0.0004968  0.0004968  0.0004968  0.0004968   43302403
               -9               3               4              HB  0.0004510  0.0004510  0.0004510  0.0004510   43402403
              -10               3               1              HB  0.0011022  0.0011022  0.0011022  0.0011022   43102803
              -10               3               2              HB  0.0006761  0.0006761  0.0006761  0.0006761   43202803
              -10               3               3              HB  0.0005338  0.0005338  0.0005338  0.0005338   43302803
              -10               3               4              HB  0.0004568  0.0004568  0.0004568  0.0004568   43402803
              -11               3               1              HB  0.0011259  0.0011259  0.0011259  0.0011259   43102C03
              -11               3               2              HB  0.0006678  0.0006678  0.0006678  0.0006678   43202C03
              -11               3               3              HB  0.0005653  0.0005653  0.0005653  0.0005653   43302C03
              -11               3               4              HB  0.0004632  0.0004632  0.0004632  0.0004632   43402C03
              -12               3               1              HB  0.0012022  0.0012022  0.0012022  0.0012022   43103003
              -12               3               2              HB  0.0006867  0.0006867  0.0006867  0.0006867   43203003
              -12               3               3              HB  0.0005298  0.0005298  0.0005298  0.0005298   43303003
              -12               3               4              HB  0.0004631  0.0004631  0.0004631  0.0004631   43403003
              -13               3               1              HB  0.0012033  0.0012033  0.0012033  0.0012033   43103403
              -13               3               2              HB  0.0005838  0.0005838  0.0005838  0.0005838   43203403
              -13               3               3              HB  0.0005208  0.0005208  0.0005208  0.0005208   43303403
              -13               3               4              HB  0.0003767  0.0003767  0.0003767  0.0003767   43403403
              -14               3               1              HB  0.0010947  0.0010947  0.0010947  0.0010947   43103803
              -14               3               2              HB  0.0005460  0.0005460  0.0005460  0.0005460   43203803
              -14               3               3              HB  0.0004458  0.0004458  0.0004458  0.0004458   43303803
              -14               3               4              HB  0.0003351  0.0003351  0.0003351  0.0003351   43403803
              -15               3               1              HB  0.0010929  0.0010929  0.0010929  0.0010929   43103C03
              -15               3               2              HB  0.0004466  0.0004466  0.0004466  0.0004466   43203C03
              -15               3               3              HB  0.0004030  0.0004030  0.0004030  0.0004030   43303C03
              -15               3               4              HB  0.0003168  0.0003168  0.0003168  0.0003168   43403C03
              -16               3               1              HB  0.0008841  0.0008841  0.0008841  0.0008841   43104003
              -16               3               2              HB  0.0005140  0.0005140  0.0005140  0.0005140   43204003
              -16               3               3              HB  0.0003780  0.0003780  0.0003780  0.0003780   43304003
               -1               4               1              HB  0.0013877  0.0013877  0.0013877  0.0013877   43100404
               -1               4               2              HB  0.0007438  0.0007438  0.0007438  0.0007438   43200404
               -1               4               3              HB  0.0006834  0.0006834  0.0006834  0.0006834   43300404
               -1               4               4              HB  0.0005455  0.0005455  0.0005455  0.0005455   43400404
               -2               4               1              HB  0.0013421  0.0013421  0.0013421  0.0013421   43100804
               -2               4               2              HB  0.0006988  0.0006988  0.0006988  0.0006988   43200804
               -2               4               3              HB  0.0006657  0.0006657  0.0006657  0.0006657   43300804
               -2               4               4              HB  0.0004956  0.0004956  0.0004956  0.0004956   43400804
               -3               4               1              HB  0.0013576  0.0013576  0.0013576  0.0013576   43100C04
               -3               4               2              HB  0.0006566  0.0006566  0.0006566  0.0006566   43200C04
               -3               4               3              HB  0.0006605  0.0006605  0.0006605  0.0006605   43300C04
               -3               4               4              HB  0.0004672  0.0004672  0.0004672  0.0004672   43400C04
               -4               4               1              HB  0.0014766  0.0014766  0.0014766  0.0014766   43101004
               -4               4               2              HB  0.0007255  0.0007255  0.0007255  0.0007255   43201004
               -4               4               3              HB  0.0006724  0.0006724  0.0006724  0.0006724   43301004
               -4               4               4              HB  0.0004666  0.0004666  0.0004666  0.0004666   43401004
               -5               4               1              HB  0.0013406  0.0013406  0.0013406  0.0013406   43101404
               -5               4               2              HB  0.0006307  0.0006307  0.0006307  0.0006307   43201404
               -5               4               3              HB  0.0005900  0.0005900  0.0005900  0.0005900   43301404
               -5               4               4              HB  0.0004582  0.0004582  0.0004582  0.0004582   43401404
               -6               4               1              HB  0.0012713  0.0012713  0.0012713  0.0012713   43101804
               -6               4               2              HB  0.0006314  0.0006314  0.0006314  0.0006314   43201804
               -6               4               3              HB  0.0005610  0.0005610  0.0005610  0.0005610   43301804
               -6               4               4              HB  0.0004479  0.0004479  0.0004479  0.0004479   43401804
               -7               4               1              HB  0.0013524  0.0013524  0.0013524  0.0013524   43101C04
               -7               4               2              HB  0.0006712  0.0006712  0.0006712  0.0006712   43201C04
               -7               4               3              HB  0.0005769  0.0005769  0.0005769  0.0005769   43301C04
               -7               4               4              HB  0.0004589  0.0004589  0.0004589  0.0004589   43401C04
               -8               4               1              HB  0.0013234  0.0013234  0.0013234  0.0013234   43102004
               -8               4               2              HB  0.0007956  0.0007956  0.0007956  0.0007956   43202004
               -8               4               3              HB  0.0005857  0.0005857  0.0005857  0.0005857   43302004
               -8               4               4              HB  0.0004563  0.0004563  0.0004563  0.0004563   43402004
               -9               4               1              HB  0.0011140  0.0011140  0.0011140  0.0011140   43102404
               -9               4               2              HB  0.0007238  0.0007238  0.0007238  0.0007238   43202404
               -9               4               3              HB  0.0005314  0.0005314  0.0005314  0.0005314   43302404
               -9               4               4              HB  0.0004130  0.0004130  0.0004130  0.0004130   43402404
              -10               4               1              HB  0.0011052  0.0011052  0.0011052  0.0011052   43102804
              -10               4               2              HB  0.0006105  0.0006105  0.0006105  0.0006105   43202804
              -10               4               3              HB  0.0005731  0.0005731  0.0005731  0.0005731   43302804
              -10               4               4              HB  0.0004463  0.0004463  0.0004463  0.0004463   43402804
              -11               4               1              HB  0.0009754  0.0009754  0.0009754  0.0009754   43102C04
              -11               4               2              HB  0.0005995  0.0005995  0.0005995  0.0005995   43202C04
              -11               4               3              HB  0.0005313  0.0005313  0.0005313  0.0005313   43302C04
              -11               4               4              HB  0.0004205  0.0004205  0.0004205  0.0004205   43402C04
              -12               4               1              HB  0.0011265  0.0011265  0.0011265  0.0011265   43103004
              -12               4               2              HB  0.0006730  0.0006730  0.0006730  0.0006730   43203004
              -12               4               3              HB  0.0005465  0.0005465  0.0005465  0.0005465   43303004
              -12               4               4              HB  0.0004157  0.0004157  0.0004157  0.0004157   43403004
              -13               4               1              HB  0.0010857  0.0010857  0.0010857  0.0010857   43103404
              -13               4               2              HB  0.0005731  0.0005731  0.0005731  0.0005731   43203404
              -13               4               3              HB  0.0005406  0.0005406  0.0005406  0.0005406   43303404
              -13               4               4              HB  0.0003632  0.0003632  0.0003632  0.0003632   43403404
              -14               4               1              HB  0.0011515  0.0011515  0.0011515  0.0011515   43103804
              -14               4               2              HB  0.0005096  0.0005096  0.0005096  0.0005096   43203804
              -14               4               3              HB  0.0005076  0.0005076  0.0005076  0.0005076   43303804
              -14               4               4              HB  0.0003409  0.0003409  0.0003409  0.0003409   43403804
              -15               4               1              HB  0.0013739  0.0013739  0.0013739  0.0013739   43103C04
              -15               4               2              HB  0.0004943  0.0004943  0.0004943  0.0004943   43203C04
              -15               4               3              HB  0.0004517  0.0004517  0.0004517  0.0004517   43303C04
              -15               4               4              HB  0.0002946  0.0002946  0.0002946  0.0002946   43403C04
              -16               4               1              HB  0.0008439  0.0008439  0.0008439  0.0008439   43104004
              -16               4               2              HB  0.0005613  0.0005613  0.0005613  0.0005613   43204004
              -16               4               3              HB  0.0004333  0.0004333  0.0004333  0.0004333   43304004
               -1               5               1              HB  0.0015262  0.0015262  0.0015262  0.0015262   43100405
               -1               5               2              HB  0.0007438  0.0007438  0.0007438  0.0007438   43200405
               -1               5               3              HB  0.0005174  0.0005174  0.0005174  0.0005174   43300405
               -1               5               4              HB  0.0005348  0.0005348  0.0005348  0.0005348   43400405
               -2               5               1              HB  0.0015411  0.0015411  0.0015411  0.0015411   43100805
               -2               5               2              HB  0.0006986  0.0006986  0.0006986  0.0006986   43200805
               -2               5               3              HB  0.0005121  0.0005121  0.0005121  0.0005121   43300805
               -2               5               4              HB  0.0005147  0.0005147  0.0005147  0.0005147   43400805
               -3               5               1              HB  0.0014215  0.0014215  0.0014215  0.0014215   43100C05
               -3               5               2              HB  0.0006768  0.0006768  0.0006768  0.0006768   43200C05
               -3               5               3              HB  0.0004734  0.0004734  0.0004734  0.0004734   43300C05
               -3               5               4              HB  0.0004794  0.0004794  0.0004794  0.0004794   43400C05
               -4               5               1              HB  0.0012307  0.0012307  0.0012307  0.0012307   43101005
               -4               5               2              HB  0.0006077  0.0006077  0.0006077  0.0006077   43201005
               -4               5               3              HB  0.0004672  0.0004672  0.0004672  0.0004672   43301005
               -4               5               4              HB  0.0004717  0.0004717  0.0004717  0.0004717   43401005
               -5               5               1              HB  0.0014641  0.0014641  0.0014641  0.0014641   43101405
               -5               5               2              HB  0.0006970  0.0006970  0.0006970  0.0006970   43201405
               -5               5               3              HB  0.0005254  0.0005254  0.0005254  0.0005254   43301405
               -5               5               4              HB  0.0004894  0.0004894  0.0004894  0.0004894   43401405
               -6               5               1              HB  0.0013532  0.0013532  0.0013532  0.0013532   43101805
               -6               5               2              HB  0.0006988  0.0006988  0.0006988  0.0006988   43201805
               -6               5               3              HB  0.0005258  0.0005258  0.0005258  0.0005258   43301805
               -6               5               4              HB  0.0004906  0.0004906  0.0004906  0.0004906   43401805
               -7               5               1              HB  0.0013339  0.0013339  0.0013339  0.0013339   43101C05
               -7               5               2              HB  0.0007058  0.0007058  0.0007058  0.0007058   43201C05
               -7               5               3              HB  0.0005354  0.0005354  0.0005354  0.0005354   43301C05
               -7               5               4              HB  0.0005172  0.0005172  0.0005172  0.0005172   43401C05
               -8               5               1              HB  0.0013805  0.0013805  0.0013805  0.0013805   43102005
               -8               5               2              HB  0.0006380  0.0006380  0.0006380  0.0006380   43202005
               -8               5               3              HB  0.0004958  0.0004958  0.0004958  0.0004958   43302005
               -8               5               4              HB  0.0005043  0.0005043  0.0005043  0.0005043   43402005
               -9               5               1              HB  0.0014870  0.0014870  0.0014870  0.0014870   43102405
               -9               5               2              HB  0.0005974  0.0005974  0.0005974  0.0005974   43202405
               -9               5               3              HB  0.0004545  0.0004545  0.0004545  0.0004545   43302405
               -9               5               4              HB  0.0004555  0.0004555  0.0004555  0.0004555   43402405
              -10               5               1              HB  0.0013359  0.0013359  0.0013359  0.0013359   43102805
              -10               5               2              HB  0.0006813  0.0006813  0.0006813  0.0006813   43202805
              -10               5               3              HB  0.0005231  0.0005231  0.0005231  0.0005231   43302805
              -10               5               4              HB  0.0004455  0.0004455  0.0004455  0.0004455   43402805
              -11               5               1              HB  0.0012860  0.0012860  0.0012860  0.0012860   43102C05
              -11               5               2              HB  0.0006548  0.0006548  0.0006548  0.0006548   43202C05
              -11               5               3              HB  0.0005102  0.0005102  0.0005102  0.0005102   43302C05
              -11               5               4              HB  0.0004503  0.0004503  0.0004503  0.0004503   43402C05
              -12               5               1              HB  0.0013194  0.0013194  0.0013194  0.0013194   43103005
              -12               5               2              HB  0.0005961  0.0005961  0.0005961  0.0005961   43203005
              -12               5               3              HB  0.0005351  0.0005351  0.0005351  0.0005351   43303005
              -12               5               4              HB  0.0004836  0.0004836  0.0004836  0.0004836   43403005
              -13               5               1              HB  0.0012126  0.0012126  0.0012126  0.0012126   43103405
              -13               5               2              HB  0.0005631  0.0005631  0.0005631  0.0005631   43203405
              -13               5               3              HB  0.0005145  0.0005145  0.0005145  0.0005145   43303405
              -13               5               4              HB  0.0003879  0.0003879  0.0003879  0.0003879   43403405
              -14               5               1              HB  0.0012445  0.0012445  0.0012445  0.0012445   43103805
              -14               5               2              HB  0.0005144  0.0005144  0.0005144  0.0005144   43203805
              -14               5               3              HB  0.0004467  0.0004467  0.0004467  0.0004467   43303805
              -14               5               4              HB  0.0003619  0.0003619  0.0003619  0.0003619   43403805
              -15               5               1              HB  0.0012436  0.0012436  0.0012436  0.0012436   43103C05
              -15               5               2              HB  0.0005071  0.0005071  0.0005071  0.0005071   43203C05
              -15               5               3              HB  0.0003926  0.0003926  0.0003926  0.0003926   43303C05
              -15               5               4              HB  0.0003815  0.0003815  0.0003815  0.0003815   43403C05
              -16               5               1              HB  0.0007327  0.0007327  0.0007327  0.0007327   43104005
              -16               5               2              HB  0.0005169  0.0005169  0.0005169  0.0005169   43204005
              -16               5               3              HB  0.0003804  0.0003804  0.0003804  0.0003804   43304005
               -1               6               1              HB  0.0002989  0.0002989  0.0002989  0.0002989   43100406
               -1               6               2              HB  0.0008528  0.0008528  0.0008528  0.0008528   43200406
               -1               6               3              HB  0.0006104  0.0006104  0.0006104  0.0006104   43300406
               -1               6               4              HB  0.0005446  0.0005446  0.0005446  0.0005446   43400406
               -2               6               1              HB  0.0002657  0.0002657  0.0002657  0.0002657   43100806
               -2               6               2              HB  0.0007089  0.0007089  0.0007089  0.0007089   43200806
               -2               6               3              HB  0.0005521  0.0005521  0.0005521  0.0005521   43300806
               -2               6               4              HB  0.0005161  0.0005161  0.0005161  0.0005161   43400806
               -3               6               1              HB  0.0002980  0.0002980  0.0002980  0.0002980   43100C06
               -3               6               2              HB  0.0006186  0.0006186  0.0006186  0.0006186   43200C06
               -3               6               3              HB  0.0005958  0.0005958  0.0005958  0.0005958   43300C06
               -3               6               4              HB  0.0004857  0.0004857  0.0004857  0.0004857   43400C06
               -4               6               1              HB  0.0003020  0.0003020  0.0003020  0.0003020   43101006
               -4               6               2              HB  0.0006737  0.0006737  0.0006737  0.0006737   43201006
               -4               6               3              HB  0.0005817  0.0005817  0.0005817  0.0005817   43301006
               -4               6               4              HB  0.0004626  0.0004626  0.0004626  0.0004626   43401006
               -5               6               1              HB  0.0002892  0.0002892  0.0002892  0.0002892   43101406
               -5               6               2              HB  0.0007234  0.0007234  0.0007234  0.0007234   43201406
               -5               6               3              HB  0.0005841  0.0005841  0.0005841  0.0005841   43301406
               -5               6               4              HB  0.0004735  0.0004735  0.0004735  0.0004735   43401406
               -6               6               1              HB  0.0002668  0.0002668  0.0002668  0.0002668   43101806
               -6               6               2              HB  0.0006525  0.0006525  0.0006525  0.0006525   43201806
               -6               6               3              HB  0.0005209  0.0005209  0.0005209  0.0005209   43301806
               -6               6               4              HB  0.0004356  0.0004356  0.0004356  0.0004356   43401806
               -7               6               1              HB  0.0002808  0.0002808  0.0002808  0.0002808   43101C06
               -7               6               2              HB  0.0006456  0.0006456  0.0006456  0.0006456   43201C06
               -7               6               3              HB  0.0005391  0.0005391  0.0005391  0.0005391   43301C06
               -7               6               4              HB  0.0004333  0.0004333  0.0004333  0.0004333   43401C06
               -8               6               1              HB  0.0003517  0.0003517  0.0003517  0.0003517   43102006
               -8               6               2              HB  0.0006685  0.0006685  0.0006685  0.0006685   43202006
               -8               6               3              HB  0.0005891  0.0005891  0.0005891  0.0005891   43302006
               -8               6               4              HB  0.0004356  0.0004356  0.0004356  0.0004356   43402006
               -9               6               1              HB  0.0003124  0.0003124  0.0003124  0.0003124   43102406
               -9               6               2              HB  0.0006274  0.0006274  0.0006274  0.0006274   43202406
               -9               6               3              HB  0.0005149  0.0005149  0.0005149  0.0005149   43302406
               -9               6               4              HB  0.0004217  0.0004217  0.0004217  0.0004217   43402406
              -10               6               1              HB  0.0002852  0.0002852  0.0002852  0.0002852   43102806
              -10               6               2              HB  0.0005442  0.0005442  0.0005442  0.0005442   43202806
              -10               6               3              HB  0.0005151  0.0005151  0.0005151  0.0005151   43302806
              -10               6               4              HB  0.0004249  0.0004249  0.0004249  0.0004249   43402806
