#HE and HO  HPD map created according with  elog      
#i cr sl tb dcc spigot  fiber fibcha  subdet  ieta  iphi  depth
0 1  14  b 0 3 2 1 HB  6 13  1
0 1  14  b 0 3 1 1 HB  7 13  1
0 1  14  t 0 2 6 2 HB  8 13  1
0 1  14  t 0 2 2 1 HB  9 13  1
0 1  14  b 0 3 2 2 HB  6 33  1
0 1  14  t 0 2 6 1 HB  7 33  1
0 1  14  t 0 2 5 1 HB  8 33  1
0 1  14  t 0 2 2 2 HB  9 33  1







