INJECTION SCHEME : 100_150ns_648Pb_552_619_75_36bpi_20inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr
1,	1,	ring_1,	1,		100,		4,		0,	1
2,	1,	ring_2,	1,		100,		4,		0,	1
3,	2,	ring_1,	611,		100,		4,		450,	8
4,	2,	ring_2,	611,		100,		4,		450,	8
5,	3,	ring_1,	2311,		100,		4,		450,	9
6,	3,	ring_2,	2311,		100,		4,		450,	9
7,	4,	ring_1,	4191,		100,		4,		450,	9
8,	4,	ring_2,	4191,		100,		4,		450,	9
9,	5,	ring_2,	6071,		100,		4,		450,	9
10,	5,	ring_1,	6081,		100,		4,		450,	9
11,	6,	ring_1,	7971,		100,		4,		450,	6
12,	6,	ring_2,	7971,		100,		4,		450,	6
13,	7,	ring_1,	9341,		100,		4,		450,	9
14,	7,	ring_2,	9341,		100,		4,		450,	9
15,	8,	ring_1,	11221,		100,		4,		450,	9
16,	8,	ring_2,	11221,		100,		4,		450,	9
17,	9,	ring_1,	13101,		100,		4,		450,	9
18,	9,	ring_2,	13101,		100,		4,		450,	9
19,	10,	ring_1,	14981,		100,		4,		450,	9
20,	10,	ring_2,	14991,		100,		4,		450,	9
21,	11,	ring_2,	16881,		100,		4,		450,	6
22,	11,	ring_1,	16911,		100,		4,		450,	6
23,	12,	ring_1,	18251,		100,		4,		450,	9
24,	12,	ring_2,	18251,		100,		4,		450,	9
25,	13,	ring_1,	20131,		100,		4,		450,	9
26,	13,	ring_2,	20131,		100,		4,		450,	9
27,	14,	ring_1,	22011,		100,		4,		450,	9
28,	14,	ring_2,	22011,		100,		4,		450,	9
29,	15,	ring_1,	23891,		100,		4,		450,	9
30,	15,	ring_2,	23891,		100,		4,		450,	9
31,	16,	ring_1,	25821,		100,		4,		450,	6
32,	16,	ring_2,	25821,		100,		4,		450,	6
33,	17,	ring_1,	27161,		100,		4,		450,	9
34,	17,	ring_2,	27161,		100,		4,		450,	9
35,	18,	ring_1,	29041,		100,		4,		450,	9
36,	18,	ring_2,	29041,		100,		4,		450,	9
37,	19,	ring_1,	30921,		100,		4,		450,	9
38,	19,	ring_2,	30921,		100,		4,		450,	9
39,	20,	ring_1,	32801,		100,		4,		450,	9
40,	20,	ring_2,	32801,		100,		4,		450,	9
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/648
Tot number of B2 bunches(probe/Nominal) : 0/648

Tot number of B1 injections : 20
Tot number of B2 injections : 20

Collisions at IP1&5: 552
B1-empty at IP1&5: 96
B2-empty at IP1&5: 96
Empty-empty at IP1&5: 2820

Collisions at IP2: 619
B1-empty at IP2: 29
B2-empty at IP2: 29
Empty-empty at IP2: 2887

Collisions at IP8: 75
B1-empty at IP8: 573
B2-empty at IP8: 573
Empty-empty at IP8: 2343

LONG RANGE COLL IN IRIP1
RFbucketbeam1,RFbucketbeam2,z-pos/m
22771,22631,-52.41
22811,22671,-52.41
22911,22771,-52.41
22951,22811,-52.41
22991,22851,-52.41
23091,22951,-52.41
23131,22991,-52.41
23171,23031,-52.41
23271,23131,-52.41
23311,23171,-52.41
23351,23211,-52.41
23451,23311,-52.41
23491,23351,-52.41
23531,23391,-52.41
24071,23931,-52.41
24111,23971,-52.41
24151,24011,-52.41
24251,24111,-52.41
24291,24151,-52.41
24331,24191,-52.41
24431,24291,-52.41
24471,24331,-52.41
24511,24371,-52.41
24611,24471,-52.41
24651,24511,-52.41
24691,24551,-52.41
24791,24651,-52.41
24831,24691,-52.41
24871,24731,-52.41
24971,24831,-52.41
25011,24871,-52.41
25051,24911,-52.41
25151,25011,-52.41
25191,25051,-52.41
25231,25091,-52.41
25331,25191,-52.41
25371,25231,-52.41
25411,25271,-52.41
26001,25861,-52.41
26041,25901,-52.41
26081,25941,-52.41
26181,26041,-52.41
26221,26081,-52.41
26261,26121,-52.41
26361,26221,-52.41
26401,26261,-52.41
26441,26301,-52.41
26541,26401,-52.41
26581,26441,-52.41
26621,26481,-52.41
26721,26581,-52.41
26761,26621,-52.41
26801,26661,-52.41
27341,27201,-52.41
27381,27241,-52.41
27421,27281,-52.41
27521,27381,-52.41
27561,27421,-52.41
27601,27461,-52.41
27701,27561,-52.41
27741,27601,-52.41
27781,27641,-52.41
27881,27741,-52.41
27921,27781,-52.41
27961,27821,-52.41
28061,27921,-52.41
28101,27961,-52.41
28141,28001,-52.41
28241,28101,-52.41
28281,28141,-52.41
28321,28181,-52.41
28421,28281,-52.41
28461,28321,-52.41
28501,28361,-52.41
28601,28461,-52.41
28641,28501,-52.41
28681,28541,-52.41
29221,29081,-52.41
29261,29121,-52.41
29301,29161,-52.41
29401,29261,-52.41
29441,29301,-52.41
29481,29341,-52.41
29581,29441,-52.41
29621,29481,-52.41
29661,29521,-52.41
29761,29621,-52.41
29801,29661,-52.41
29841,29701,-52.41
29941,29801,-52.41
29981,29841,-52.41
30021,29881,-52.41
30121,29981,-52.41
30161,30021,-52.41
30201,30061,-52.41
30301,30161,-52.41
30341,30201,-52.41
30381,30241,-52.41
30481,30341,-52.41
30521,30381,-52.41
30561,30421,-52.41
31101,30961,-52.41
31141,31001,-52.41
31181,31041,-52.41
31281,31141,-52.41
31321,31181,-52.41
31361,31221,-52.41
31461,31321,-52.41
31501,31361,-52.41
31541,31401,-52.41
31641,31501,-52.41
31681,31541,-52.41
31721,31581,-52.41
31821,31681,-52.41
31861,31721,-52.41
31901,31761,-52.41
32001,31861,-52.41
32041,31901,-52.41
32081,31941,-52.41
32181,32041,-52.41
32221,32081,-52.41
32261,32121,-52.41
32361,32221,-52.41
32401,32261,-52.41
32441,32301,-52.41
32981,32841,-52.41
33021,32881,-52.41
33061,32921,-52.41
33161,33021,-52.41
33201,33061,-52.41
33241,33101,-52.41
33341,33201,-52.41
33381,33241,-52.41
33421,33281,-52.41
33521,33381,-52.41
33561,33421,-52.41
33601,33461,-52.41
33701,33561,-52.41
33741,33601,-52.41
33781,33641,-52.41
33881,33741,-52.41
33921,33781,-52.41
33961,33821,-52.41
34061,33921,-52.41
34101,33961,-52.41
34141,34001,-52.41
34241,34101,-52.41
34281,34141,-52.41
34321,34181,-52.41
6201,6071,-48.66
6381,6251,-48.66
6561,6431,-48.66
6741,6611,-48.66
6921,6791,-48.66
7101,6971,-48.66
7281,7151,-48.66
7461,7331,-48.66
7641,7511,-48.66
15161,15031,-48.66
15201,15071,-48.66
15241,15111,-48.66
15341,15211,-48.66
15381,15251,-48.66
15421,15291,-48.66
15521,15391,-48.66
15561,15431,-48.66
15601,15471,-48.66
15701,15571,-48.66
15741,15611,-48.66
15781,15651,-48.66
15881,15751,-48.66
15921,15791,-48.66
15961,15831,-48.66
16061,15931,-48.66
16101,15971,-48.66
16141,16011,-48.66
16241,16111,-48.66
16281,16151,-48.66
16321,16191,-48.66
16421,16291,-48.66
16461,16331,-48.66
16501,16371,-48.66
17091,16961,-48.66
17131,17001,-48.66
17271,17141,-48.66
17311,17181,-48.66
17451,17321,-48.66
17491,17361,-48.66
17631,17501,-48.66
17671,17541,-48.66
17811,17681,-48.66
17851,17721,-48.66
121,1,-44.92
731,611,-44.92
911,791,-44.92
1091,971,-44.92
1271,1151,-44.92
1451,1331,-44.92
1631,1511,-44.92
1811,1691,-44.92
1991,1871,-44.92
2431,2311,-44.92
2611,2491,-44.92
2791,2671,-44.92
2971,2851,-44.92
3151,3031,-44.92
3331,3211,-44.92
3511,3391,-44.92
3691,3571,-44.92
3871,3751,-44.92
4311,4191,-44.92
4491,4371,-44.92
4671,4551,-44.92
4851,4731,-44.92
5031,4911,-44.92
5211,5091,-44.92
5391,5271,-44.92
5571,5451,-44.92
5751,5631,-44.92
8091,7971,-44.92
8271,8151,-44.92
8451,8331,-44.92
8631,8511,-44.92
8811,8691,-44.92
8991,8871,-44.92
9461,9341,-44.92
9641,9521,-44.92
9821,9701,-44.92
10001,9881,-44.92
10181,10061,-44.92
10361,10241,-44.92
10541,10421,-44.92
10721,10601,-44.92
10901,10781,-44.92
11341,11221,-44.92
11521,11401,-44.92
11701,11581,-44.92
11881,11761,-44.92
12061,11941,-44.92
12241,12121,-44.92
12421,12301,-44.92
12601,12481,-44.92
12781,12661,-44.92
13221,13101,-44.92
13401,13281,-44.92
13581,13461,-44.92
13761,13641,-44.92
13941,13821,-44.92
14121,14001,-44.92
14301,14181,-44.92
14481,14361,-44.92
14661,14541,-44.92
18371,18251,-44.92
18551,18431,-44.92
18731,18611,-44.92
18911,18791,-44.92
19091,18971,-44.92
19271,19151,-44.92
19451,19331,-44.92
19631,19511,-44.92
19811,19691,-44.92
20251,20131,-44.92
20431,20311,-44.92
20611,20491,-44.92
20791,20671,-44.92
20971,20851,-44.92
21151,21031,-44.92
21331,21211,-44.92
21511,21391,-44.92
21691,21571,-44.92
22131,22011,-44.92
22311,22191,-44.92
22491,22371,-44.92
22671,22551,-44.92
22851,22731,-44.92
23031,22911,-44.92
23211,23091,-44.92
23391,23271,-44.92
23571,23451,-44.92
24011,23891,-44.92
24191,24071,-44.92
24371,24251,-44.92
24551,24431,-44.92
24731,24611,-44.92
24911,24791,-44.92
25091,24971,-44.92
25271,25151,-44.92
25451,25331,-44.92
25941,25821,-44.92
26121,26001,-44.92
26301,26181,-44.92
26481,26361,-44.92
26661,26541,-44.92
26841,26721,-44.92
27281,27161,-44.92
27461,27341,-44.92
27641,27521,-44.92
27821,27701,-44.92
28001,27881,-44.92
28181,28061,-44.92
28361,28241,-44.92
28541,28421,-44.92
28721,28601,-44.92
29161,29041,-44.92
29341,29221,-44.92
29521,29401,-44.92
29701,29581,-44.92
29881,29761,-44.92
30061,29941,-44.92
30241,30121,-44.92
30421,30301,-44.92
30601,30481,-44.92
31041,30921,-44.92
31221,31101,-44.92
31401,31281,-44.92
31581,31461,-44.92
31761,31641,-44.92
31941,31821,-44.92
32121,32001,-44.92
32301,32181,-44.92
32481,32361,-44.92
32921,32801,-44.92
33101,32981,-44.92
33281,33161,-44.92
33461,33341,-44.92
33641,33521,-44.92
33821,33701,-44.92
34001,33881,-44.92
34181,34061,-44.92
34361,34241,-44.92
6261,6151,-41.18
6301,6191,-41.18
6441,6331,-41.18
6481,6371,-41.18
6621,6511,-41.18
6661,6551,-41.18
6801,6691,-41.18
6841,6731,-41.18
6981,6871,-41.18
7021,6911,-41.18
7161,7051,-41.18
7201,7091,-41.18
7341,7231,-41.18
7381,7271,-41.18
7521,7411,-41.18
7561,7451,-41.18
15101,14991,-41.18
15281,15171,-41.18
15461,15351,-41.18
15641,15531,-41.18
15821,15711,-41.18
16001,15891,-41.18
16181,16071,-41.18
16361,16251,-41.18
16541,16431,-41.18
16991,16881,-41.18
17031,16921,-41.18
17171,17061,-41.18
17211,17101,-41.18
17351,17241,-41.18
17391,17281,-41.18
17531,17421,-41.18
17571,17461,-41.18
17711,17601,-41.18
17751,17641,-41.18
17891,17781,-41.18
17931,17821,-41.18
791,691,-37.43
831,731,-37.43
971,871,-37.43
1011,911,-37.43
1151,1051,-37.43
1191,1091,-37.43
1331,1231,-37.43
1371,1271,-37.43
1511,1411,-37.43
1551,1451,-37.43
1691,1591,-37.43
1731,1631,-37.43
1871,1771,-37.43
1911,1811,-37.43
2491,2391,-37.43
2531,2431,-37.43
2671,2571,-37.43
2711,2611,-37.43
2851,2751,-37.43
2891,2791,-37.43
3031,2931,-37.43
3071,2971,-37.43
3211,3111,-37.43
3251,3151,-37.43
3391,3291,-37.43
3431,3331,-37.43
3571,3471,-37.43
3611,3511,-37.43
3751,3651,-37.43
3791,3691,-37.43
4371,4271,-37.43
4411,4311,-37.43
4551,4451,-37.43
4591,4491,-37.43
4731,4631,-37.43
4771,4671,-37.43
4911,4811,-37.43
4951,4851,-37.43
5091,4991,-37.43
5131,5031,-37.43
5271,5171,-37.43
5311,5211,-37.43
5451,5351,-37.43
5491,5391,-37.43
5631,5531,-37.43
5671,5571,-37.43
8151,8051,-37.43
8191,8091,-37.43
8331,8231,-37.43
8371,8271,-37.43
8511,8411,-37.43
8551,8451,-37.43
8691,8591,-37.43
8731,8631,-37.43
8871,8771,-37.43
8911,8811,-37.43
9521,9421,-37.43
9561,9461,-37.43
9701,9601,-37.43
9741,9641,-37.43
9881,9781,-37.43
9921,9821,-37.43
10061,9961,-37.43
10101,10001,-37.43
10241,10141,-37.43
10281,10181,-37.43
10421,10321,-37.43
10461,10361,-37.43
10601,10501,-37.43
10641,10541,-37.43
10781,10681,-37.43
10821,10721,-37.43
11401,11301,-37.43
11441,11341,-37.43
11581,11481,-37.43
11621,11521,-37.43
11761,11661,-37.43
11801,11701,-37.43
11941,11841,-37.43
11981,11881,-37.43
12121,12021,-37.43
12161,12061,-37.43
12301,12201,-37.43
12341,12241,-37.43
12481,12381,-37.43
12521,12421,-37.43
12661,12561,-37.43
12701,12601,-37.43
13281,13181,-37.43
13321,13221,-37.43
13461,13361,-37.43
13501,13401,-37.43
13641,13541,-37.43
13681,13581,-37.43
13821,13721,-37.43
13861,13761,-37.43
14001,13901,-37.43
14041,13941,-37.43
14181,14081,-37.43
14221,14121,-37.43
14361,14261,-37.43
14401,14301,-37.43
14541,14441,-37.43
14581,14481,-37.43
18431,18331,-37.43
18471,18371,-37.43
18611,18511,-37.43
18651,18551,-37.43
18791,18691,-37.43
18831,18731,-37.43
18971,18871,-37.43
19011,18911,-37.43
19151,19051,-37.43
19191,19091,-37.43
19331,19231,-37.43
19371,19271,-37.43
19511,19411,-37.43
19551,19451,-37.43
19691,19591,-37.43
19731,19631,-37.43
20311,20211,-37.43
20351,20251,-37.43
20491,20391,-37.43
20531,20431,-37.43
20671,20571,-37.43
20711,20611,-37.43
20851,20751,-37.43
20891,20791,-37.43
21031,20931,-37.43
21071,20971,-37.43
21211,21111,-37.43
21251,21151,-37.43
21391,21291,-37.43
21431,21331,-37.43
21571,21471,-37.43
21611,21511,-37.43
22191,22091,-37.43
22231,22131,-37.43
22371,22271,-37.43
22411,22311,-37.43
22551,22451,-37.43
22591,22491,-37.43
22731,22631,-37.43
22771,22671,-37.43
22911,22811,-37.43
22951,22851,-37.43
23091,22991,-37.43
23131,23031,-37.43
23271,23171,-37.43
23311,23211,-37.43
23451,23351,-37.43
23491,23391,-37.43
24071,23971,-37.43
24111,24011,-37.43
24251,24151,-37.43
24291,24191,-37.43
24431,24331,-37.43
24471,24371,-37.43
24611,24511,-37.43
24651,24551,-37.43
24791,24691,-37.43
24831,24731,-37.43
24971,24871,-37.43
25011,24911,-37.43
25151,25051,-37.43
25191,25091,-37.43
25331,25231,-37.43
25371,25271,-37.43
26001,25901,-37.43
26041,25941,-37.43
26181,26081,-37.43
26221,26121,-37.43
26361,26261,-37.43
26401,26301,-37.43
26541,26441,-37.43
26581,26481,-37.43
26721,26621,-37.43
26761,26661,-37.43
27341,27241,-37.43
27381,27281,-37.43
27521,27421,-37.43
27561,27461,-37.43
27701,27601,-37.43
27741,27641,-37.43
27881,27781,-37.43
27921,27821,-37.43
28061,27961,-37.43
28101,28001,-37.43
28241,28141,-37.43
28281,28181,-37.43
28421,28321,-37.43
28461,28361,-37.43
28601,28501,-37.43
28641,28541,-37.43
29221,29121,-37.43
29261,29161,-37.43
29401,29301,-37.43
29441,29341,-37.43
29581,29481,-37.43
29621,29521,-37.43
29761,29661,-37.43
