mH_GeV  XS_pb    Err_Hi     Err_Lo Sca_Hi  Sca_Lo  Pdf_Hi  Pdf_Lo
178	    9.0926	 13.7      -14.5 	6.3	 	   -7	 	7.4		-7.5		
180	    8.8521	 13.6      -14.5 	6.2	 	   -7	 	7.4		-7.5		
182	    8.6143	 13.6      -14.5 	6.2	 	   -7	 	7.4		-7.5		
184	    8.3939	 13.6      -14.5 	6.2	 	   -7	 	7.4		-7.5		
186	    8.179	 13.5      -14.4 	6.1	 	   -6.9	 	7.4		-7.5		
188	    7.9739	 13.5      -14.4 	6.1	 	   -6.9	 	7.4		-7.5		
190	    7.7803	 13.5      -14.4 	6.1	 	   -6.9	 	7.4		-7.5		
192	    7.5975	 13.5      -14.5 	6.1	 	   -6.9	 	7.4		-7.6		
194	    7.4242	 13.5      -14.5 	6.1	 	   -6.9	 	7.4		-7.6		
196	    7.259	 13.4      -14.4 	6	 	   -6.8	 	7.4		-7.6		
198	    7.101	 13.4      -14.5 	6	 	   -6.8	 	7.4		-7.7		
200	    6.9497	 13.4      -14.5 	6	 	   -6.8	 	7.4		-7.7		
202	    6.8042	 13.4      -14.5 	6	 	   -6.8	 	7.4		-7.7		
204	    6.6642	 13.4      -14.5 	6	 	   -6.8	 	7.4		-7.7		
206	    6.5296	 13.4      -14.4 	6	 	   -6.7	 	7.4		-7.7		
208	    6.3999	 13.4      -14.5 	6	 	   -6.7	 	7.4		-7.8		
210	    6.2744	 13.4      -14.5 	6	 	   -6.7	 	7.4		-7.8		
212	    6.1533	 13.4      -14.4 	6	 	   -6.7	 	7.4		-7.7		
214	    6.0364	 13.4      -14.4 	6	 	   -6.7	 	7.4		-7.7		
216	    5.9234	 13.3      -14.3 	5.9	 	   -6.6	 	7.4		-7.7		
218	    5.8142	 13.3      -14.2 	5.9	 	   -6.6	 	7.4		-7.6		
220	    5.7085	 13.2      -14.2 	5.9	 	   -6.6	 	7.3		-7.6		
222	    5.6061	 13.2      -14.2 	5.9	 	   -6.6	 	7.3		-7.6		
224	    5.5071	 13.3      -14.2 	5.9	 	   -6.6	 	7.4		-7.6		
226	    5.4112	 13.3      -14.2 	5.9	 	   -6.6	 	7.4		-7.6		
228	    5.3183	 13.3      -14.2 	5.9	 	   -6.5	 	7.4		-7.7		
230	    5.2283	 13.3      -14.2 	5.9	 	   -6.5	 	7.4		-7.7		
232	    5.141	 13.3      -14.2 	5.9	 	   -6.5	 	7.4		-7.7		
234	    5.0563	 13.2      -14.2 	5.9	 	   -6.5	 	7.3		-7.7		
236	    4.974	 13.2      -14.2 	5.9	 	   -6.5	 	7.3		-7.7		
238	    4.8944	 13.2      -14.2 	5.9	 	   -6.5	 	7.3		-7.7		
240	    4.817	 13.2      -14.1 	5.9	 	   -6.4	 	7.3		-7.7		
242	    4.7418	 13.2      -14.1 	5.9	 	   -6.4	 	7.3		-7.7		
244	    4.6689	 13.2      -14.1 	5.9	 	   -6.4	 	7.3		-7.7		
246	    4.5981	 13.2      -14.1 	5.8	 	   -6.4	 	7.4		-7.7		
248	    4.5294	 13.2      -14.1 	5.8	 	   -6.4	 	7.4		-7.7		
250	    4.4627	 13.2      -14.1 	5.8	 	   -6.4	 	7.4		-7.7		
252	    4.398	 13.2      -14.1 	5.8	 	   -6.4	 	7.4		-7.7		
254	    4.3351	 13.3      -13.9 	5.8	 	   -6.3	 	7.5		-7.6		
256	    4.2741	 13.3      -13.8 	5.8	 	   -6.3	 	7.5		-7.5		
258	    4.2149	 13.3      -13.7 	5.8	 	   -6.3	 	7.5		-7.4		
260	    4.1574	 13.4      -13.7 	5.8	 	   -6.3	 	7.6		-7.4		
262	    4.1016	 13.4      -13.8 	5.8	 	   -6.3	 	7.6		-7.5		
264	    4.0709	 13.4      -13.9 	5.8	 	   -6.3	 	7.6		-7.6		
266	    3.9951	 13.4      -14   	5.8	 	   -6.3	 	7.6		-7.7		
268	    3.9442	 13.4      -14   	5.8	 	   -6.2	 	7.6		-7.8		
270	    3.8949	 13.4      -14.1 	5.8	 	   -6.2	 	7.6		-7.9		
272	    3.8471	 13.4      -14.1 	5.8	 	   -6.2	 	7.6		-7.9		
274	    3.8009	 13.4      -14.1 	5.8	 	   -6.2	 	7.6		-7.9		
276	    3.7561	 13.4      -14.2 	5.8	 	   -6.2	 	7.6		-8		
278	    3.7128	 13.3      -14.2 	5.7	 	   -6.2	 	7.6		-8		
280	    3.6709	 13.3      -14.2 	5.7	 	   -6.2	 	7.6		-8		
282	    3.6302	 13.3      -14.2 	5.7	 	   -6.2	 	7.6		-8		
