mH_GeV 	H_gg 	        H_gamgam 	H_Zgam  	H_WW 	        H_ZZ 	        Total_Width_GeV
85.50	 0.000E+00	 5.683E-01	 0.000E+00	 3.464E-01	 8.534E-02	 6.820E-06
85.75	 0.000E+00	 5.630E-01	 0.000E+00	 3.511E-01	 8.591E-02	 6.950E-06
86.00	 0.000E+00	 5.577E-01	 0.000E+00	 3.558E-01	 8.646E-02	 7.084E-06
86.25	 0.000E+00	 5.523E-01	 0.000E+00	 3.607E-01	 8.700E-02	 7.222E-06
86.50	 0.000E+00	 5.468E-01	 0.000E+00	 3.656E-01	 8.752E-02	 7.365E-06
86.75	 0.000E+00	 5.412E-01	 0.000E+00	 3.707E-01	 8.801E-02	 7.513E-06
87.00	 0.000E+00	 5.355E-01	 0.000E+00	 3.760E-01	 8.848E-02	 7.665E-06
87.25	 0.000E+00	 5.297E-01	 0.000E+00	 3.813E-01	 8.893E-02	 7.824E-06
87.50	 0.000E+00	 5.238E-01	 0.000E+00	 3.868E-01	 8.935E-02	 7.988E-06
87.75	 0.000E+00	 5.178E-01	 0.000E+00	 3.924E-01	 8.974E-02	 8.157E-06
88.00	 0.000E+00	 5.117E-01	 0.000E+00	 3.982E-01	 9.011E-02	 8.333E-06
88.25	 0.000E+00	 5.055E-01	 0.000E+00	 4.041E-01	 9.044E-02	 8.516E-06
88.50	 0.000E+00	 4.991E-01	 0.000E+00	 4.101E-01	 9.075E-02	 8.706E-06
88.75	 0.000E+00	 4.927E-01	 0.000E+00	 4.163E-01	 9.102E-02	 8.903E-06
89.00	 0.000E+00	 4.861E-01	 0.000E+00	 4.226E-01	 9.126E-02	 9.109E-06
89.25	 0.000E+00	 4.795E-01	 0.000E+00	 4.291E-01	 9.147E-02	 9.322E-06
89.50	 0.000E+00	 4.727E-01	 0.000E+00	 4.356E-01	 9.164E-02	 9.544E-06
89.75	 0.000E+00	 4.659E-01	 0.000E+00	 4.424E-01	 9.177E-02	 9.775E-06
90.00	 0.000E+00	 4.589E-01	 0.000E+00	 4.492E-01	 9.187E-02	 1.002E-05
90.25	 0.000E+00	 4.519E-01	 0.000E+00	 4.562E-01	 9.194E-02	 1.027E-05
90.50	 0.000E+00	 4.447E-01	 0.000E+00	 4.633E-01	 9.196E-02	 1.053E-05
90.75	 0.000E+00	 4.375E-01	 0.000E+00	 4.705E-01	 9.195E-02	 1.080E-05
91.00	 0.000E+00	 4.303E-01	 0.000E+00	 4.779E-01	 9.190E-02	 1.109E-05
91.25	 0.000E+00	 4.229E-01	 1.719E-08	 4.853E-01	 9.181E-02	 1.138E-05
91.50	 0.000E+00	 4.155E-01	 7.722E-07	 4.928E-01	 9.169E-02	 1.169E-05
91.75	 0.000E+00	 4.080E-01	 3.823E-06	 5.004E-01	 9.153E-02	 1.202E-05
92.00	 0.000E+00	 4.005E-01	 1.060E-05	 5.081E-01	 9.133E-02	 1.236E-05
92.25	 0.000E+00	 3.930E-01	 2.233E-05	 5.159E-01	 9.110E-02	 1.271E-05
92.50	 0.000E+00	 3.854E-01	 4.008E-05	 5.237E-01	 9.084E-02	 1.308E-05
92.75	 0.000E+00	 3.778E-01	 6.472E-05	 5.316E-01	 9.054E-02	 1.346E-05
93.00	 0.000E+00	 3.702E-01	 9.697E-05	 5.395E-01	 9.020E-02	 1.386E-05
93.25	 0.000E+00	 3.626E-01	 1.374E-04	 5.474E-01	 8.984E-02	 1.428E-05
93.50	 0.000E+00	 3.550E-01	 1.864E-04	 5.553E-01	 8.945E-02	 1.472E-05
93.75	 0.000E+00	 3.474E-01	 2.443E-04	 5.633E-01	 8.903E-02	 1.518E-05
94.00	 0.000E+00	 3.399E-01	 3.112E-04	 5.712E-01	 8.859E-02	 1.566E-05
94.25	 0.000E+00	 3.323E-01	 3.873E-04	 5.792E-01	 8.812E-02	 1.616E-05
94.50	 0.000E+00	 3.248E-01	 4.723E-04	 5.871E-01	 8.763E-02	 1.668E-05
94.75	 0.000E+00	 3.174E-01	 5.663E-04	 5.949E-01	 8.713E-02	 1.723E-05
95.00	 0.000E+00	 3.100E-01	 6.689E-04	 6.028E-01	 8.660E-02	 1.780E-05
95.25	 0.000E+00	 3.026E-01	 7.800E-04	 6.105E-01	 8.606E-02	 1.839E-05
95.50	 0.000E+00	 2.954E-01	 8.990E-04	 6.182E-01	 8.551E-02	 1.902E-05
95.75	 0.000E+00	 2.882E-01	 1.026E-03	 6.258E-01	 8.495E-02	 1.966E-05
96.00	 0.000E+00	 2.811E-01	 1.159E-03	 6.334E-01	 8.439E-02	 2.034E-05
96.25	 0.000E+00	 2.741E-01	 1.300E-03	 6.408E-01	 8.382E-02	 2.105E-05
96.50	 0.000E+00	 2.672E-01	 1.447E-03	 6.482E-01	 8.324E-02	 2.179E-05
96.75	 0.000E+00	 2.603E-01	 1.599E-03	 6.554E-01	 8.267E-02	 2.256E-05
97.00	 0.000E+00	 2.536E-01	 1.756E-03	 6.625E-01	 8.210E-02	 2.336E-05
97.25	 0.000E+00	 2.470E-01	 1.918E-03	 6.695E-01	 8.153E-02	 2.419E-05
97.50	 0.000E+00	 2.405E-01	 2.084E-03	 6.764E-01	 8.097E-02	 2.507E-05
97.75	 0.000E+00	 2.342E-01	 2.253E-03	 6.832E-01	 8.042E-02	 2.598E-05
98.00	 0.000E+00	 2.279E-01	 2.424E-03	 6.898E-01	 7.987E-02	 2.692E-05
98.25	 0.000E+00	 2.218E-01	 2.599E-03	 6.963E-01	 7.934E-02	 2.791E-05
98.50	 0.000E+00	 2.158E-01	 2.774E-03	 7.026E-01	 7.883E-02	 2.894E-05
98.75	 0.000E+00	 2.099E-01	 2.951E-03	 7.088E-01	 7.833E-02	 3.001E-05
99.00	 0.000E+00	 2.042E-01	 3.129E-03	 7.149E-01	 7.785E-02	 3.113E-05
99.25	 0.000E+00	 1.985E-01	 3.307E-03	 7.208E-01	 7.738E-02	 3.229E-05
99.50	 0.000E+00	 1.930E-01	 3.485E-03	 7.265E-01	 7.694E-02	 3.350E-05
99.75	 0.000E+00	 1.877E-01	 3.662E-03	 7.322E-01	 7.651E-02	 3.476E-05
100.00	 0.000E+00	 1.824E-01	 3.838E-03	 7.376E-01	 7.610E-02	 3.607E-05
100.25	 0.000E+00	 1.773E-01	 4.013E-03	 7.429E-01	 7.572E-02	 3.743E-05
100.50	 0.000E+00	 1.724E-01	 4.186E-03	 7.481E-01	 7.537E-02	 3.884E-05
100.75	 0.000E+00	 1.675E-01	 4.357E-03	 7.531E-01	 7.503E-02	 4.032E-05
101.00	 0.000E+00	 1.628E-01	 4.526E-03	 7.580E-01	 7.472E-02	 4.184E-05
101.25	 0.000E+00	 1.582E-01	 4.691E-03	 7.627E-01	 7.444E-02	 4.343E-05
101.50	 0.000E+00	 1.537E-01	 4.854E-03	 7.673E-01	 7.418E-02	 4.508E-05
101.75	 0.000E+00	 1.494E-01	 5.014E-03	 7.717E-01	 7.394E-02	 4.680E-05
102.00	 0.000E+00	 1.451E-01	 5.171E-03	 7.760E-01	 7.373E-02	 4.858E-05
102.25	 0.000E+00	 1.410E-01	 5.324E-03	 7.801E-01	 7.355E-02	 5.042E-05
102.50	 0.000E+00	 1.370E-01	 5.473E-03	 7.841E-01	 7.339E-02	 5.234E-05
102.75	 0.000E+00	 1.331E-01	 5.619E-03	 7.880E-01	 7.326E-02	 5.433E-05
103.00	 0.000E+00	 1.294E-01	 5.761E-03	 7.917E-01	 7.315E-02	 5.639E-05
103.25	 0.000E+00	 1.257E-01	 5.898E-03	 7.953E-01	 7.307E-02	 5.853E-05
103.50	 0.000E+00	 1.221E-01	 6.032E-03	 7.988E-01	 7.301E-02	 6.075E-05
103.75	 0.000E+00	 1.187E-01	 6.161E-03	 8.022E-01	 7.298E-02	 6.305E-05
104.00	 0.000E+00	 1.154E-01	 6.287E-03	 8.054E-01	 7.297E-02	 6.543E-05
104.25	 0.000E+00	 1.121E-01	 6.408E-03	 8.085E-01	 7.299E-02	 6.790E-05
104.50	 0.000E+00	 1.090E-01	 6.525E-03	 8.115E-01	 7.303E-02	 7.046E-05
104.75	 0.000E+00	 1.059E-01	 6.637E-03	 8.144E-01	 7.309E-02	 7.311E-05
105.00	 0.000E+00	 1.029E-01	 6.746E-03	 8.171E-01	 7.317E-02	 7.585E-05
105.25	 0.000E+00	 1.001E-01	 6.850E-03	 8.198E-01	 7.328E-02	 7.869E-05
105.50	 0.000E+00	 9.728E-02	 6.950E-03	 8.224E-01	 7.341E-02	 8.162E-05
105.75	 0.000E+00	 9.458E-02	 7.046E-03	 8.248E-01	 7.356E-02	 8.466E-05
106.00	 0.000E+00	 9.196E-02	 7.137E-03	 8.272E-01	 7.373E-02	 8.781E-05
106.25	 0.000E+00	 8.942E-02	 7.225E-03	 8.294E-01	 7.392E-02	 9.106E-05
106.50	 0.000E+00	 8.696E-02	 7.308E-03	 8.316E-01	 7.413E-02	 9.442E-05
106.75	 0.000E+00	 8.458E-02	 7.388E-03	 8.337E-01	 7.436E-02	 9.790E-05
107.00	 0.000E+00	 8.227E-02	 7.464E-03	 8.357E-01	 7.460E-02	 1.015E-04
107.25	 0.000E+00	 8.003E-02	 7.535E-03	 8.376E-01	 7.487E-02	 1.052E-04
107.50	 0.000E+00	 7.787E-02	 7.603E-03	 8.394E-01	 7.515E-02	 1.090E-04
107.75	 0.000E+00	 7.576E-02	 7.668E-03	 8.411E-01	 7.544E-02	 1.130E-04
108.00	 0.000E+00	 7.373E-02	 7.728E-03	 8.428E-01	 7.575E-02	 1.171E-04
108.25	 0.000E+00	 7.175E-02	 7.785E-03	 8.444E-01	 7.608E-02	 1.213E-04
108.50	 0.000E+00	 6.984E-02	 7.839E-03	 8.459E-01	 7.642E-02	 1.257E-04
108.75	 0.000E+00	 6.799E-02	 7.889E-03	 8.473E-01	 7.678E-02	 1.302E-04
109.00	 0.000E+00	 6.619E-02	 7.936E-03	 8.487E-01	 7.714E-02	 1.348E-04
109.25	 0.000E+00	 6.445E-02	 7.980E-03	 8.500E-01	 7.752E-02	 1.396E-04
109.50	 0.000E+00	 6.276E-02	 8.020E-03	 8.513E-01	 7.792E-02	 1.446E-04
109.75	 0.000E+00	 6.112E-02	 8.058E-03	 8.525E-01	 7.832E-02	 1.497E-04
110.00	 0.000E+00	 5.954E-02	 8.092E-03	 8.536E-01	 7.873E-02	 1.549E-04
110.25	 0.000E+00	 5.800E-02	 8.124E-03	 8.547E-01	 7.916E-02	 1.604E-04
110.50	 0.000E+00	 5.651E-02	 8.153E-03	 8.557E-01	 7.959E-02	 1.659E-04
110.75	 0.000E+00	 5.506E-02	 8.179E-03	 8.567E-01	 8.004E-02	 1.717E-04
111.00	 0.000E+00	 5.366E-02	 8.202E-03	 8.576E-01	 8.049E-02	 1.776E-04
111.25	 0.000E+00	 5.230E-02	 8.223E-03	 8.585E-01	 8.095E-02	 1.838E-04
111.50	 0.000E+00	 5.098E-02	 8.242E-03	 8.594E-01	 8.142E-02	 1.901E-04
111.75	 0.000E+00	 4.970E-02	 8.258E-03	 8.601E-01	 8.190E-02	 1.966E-04
112.00	 0.000E+00	 4.846E-02	 8.272E-03	 8.609E-01	 8.238E-02	 2.033E-04
112.25	 0.000E+00	 4.726E-02	 8.283E-03	 8.616E-01	 8.287E-02	 2.101E-04
112.50	 0.000E+00	 4.609E-02	 8.292E-03	 8.623E-01	 8.336E-02	 2.172E-04
112.75	 0.000E+00	 4.496E-02	 8.299E-03	 8.629E-01	 8.386E-02	 2.245E-04
113.00	 0.000E+00	 4.386E-02	 8.305E-03	 8.635E-01	 8.436E-02	 2.320E-04
113.25	 0.000E+00	 4.279E-02	 8.308E-03	 8.640E-01	 8.487E-02	 2.398E-04
113.50	 0.000E+00	 4.176E-02	 8.309E-03	 8.645E-01	 8.539E-02	 2.477E-04
113.75	 0.000E+00	 4.075E-02	 8.309E-03	 8.650E-01	 8.590E-02	 2.559E-04
114.00	 0.000E+00	 3.978E-02	 8.306E-03	 8.655E-01	 8.642E-02	 2.643E-04
114.25	 0.000E+00	 3.883E-02	 8.302E-03	 8.659E-01	 8.695E-02	 2.730E-04
114.50	 0.000E+00	 3.791E-02	 8.297E-03	 8.663E-01	 8.747E-02	 2.819E-04
114.75	 0.000E+00	 3.702E-02	 8.290E-03	 8.667E-01	 8.800E-02	 2.911E-04
115.00	 0.000E+00	 3.615E-02	 8.281E-03	 8.670E-01	 8.853E-02	 3.005E-04
115.25	 0.000E+00	 3.531E-02	 8.271E-03	 8.674E-01	 8.906E-02	 3.102E-04
115.50	 0.000E+00	 3.449E-02	 8.259E-03	 8.677E-01	 8.960E-02	 3.201E-04
115.75	 0.000E+00	 3.369E-02	 8.246E-03	 8.679E-01	 9.013E-02	 3.303E-04
116.00	 0.000E+00	 3.292E-02	 8.232E-03	 8.682E-01	 9.067E-02	 3.408E-04
116.25	 0.000E+00	 3.217E-02	 8.217E-03	 8.684E-01	 9.120E-02	 3.516E-04
116.50	 0.000E+00	 3.143E-02	 8.200E-03	 8.686E-01	 9.174E-02	 3.627E-04
116.75	 0.000E+00	 3.072E-02	 8.182E-03	 8.688E-01	 9.227E-02	 3.741E-04
117.00	 0.000E+00	 3.003E-02	 8.163E-03	 8.690E-01	 9.281E-02	 3.858E-04
117.25	 0.000E+00	 2.936E-02	 8.144E-03	 8.692E-01	 9.334E-02	 3.978E-04
117.50	 0.000E+00	 2.871E-02	 8.123E-03	 8.693E-01	 9.388E-02	 4.102E-04
117.75	 0.000E+00	 2.807E-02	 8.101E-03	 8.694E-01	 9.441E-02	 4.229E-04
118.00	 0.000E+00	 2.746E-02	 8.078E-03	 8.695E-01	 9.494E-02	 4.359E-04
118.25	 0.000E+00	 2.685E-02	 8.054E-03	 8.696E-01	 9.547E-02	 4.492E-04
118.50	 0.000E+00	 2.627E-02	 8.030E-03	 8.697E-01	 9.600E-02	 4.630E-04
118.75	 0.000E+00	 2.570E-02	 8.004E-03	 8.698E-01	 9.652E-02	 4.770E-04
119.00	 0.000E+00	 2.515E-02	 7.978E-03	 8.698E-01	 9.705E-02	 4.915E-04
119.25	 0.000E+00	 2.461E-02	 7.951E-03	 8.699E-01	 9.757E-02	 5.063E-04
119.50	 0.000E+00	 2.408E-02	 7.924E-03	 8.699E-01	 9.809E-02	 5.215E-04
119.75	 0.000E+00	 2.357E-02	 7.895E-03	 8.699E-01	 9.860E-02	 5.371E-04
120.00	 0.000E+00	 2.307E-02	 7.867E-03	 8.699E-01	 9.911E-02	 5.531E-04
120.25	 0.000E+00	 2.259E-02	 7.837E-03	 8.700E-01	 9.962E-02	 5.696E-04
120.50	 0.000E+00	 2.212E-02	 7.807E-03	 8.699E-01	 1.001E-01	 5.864E-04
120.75	 0.000E+00	 2.165E-02	 7.776E-03	 8.699E-01	 1.006E-01	 6.037E-04
121.00	 0.000E+00	 2.121E-02	 7.745E-03	 8.699E-01	 1.011E-01	 6.214E-04
121.25	 0.000E+00	 2.077E-02	 7.713E-03	 8.699E-01	 1.016E-01	 6.396E-04
121.50	 0.000E+00	 2.034E-02	 7.681E-03	 8.699E-01	 1.021E-01	 6.583E-04
121.75	 0.000E+00	 1.993E-02	 7.649E-03	 8.698E-01	 1.026E-01	 6.774E-04
122.00	 0.000E+00	 1.952E-02	 7.615E-03	 8.698E-01	 1.031E-01	 6.970E-04
122.25	 0.000E+00	 1.913E-02	 7.582E-03	 8.697E-01	 1.036E-01	 7.171E-04
122.50	 0.000E+00	 1.874E-02	 7.548E-03	 8.697E-01	 1.040E-01	 7.377E-04
122.75	 0.000E+00	 1.837E-02	 7.514E-03	 8.696E-01	 1.045E-01	 7.588E-04
123.00	 0.000E+00	 1.800E-02	 7.479E-03	 8.695E-01	 1.050E-01	 7.804E-04
123.25	 0.000E+00	 1.765E-02	 7.444E-03	 8.695E-01	 1.054E-01	 8.026E-04
123.50	 0.000E+00	 1.730E-02	 7.409E-03	 8.694E-01	 1.059E-01	 8.253E-04
123.75	 0.000E+00	 1.696E-02	 7.374E-03	 8.693E-01	 1.064E-01	 8.486E-04
124.00	 0.000E+00	 1.663E-02	 7.338E-03	 8.692E-01	 1.068E-01	 8.725E-04
124.25	 0.000E+00	 1.630E-02	 7.302E-03	 8.691E-01	 1.072E-01	 8.970E-04
124.50	 0.000E+00	 1.599E-02	 7.265E-03	 8.691E-01	 1.077E-01	 9.220E-04
124.75	 0.000E+00	 1.568E-02	 7.229E-03	 8.690E-01	 1.081E-01	 9.477E-04
125.00	 0.000E+00	 1.538E-02	 7.192E-03	 8.689E-01	 1.085E-01	 9.740E-04
125.25	 0.000E+00	 1.508E-02	 7.155E-03	 8.688E-01	 1.090E-01	 1.001E-03
125.50	 0.000E+00	 1.480E-02	 7.118E-03	 8.687E-01	 1.094E-01	 1.029E-03
125.75	 0.000E+00	 1.452E-02	 7.081E-03	 8.686E-01	 1.098E-01	 1.057E-03
126.00	 0.000E+00	 1.424E-02	 7.043E-03	 8.685E-01	 1.102E-01	 1.086E-03
126.25	 0.000E+00	 1.397E-02	 7.006E-03	 8.684E-01	 1.106E-01	 1.116E-03
126.50	 0.000E+00	 1.371E-02	 6.968E-03	 8.683E-01	 1.110E-01	 1.146E-03
126.75	 0.000E+00	 1.346E-02	 6.930E-03	 8.683E-01	 1.114E-01	 1.177E-03
127.00	 0.000E+00	 1.321E-02	 6.892E-03	 8.682E-01	 1.117E-01	 1.209E-03
127.25	 0.000E+00	 1.296E-02	 6.854E-03	 8.681E-01	 1.121E-01	 1.242E-03
127.50	 0.000E+00	 1.272E-02	 6.816E-03	 8.680E-01	 1.125E-01	 1.275E-03
127.75	 0.000E+00	 1.249E-02	 6.777E-03	 8.679E-01	 1.128E-01	 1.310E-03
128.00	 0.000E+00	 1.226E-02	 6.739E-03	 8.678E-01	 1.132E-01	 1.345E-03
128.25	 0.000E+00	 1.204E-02	 6.701E-03	 8.677E-01	 1.135E-01	 1.381E-03
128.50	 0.000E+00	 1.182E-02	 6.662E-03	 8.676E-01	 1.139E-01	 1.417E-03
128.75	 0.000E+00	 1.161E-02	 6.623E-03	 8.676E-01	 1.142E-01	 1.455E-03
129.00	 0.000E+00	 1.140E-02	 6.585E-03	 8.675E-01	 1.145E-01	 1.494E-03
129.25	 0.000E+00	 1.119E-02	 6.546E-03	 8.674E-01	 1.149E-01	 1.533E-03
129.50	 0.000E+00	 1.099E-02	 6.507E-03	 8.673E-01	 1.152E-01	 1.574E-03
129.75	 0.000E+00	 1.080E-02	 6.469E-03	 8.673E-01	 1.155E-01	 1.615E-03
130.00	 0.000E+00	 1.061E-02	 6.430E-03	 8.672E-01	 1.158E-01	 1.658E-03
130.25	 0.000E+00	 1.042E-02	 6.391E-03	 8.671E-01	 1.161E-01	 1.701E-03
130.50	 0.000E+00	 1.024E-02	 6.352E-03	 8.671E-01	 1.164E-01	 1.746E-03
130.75	 0.000E+00	 1.006E-02	 6.313E-03	 8.670E-01	 1.166E-01	 1.791E-03
131.00	 0.000E+00	 9.880E-03	 6.275E-03	 8.669E-01	 1.169E-01	 1.838E-03
131.25	 0.000E+00	 9.708E-03	 6.236E-03	 8.669E-01	 1.172E-01	 1.886E-03
131.50	 0.000E+00	 9.539E-03	 6.197E-03	 8.668E-01	 1.174E-01	 1.935E-03
131.75	 0.000E+00	 9.374E-03	 6.158E-03	 8.668E-01	 1.177E-01	 1.985E-03
132.00	 0.000E+00	 9.212E-03	 6.119E-03	 8.668E-01	 1.179E-01	 2.036E-03
132.25	 0.000E+00	 9.053E-03	 6.081E-03	 8.667E-01	 1.181E-01	 2.089E-03
132.50	 0.000E+00	 8.897E-03	 6.042E-03	 8.667E-01	 1.184E-01	 2.142E-03
132.75	 0.000E+00	 8.745E-03	 6.003E-03	 8.667E-01	 1.186E-01	 2.198E-03
133.00	 0.000E+00	 8.595E-03	 5.964E-03	 8.667E-01	 1.188E-01	 2.254E-03
133.25	 0.000E+00	 8.449E-03	 5.926E-03	 8.666E-01	 1.190E-01	 2.312E-03
133.50	 0.000E+00	 8.305E-03	 5.887E-03	 8.666E-01	 1.192E-01	 2.371E-03
133.75	 0.000E+00	 8.164E-03	 5.848E-03	 8.666E-01	 1.194E-01	 2.432E-03
134.00	 0.000E+00	 8.026E-03	 5.810E-03	 8.666E-01	 1.195E-01	 2.494E-03
134.25	 0.000E+00	 7.891E-03	 5.771E-03	 8.666E-01	 1.197E-01	 2.557E-03
134.50	 0.000E+00	 7.758E-03	 5.733E-03	 8.666E-01	 1.199E-01	 2.622E-03
134.75	 0.000E+00	 7.627E-03	 5.694E-03	 8.667E-01	 1.200E-01	 2.689E-03
135.00	 0.000E+00	 7.500E-03	 5.656E-03	 8.667E-01	 1.202E-01	 2.757E-03
135.25	 0.000E+00	 7.374E-03	 5.617E-03	 8.667E-01	 1.203E-01	 2.827E-03
135.50	 0.000E+00	 7.251E-03	 5.579E-03	 8.668E-01	 1.204E-01	 2.899E-03
135.75	 0.000E+00	 7.130E-03	 5.541E-03	 8.668E-01	 1.205E-01	 2.973E-03
136.00	 0.000E+00	 7.012E-03	 5.502E-03	 8.668E-01	 1.206E-01	 3.048E-03
136.25	 0.000E+00	 6.895E-03	 5.464E-03	 8.669E-01	 1.207E-01	 3.125E-03
136.50	 0.000E+00	 6.781E-03	 5.426E-03	 8.670E-01	 1.208E-01	 3.204E-03
136.75	 0.000E+00	 6.669E-03	 5.388E-03	 8.670E-01	 1.209E-01	 3.285E-03
137.00	 0.000E+00	 6.558E-03	 5.350E-03	 8.671E-01	 1.210E-01	 3.368E-03
137.25	 0.000E+00	 6.450E-03	 5.312E-03	 8.672E-01	 1.210E-01	 3.453E-03
137.50	 0.000E+00	 6.344E-03	 5.274E-03	 8.673E-01	 1.211E-01	 3.540E-03
137.75	 0.000E+00	 6.240E-03	 5.236E-03	 8.674E-01	 1.211E-01	 3.629E-03
138.00	 0.000E+00	 6.137E-03	 5.198E-03	 8.675E-01	 1.212E-01	 3.721E-03
138.25	 0.000E+00	 6.036E-03	 5.160E-03	 8.676E-01	 1.212E-01	 3.815E-03
138.50	 0.000E+00	 5.937E-03	 5.122E-03	 8.678E-01	 1.212E-01	 3.911E-03
138.75	 0.000E+00	 5.840E-03	 5.084E-03	 8.679E-01	 1.212E-01	 4.009E-03
139.00	 0.000E+00	 5.744E-03	 5.046E-03	 8.680E-01	 1.212E-01	 4.111E-03
139.25	 0.000E+00	 5.650E-03	 5.008E-03	 8.682E-01	 1.212E-01	 4.214E-03
139.50	 0.000E+00	 5.557E-03	 4.971E-03	 8.683E-01	 1.211E-01	 4.321E-03
139.75	 0.000E+00	 5.466E-03	 4.933E-03	 8.685E-01	 1.211E-01	 4.430E-03
140.00	 0.000E+00	 5.377E-03	 4.895E-03	 8.687E-01	 1.210E-01	 4.542E-03
140.25	 0.000E+00	 5.289E-03	 4.858E-03	 8.689E-01	 1.210E-01	 4.657E-03
140.50	 0.000E+00	 5.202E-03	 4.820E-03	 8.691E-01	 1.209E-01	 4.775E-03
140.75	 0.000E+00	 5.117E-03	 4.782E-03	 8.693E-01	 1.208E-01	 4.896E-03
141.00	 0.000E+00	 5.034E-03	 4.745E-03	 8.695E-01	 1.207E-01	 5.020E-03
141.25	 0.000E+00	 4.951E-03	 4.707E-03	 8.698E-01	 1.206E-01	 5.147E-03
141.50	 0.000E+00	 4.870E-03	 4.670E-03	 8.700E-01	 1.205E-01	 5.278E-03
141.75	 0.000E+00	 4.790E-03	 4.632E-03	 8.702E-01	 1.203E-01	 5.413E-03
142.00	 0.000E+00	 4.711E-03	 4.595E-03	 8.705E-01	 1.202E-01	 5.551E-03
142.25	 0.000E+00	 4.634E-03	 4.557E-03	 8.708E-01	 1.200E-01	 5.692E-03
142.50	 0.000E+00	 4.558E-03	 4.520E-03	 8.711E-01	 1.199E-01	 5.838E-03
142.75	 0.000E+00	 4.483E-03	 4.482E-03	 8.714E-01	 1.197E-01	 5.988E-03
143.00	 0.000E+00	 4.409E-03	 4.445E-03	 8.717E-01	 1.195E-01	 6.141E-03
143.25	 0.000E+00	 4.336E-03	 4.407E-03	 8.720E-01	 1.193E-01	 6.300E-03
143.50	 0.000E+00	 4.264E-03	 4.370E-03	 8.723E-01	 1.190E-01	 6.462E-03
143.75	 0.000E+00	 4.193E-03	 4.332E-03	 8.727E-01	 1.188E-01	 6.629E-03
144.00	 0.000E+00	 4.124E-03	 4.295E-03	 8.731E-01	 1.185E-01	 6.801E-03
144.25	 0.000E+00	 4.055E-03	 4.257E-03	 8.734E-01	 1.183E-01	 6.978E-03
144.50	 0.000E+00	 3.987E-03	 4.219E-03	 8.738E-01	 1.180E-01	 7.160E-03
144.75	 0.000E+00	 3.920E-03	 4.182E-03	 8.742E-01	 1.177E-01	 7.347E-03
145.00	 0.000E+00	 3.855E-03	 4.144E-03	 8.746E-01	 1.174E-01	 7.540E-03
145.25	 0.000E+00	 3.790E-03	 4.107E-03	 8.751E-01	 1.170E-01	 7.739E-03
145.50	 0.000E+00	 3.725E-03	 4.069E-03	 8.755E-01	 1.167E-01	 7.944E-03
145.75	 0.000E+00	 3.662E-03	 4.031E-03	 8.760E-01	 1.163E-01	 8.155E-03
146.00	 0.000E+00	 3.600E-03	 3.993E-03	 8.765E-01	 1.159E-01	 8.372E-03
146.25	 0.000E+00	 3.538E-03	 3.955E-03	 8.770E-01	 1.155E-01	 8.596E-03
146.50	 0.000E+00	 3.477E-03	 3.917E-03	 8.775E-01	 1.151E-01	 8.827E-03
