## file created 05.May.2015 #
#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 420045BB  14   2   t   14       0          3              0      HB   -11    59      1
 420043BB  14   2   t   14       0          3              1      HB    -7    59      1
 420041BB  14   2   t   14       0          3              2      HB    -3    59      1
 420042BB  14   2   t   14       0          4              0      HB    -5    59      1
 420040BB  14   2   t   14       0          4              1      HB    -1    59      1
 420044BB  14   2   t   14       0          4              2      HB    -9    59      1
 4200453C  14   2   t   14       0          5              0      HB   -10    60      1
 4200433C  14   2   t   14       0          5              1      HB    -6    60      1
 4200413C  14   2   t   14       0          5              2      HB    -2    60      1
 4200443C  14   2   t   14       0          6              0      HB    -8    60      1
 4200423C  14   2   t   14       0          6              1      HB    -4    60      1
 4200463C  14   2   t   14       0          6              2      HB   -12    60      1
 4200453B  14   2   t   14       0          7              0      HB   -10    59      1
 4200433B  14   2   t   14       0          7              1      HB    -6    59      1
 4200413B  14   2   t   14       0          7              2      HB    -2    59      1
 4200443B  14   2   t   14       0          8              0      HB    -8    59      1
 4200423B  14   2   t   14       0          8              1      HB    -4    59      1
 4200463B  14   2   t   14       0          8              2      HB   -12    59      1
 420045BE  14   2   b   14       1          1              0      HB   -11    62      1
 420043BE  14   2   b   14       1          1              1      HB    -7    62      1
 420041BE  14   2   b   14       1          1              2      HB    -3    62      1
 420042BE  14   2   b   14       1          2              0      HB    -5    62      1
 420040BE  14   2   b   14       1          2              1      HB    -1    62      1
 420044BE  14   2   b   14       1          2              2      HB    -9    62      1
 420045BD  14   2   b   14       1          3              0      HB   -11    61      1
 420043BD  14   2   b   14       1          3              1      HB    -7    61      1
 420041BD  14   2   b   14       1          3              2      HB    -3    61      1
 420042BD  14   2   b   14       1          4              0      HB    -5    61      1
 420040BD  14   2   b   14       1          4              1      HB    -1    61      1
 420044BD  14   2   b   14       1          4              2      HB    -9    61      1
 4200453E  14   2   b   14       1          5              0      HB   -10    62      1
 4200433E  14   2   b   14       1          5              1      HB    -6    62      1
 4200413E  14   2   b   14       1          5              2      HB    -2    62      1
 4200443E  14   2   b   14       1          6              0      HB    -8    62      1
 4200423E  14   2   b   14       1          6              1      HB    -4    62      1
 4200463E  14   2   b   14       1          6              2      HB   -12    62      1
 4200453D  14   2   b   14       1          7              0      HB   -10    61      1
 4200433D  14   2   b   14       1          7              1      HB    -6    61      1
 4200413D  14   2   b   14       1          7              2      HB    -2    61      1
 4200443D  14   2   b   14       1          8              0      HB    -8    61      1
 4200423D  14   2   b   14       1          8              1      HB    -4    61      1
 4200463D  14   2   b   14       1          8              2      HB   -12    61      1
 4200883C  14   3   t   14       2          1              0      HB   -16    60      2
 420087BC  14   3   t   14       2          1              1      HB   -15    60      2
 4200473C  14   3   t   14       2          1              2      HB   -14    60      1
 420047BC  14   3   t   14       2          2              0      HB   -15    60      1
 420046BC  14   3   t   14       2          2              1      HB   -13    60      1
 4200483C  14   3   t   14       2          2              2      HB   -16    60      1
 4200883B  14   3   t   14       2          3              0      HB   -16    59      2
 420087BB  14   3   t   14       2          3              1      HB   -15    59      2
 4200473B  14   3   t   14       2          3              2      HB   -14    59      1
 420047BB  14   3   t   14       2          4              0      HB   -15    59      1
 420046BB  14   3   t   14       2          4              1      HB   -13    59      1
 4200483B  14   3   t   14       2          4              2      HB   -16    59      1
 440048BC  14   3   t   14       2          5              0      HE   -17    60      1
 4400C83C  14   3   t   14       2          5              1      HE   -16    60      3
 44004CBB  14   3   t   14       2          5              2      HE   -25    59      1
 4400493C  14   3   t   14       2          6              0      HE   -18    60      1
 4400893C  14   3   t   14       2          6              1      HE   -18    60      2
 44008CBB  14   3   t   14       2          6              2      HE   -25    59      2
 440048BB  14   3   t   14       2          7              0      HE   -17    59      1
 4400C83B  14   3   t   14       2          7              1      HE   -16    59      3
 44004D3B  14   3   t   14       2          7              2      HE   -26    59      1
 4400493B  14   3   t   14       2          8              0      HE   -18    59      1
 4400893B  14   3   t   14       2          8              1      HE   -18    59      2
 44008D3B  14   3   t   14       2          8              2      HE   -26    59      2
 4200883E  14   3   b   14       3          1              0      HB   -16    62      2
 420087BE  14   3   b   14       3          1              1      HB   -15    62      2
 4200473E  14   3   b   14       3          1              2      HB   -14    62      1
 420047BE  14   3   b   14       3          2              0      HB   -15    62      1
 420046BE  14   3   b   14       3          2              1      HB   -13    62      1
 4200483E  14   3   b   14       3          2              2      HB   -16    62      1
 4200883D  14   3   b   14       3          3              0      HB   -16    61      2
 420087BD  14   3   b   14       3          3              1      HB   -15    61      2
 4200473D  14   3   b   14       3          3              2      HB   -14    61      1
 420047BD  14   3   b   14       3          4              0      HB   -15    61      1
 420046BD  14   3   b   14       3          4              1      HB   -13    61      1
 4200483D  14   3   b   14       3          4              2      HB   -16    61      1
 440048BE  14   3   b   14       3          5              0      HE   -17    62      1
 4400C83E  14   3   b   14       3          5              1      HE   -16    62      3
 44004D3D  14   3   b   14       3          5              2      HE   -26    61      1
 4400493E  14   3   b   14       3          6              0      HE   -18    62      1
 4400893E  14   3   b   14       3          6              1      HE   -18    62      2
 44008D3D  14   3   b   14       3          6              2      HE   -26    61      2
 440048BD  14   3   b   14       3          7              0      HE   -17    61      1
 4400C83D  14   3   b   14       3          7              1      HE   -16    61      3
 44004CBD  14   3   b   14       3          7              2      HE   -25    61      1
 4400493D  14   3   b   14       3          8              0      HE   -18    61      1
 4400893D  14   3   b   14       3          8              1      HE   -18    61      2
 44008CBD  14   3   b   14       3          8              2      HE   -25    61      2
 44004DBB  14   4   t   14       4          1              0      HE   -27    59      1
 44008DBB  14   4   t   14       4          1              1      HE   -27    59      2
 44008EBB  14   4   t   14       4          1              2      HE   -29    59      2
 4400CDBB  14   4   t   14       4          2              0      HE   -27    59      3
 44008BBB  14   4   t   14       4          2              1      HE   -23    59      2
 44004BBB  14   4   t   14       4          2              2      HE   -23    59      1
 44004E3B  14   4   t   14       4          3              0      HE   -28    59      1
 44008E3B  14   4   t   14       4          3              1      HE   -28    59      2
 44004EBB  14   4   t   14       4          3              2      HE   -29    59      1
 4400CE3B  14   4   t   14       4          4              0      HE   -28    59      3
 44008C3B  14   4   t   14       4          4              1      HE   -24    59      2
 44004C3B  14   4   t   14       4          4              2      HE   -24    59      1
 440089BC  14   4   t   14       4          5              0      HE   -19    60      2
 44004A3C  14   4   t   14       4          5              1      HE   -20    60      1
 44008ABB  14   4   t   14       4          5              2      HE   -21    59      2
 440049BC  14   4   t   14       4          6              0      HE   -19    60      1
 44008A3C  14   4   t   14       4          6              1      HE   -20    60      2
 44004ABB  14   4   t   14       4          6              2      HE   -21    59      1
 440089BB  14   4   t   14       4          7              0      HE   -19    59      2
 44004A3B  14   4   t   14       4          7              1      HE   -20    59      1
 44008B3B  14   4   t   14       4          7              2      HE   -22    59      2
 440049BB  14   4   t   14       4          8              0      HE   -19    59      1
 44008A3B  14   4   t   14       4          8              1      HE   -20    59      2
 44004B3B  14   4   t   14       4          8              2      HE   -22    59      1
 44004E3D  14   4   b   14       5          1              0      HE   -28    61      1
 44008E3D  14   4   b   14       5          1              1      HE   -28    61      2
 44004EBD  14   4   b   14       5          1              2      HE   -29    61      1
 4400CE3D  14   4   b   14       5          2              0      HE   -28    61      3
 44008C3D  14   4   b   14       5          2              1      HE   -24    61      2
 44004C3D  14   4   b   14       5          2              2      HE   -24    61      1
 44004DBD  14   4   b   14       5          3              0      HE   -27    61      1
 44008DBD  14   4   b   14       5          3              1      HE   -27    61      2
 44008EBD  14   4   b   14       5          3              2      HE   -29    61      2
 4400CDBD  14   4   b   14       5          4              0      HE   -27    61      3
 44008BBD  14   4   b   14       5          4              1      HE   -23    61      2
 44004BBD  14   4   b   14       5          4              2      HE   -23    61      1
 440089BE  14   4   b   14       5          5              0      HE   -19    62      2
 44004A3E  14   4   b   14       5          5              1      HE   -20    62      1
 44008B3D  14   4   b   14       5          5              2      HE   -22    61      2
 440049BE  14   4   b   14       5          6              0      HE   -19    62      1
 44008A3E  14   4   b   14       5          6              1      HE   -20    62      2
 44004B3D  14   4   b   14       5          6              2      HE   -22    61      1
 440089BD  14   4   b   14       5          7              0      HE   -19    61      2
 44004A3D  14   4   b   14       5          7              1      HE   -20    61      1
 44008ABD  14   4   b   14       5          7              2      HE   -21    61      2
 440049BD  14   4   b   14       5          8              0      HE   -19    61      1
 44008A3D  14   4   b   14       5          8              1      HE   -20    61      2
 44004ABD  14   4   b   14       5          8              2      HE   -21    61      1
 420045C0  14   5   t   14       6          1              0      HB   -11    64      1
 420043C0  14   5   t   14       6          1              1      HB    -7    64      1
 420041C0  14   5   t   14       6          1              2      HB    -3    64      1
 420042C0  14   5   t   14       6          2              0      HB    -5    64      1
 420040C0  14   5   t   14       6          2              1      HB    -1    64      1
 420044C0  14   5   t   14       6          2              2      HB    -9    64      1
 420045BF  14   5   t   14       6          3              0      HB   -11    63      1
 420043BF  14   5   t   14       6          3              1      HB    -7    63      1
 420041BF  14   5   t   14       6          3              2      HB    -3    63      1
 420042BF  14   5   t   14       6          4              0      HB    -5    63      1
 420040BF  14   5   t   14       6          4              1      HB    -1    63      1
 420044BF  14   5   t   14       6          4              2      HB    -9    63      1
 42004540  14   5   t   14       6          5              0      HB   -10    64      1
 42004340  14   5   t   14       6          5              1      HB    -6    64      1
 42004140  14   5   t   14       6          5              2      HB    -2    64      1
 42004440  14   5   t   14       6          6              0      HB    -8    64      1
 42004240  14   5   t   14       6          6              1      HB    -4    64      1
 42004640  14   5   t   14       6          6              2      HB   -12    64      1
 4200453F  14   5   t   14       6          7              0      HB   -10    63      1
 4200433F  14   5   t   14       6          7              1      HB    -6    63      1
 4200413F  14   5   t   14       6          7              2      HB    -2    63      1
 4200443F  14   5   t   14       6          8              0      HB    -8    63      1
 4200423F  14   5   t   14       6          8              1      HB    -4    63      1
 4200463F  14   5   t   14       6          8              2      HB   -12    63      1
 420045C2  14   5   b   14       7          1              0      HB   -11    66      1
 420043C2  14   5   b   14       7          1              1      HB    -7    66      1
 420041C2  14   5   b   14       7          1              2      HB    -3    66      1
 420042C2  14   5   b   14       7          2              0      HB    -5    66      1
 420040C2  14   5   b   14       7          2              1      HB    -1    66      1
 420044C2  14   5   b   14       7          2              2      HB    -9    66      1
 420045C1  14   5   b   14       7          3              0      HB   -11    65      1
 420043C1  14   5   b   14       7          3              1      HB    -7    65      1
 420041C1  14   5   b   14       7          3              2      HB    -3    65      1
 420042C1  14   5   b   14       7          4              0      HB    -5    65      1
 420040C1  14   5   b   14       7          4              1      HB    -1    65      1
 420044C1  14   5   b   14       7          4              2      HB    -9    65      1
 42004542  14   5   b   14       7          5              0      HB   -10    66      1
 42004342  14   5   b   14       7          5              1      HB    -6    66      1
 42004142  14   5   b   14       7          5              2      HB    -2    66      1
 42004442  14   5   b   14       7          6              0      HB    -8    66      1
 42004242  14   5   b   14       7          6              1      HB    -4    66      1
 42004642  14   5   b   14       7          6              2      HB   -12    66      1
 42004541  14   5   b   14       7          7              0      HB   -10    65      1
 42004341  14   5   b   14       7          7              1      HB    -6    65      1
 42004141  14   5   b   14       7          7              2      HB    -2    65      1
 42004441  14   5   b   14       7          8              0      HB    -8    65      1
 42004241  14   5   b   14       7          8              1      HB    -4    65      1
 42004641  14   5   b   14       7          8              2      HB   -12    65      1
 42008840  14   6   t   14       8          1              0      HB   -16    64      2
 420087C0  14   6   t   14       8          1              1      HB   -15    64      2
 42004740  14   6   t   14       8          1              2      HB   -14    64      1
 420047C0  14   6   t   14       8          2              0      HB   -15    64      1
 420046C0  14   6   t   14       8          2              1      HB   -13    64      1
 42004840  14   6   t   14       8          2              2      HB   -16    64      1
 4200883F  14   6   t   14       8          3              0      HB   -16    63      2
 420087BF  14   6   t   14       8          3              1      HB   -15    63      2
 4200473F  14   6   t   14       8          3              2      HB   -14    63      1
 420047BF  14   6   t   14       8          4              0      HB   -15    63      1
 420046BF  14   6   t   14       8          4              1      HB   -13    63      1
 4200483F  14   6   t   14       8          4              2      HB   -16    63      1
 440048C0  14   6   t   14       8          5              0      HE   -17    64      1
 4400C840  14   6   t   14       8          5              1      HE   -16    64      3
 44004CBF  14   6   t   14       8          5              2      HE   -25    63      1
 44004940  14   6   t   14       8          6              0      HE   -18    64      1
 44008940  14   6   t   14       8          6              1      HE   -18    64      2
 44008CBF  14   6   t   14       8          6              2      HE   -25    63      2
 440048BF  14   6   t   14       8          7              0      HE   -17    63      1
 4400C83F  14   6   t   14       8          7              1      HE   -16    63      3
 44004D3F  14   6   t   14       8          7              2      HE   -26    63      1
 4400493F  14   6   t   14       8          8              0      HE   -18    63      1
 4400893F  14   6   t   14       8          8              1      HE   -18    63      2
 44008D3F  14   6   t   14       8          8              2      HE   -26    63      2
 42008842  14   6   b   14       9          1              0      HB   -16    66      2
 420087C2  14   6   b   14       9          1              1      HB   -15    66      2
 42004742  14   6   b   14       9          1              2      HB   -14    66      1
 420047C2  14   6   b   14       9          2              0      HB   -15    66      1
 420046C2  14   6   b   14       9          2              1      HB   -13    66      1
 42004842  14   6   b   14       9          2              2      HB   -16    66      1
 42008841  14   6   b   14       9          3              0      HB   -16    65      2
 420087C1  14   6   b   14       9          3              1      HB   -15    65      2
 42004741  14   6   b   14       9          3              2      HB   -14    65      1
 420047C1  14   6   b   14       9          4              0      HB   -15    65      1
 420046C1  14   6   b   14       9          4              1      HB   -13    65      1
 42004841  14   6   b   14       9          4              2      HB   -16    65      1
 440048C2  14   6   b   14       9          5              0      HE   -17    66      1
 4400C842  14   6   b   14       9          5              1      HE   -16    66      3
 44004D41  14   6   b   14       9          5              2      HE   -26    65      1
 44004942  14   6   b   14       9          6              0      HE   -18    66      1
 44008942  14   6   b   14       9          6              1      HE   -18    66      2
 44008D41  14   6   b   14       9          6              2      HE   -26    65      2
 440048C1  14   6   b   14       9          7              0      HE   -17    65      1
 4400C841  14   6   b   14       9          7              1      HE   -16    65      3
 44004CC1  14   6   b   14       9          7              2      HE   -25    65      1
 44004941  14   6   b   14       9          8              0      HE   -18    65      1
 44008941  14   6   b   14       9          8              1      HE   -18    65      2
 44008CC1  14   6   b   14       9          8              2      HE   -25    65      2
 44004DBF  14   7   t   14      10          1              0      HE   -27    63      1
 44008DBF  14   7   t   14      10          1              1      HE   -27    63      2
 44008EBF  14   7   t   14      10          1              2      HE   -29    63      2
 4400CDBF  14   7   t   14      10          2              0      HE   -27    63      3
 44008BBF  14   7   t   14      10          2              1      HE   -23    63      2
 44004BBF  14   7   t   14      10          2              2      HE   -23    63      1
 44004E3F  14   7   t   14      10          3              0      HE   -28    63      1
 44008E3F  14   7   t   14      10          3              1      HE   -28    63      2
 44004EBF  14   7   t   14      10          3              2      HE   -29    63      1
 4400CE3F  14   7   t   14      10          4              0      HE   -28    63      3
 44008C3F  14   7   t   14      10          4              1      HE   -24    63      2
 44004C3F  14   7   t   14      10          4              2      HE   -24    63      1
 440089C0  14   7   t   14      10          5              0      HE   -19    64      2
 44004A40  14   7   t   14      10          5              1      HE   -20    64      1
 44008ABF  14   7   t   14      10          5              2      HE   -21    63      2
 440049C0  14   7   t   14      10          6              0      HE   -19    64      1
 44008A40  14   7   t   14      10          6              1      HE   -20    64      2
 44004ABF  14   7   t   14      10          6              2      HE   -21    63      1
 440089BF  14   7   t   14      10          7              0      HE   -19    63      2
 44004A3F  14   7   t   14      10          7              1      HE   -20    63      1
 44008B3F  14   7   t   14      10          7              2      HE   -22    63      2
 440049BF  14   7   t   14      10          8              0      HE   -19    63      1
 44008A3F  14   7   t   14      10          8              1      HE   -20    63      2
 44004B3F  14   7   t   14      10          8              2      HE   -22    63      1
 44004E41  14   7   b   14      11          1              0      HE   -28    65      1
 44008E41  14   7   b   14      11          1              1      HE   -28    65      2
 44004EC1  14   7   b   14      11          1              2      HE   -29    65      1
 4400CE41  14   7   b   14      11          2              0      HE   -28    65      3
 44008C41  14   7   b   14      11          2              1      HE   -24    65      2
 44004C41  14   7   b   14      11          2              2      HE   -24    65      1
 44004DC1  14   7   b   14      11          3              0      HE   -27    65      1
 44008DC1  14   7   b   14      11          3              1      HE   -27    65      2
 44008EC1  14   7   b   14      11          3              2      HE   -29    65      2
 4400CDC1  14   7   b   14      11          4              0      HE   -27    65      3
 44008BC1  14   7   b   14      11          4              1      HE   -23    65      2
 44004BC1  14   7   b   14      11          4              2      HE   -23    65      1
 440089C2  14   7   b   14      11          5              0      HE   -19    66      2
 44004A42  14   7   b   14      11          5              1      HE   -20    66      1
 44008B41  14   7   b   14      11          5              2      HE   -22    65      2
 440049C2  14   7   b   14      11          6              0      HE   -19    66      1
 44008A42  14   7   b   14      11          6              1      HE   -20    66      2
 44004B41  14   7   b   14      11          6              2      HE   -22    65      1
 440089C1  14   7   b   14      11          7              0      HE   -19    65      2
 44004A41  14   7   b   14      11          7              1      HE   -20    65      1
 44008AC1  14   7   b   14      11          7              2      HE   -21    65      2
 440049C1  14   7   b   14      11          8              0      HE   -19    65      1
 44008A41  14   7   b   14      11          8              1      HE   -20    65      2
 44004AC1  14   7   b   14      11          8              2      HE   -21    65      1
 420065BB  14  13   t   15       0          1              0      HB    11    59      1
 420063BB  14  13   t   15       0          1              1      HB     7    59      1
 420061BB  14  13   t   15       0          1              2      HB     3    59      1
 420062BB  14  13   t   15       0          2              0      HB     5    59      1
 420060BB  14  13   t   15       0          2              1      HB     1    59      1
 420064BB  14  13   t   15       0          2              2      HB     9    59      1
 420065BC  14  13   t   15       0          3              0      HB    11    60      1
 420063BC  14  13   t   15       0          3              1      HB     7    60      1
 420061BC  14  13   t   15       0          3              2      HB     3    60      1
 420062BC  14  13   t   15       0          4              0      HB     5    60      1
 420060BC  14  13   t   15       0          4              1      HB     1    60      1
 420064BC  14  13   t   15       0          4              2      HB     9    60      1
 4200653B  14  13   t   15       0          5              0      HB    10    59      1
 4200633B  14  13   t   15       0          5              1      HB     6    59      1
 4200613B  14  13   t   15       0          5              2      HB     2    59      1
 4200643B  14  13   t   15       0          6              0      HB     8    59      1
 4200623B  14  13   t   15       0          6              1      HB     4    59      1
 4200663B  14  13   t   15       0          6              2      HB    12    59      1
 4200653C  14  13   t   15       0          7              0      HB    10    60      1
 4200633C  14  13   t   15       0          7              1      HB     6    60      1
 4200613C  14  13   t   15       0          7              2      HB     2    60      1
 4200643C  14  13   t   15       0          8              0      HB     8    60      1
 4200623C  14  13   t   15       0          8              1      HB     4    60      1
 4200663C  14  13   t   15       0          8              2      HB    12    60      1
 420065BD  14  13   b   15       1          1              0      HB    11    61      1
 420063BD  14  13   b   15       1          1              1      HB     7    61      1
 420061BD  14  13   b   15       1          1              2      HB     3    61      1
 420062BD  14  13   b   15       1          2              0      HB     5    61      1
 420060BD  14  13   b   15       1          2              1      HB     1    61      1
 420064BD  14  13   b   15       1          2              2      HB     9    61      1
 420065BE  14  13   b   15       1          3              0      HB    11    62      1
 420063BE  14  13   b   15       1          3              1      HB     7    62      1
 420061BE  14  13   b   15       1          3              2      HB     3    62      1
 420062BE  14  13   b   15       1          4              0      HB     5    62      1
 420060BE  14  13   b   15       1          4              1      HB     1    62      1
 420064BE  14  13   b   15       1          4              2      HB     9    62      1
 4200653D  14  13   b   15       1          5              0      HB    10    61      1
 4200633D  14  13   b   15       1          5              1      HB     6    61      1
 4200613D  14  13   b   15       1          5              2      HB     2    61      1
 4200643D  14  13   b   15       1          6              0      HB     8    61      1
 4200623D  14  13   b   15       1          6              1      HB     4    61      1
 4200663D  14  13   b   15       1          6              2      HB    12    61      1
 4200653E  14  13   b   15       1          7              0      HB    10    62      1
 4200633E  14  13   b   15       1          7              1      HB     6    62      1
 4200613E  14  13   b   15       1          7              2      HB     2    62      1
 4200643E  14  13   b   15       1          8              0      HB     8    62      1
 4200623E  14  13   b   15       1          8              1      HB     4    62      1
 4200663E  14  13   b   15       1          8              2      HB    12    62      1
 4200A83B  14  14   t   15       2          1              0      HB    16    59      2
 4200A7BB  14  14   t   15       2          1              1      HB    15    59      2
 4200673B  14  14   t   15       2          1              2      HB    14    59      1
 420067BB  14  14   t   15       2          2              0      HB    15    59      1
 420066BB  14  14   t   15       2          2              1      HB    13    59      1
 4200683B  14  14   t   15       2          2              2      HB    16    59      1
 4200A83C  14  14   t   15       2          3              0      HB    16    60      2
 4200A7BC  14  14   t   15       2          3              1      HB    15    60      2
 4200673C  14  14   t   15       2          3              2      HB    14    60      1
 420067BC  14  14   t   15       2          4              0      HB    15    60      1
 420066BC  14  14   t   15       2          4              1      HB    13    60      1
 4200683C  14  14   t   15       2          4              2      HB    16    60      1
 440068BB  14  14   t   15       2          5              0      HE    17    59      1
 4400E83B  14  14   t   15       2          5              1      HE    16    59      3
 44006D3B  14  14   t   15       2          5              2      HE    26    59      1
 4400693B  14  14   t   15       2          6              0      HE    18    59      1
 4400A93B  14  14   t   15       2          6              1      HE    18    59      2
 4400AD3B  14  14   t   15       2          6              2      HE    26    59      2
 440068BC  14  14   t   15       2          7              0      HE    17    60      1
 4400E83C  14  14   t   15       2          7              1      HE    16    60      3
 44006CBB  14  14   t   15       2          7              2      HE    25    59      1
 4400693C  14  14   t   15       2          8              0      HE    18    60      1
 4400A93C  14  14   t   15       2          8              1      HE    18    60      2
 4400ACBB  14  14   t   15       2          8              2      HE    25    59      2
 4200A83D  14  14   b   15       3          1              0      HB    16    61      2
 4200A7BD  14  14   b   15       3          1              1      HB    15    61      2
 4200673D  14  14   b   15       3          1              2      HB    14    61      1
 420067BD  14  14   b   15       3          2              0      HB    15    61      1
 420066BD  14  14   b   15       3          2              1      HB    13    61      1
 4200683D  14  14   b   15       3          2              2      HB    16    61      1
 4200A83E  14  14   b   15       3          3              0      HB    16    62      2
 4200A7BE  14  14   b   15       3          3              1      HB    15    62      2
 4200673E  14  14   b   15       3          3              2      HB    14    62      1
 420067BE  14  14   b   15       3          4              0      HB    15    62      1
 420066BE  14  14   b   15       3          4              1      HB    13    62      1
 4200683E  14  14   b   15       3          4              2      HB    16    62      1
 440068BD  14  14   b   15       3          5              0      HE    17    61      1
 4400E83D  14  14   b   15       3          5              1      HE    16    61      3
 44006CBD  14  14   b   15       3          5              2      HE    25    61      1
 4400693D  14  14   b   15       3          6              0      HE    18    61      1
 4400A93D  14  14   b   15       3          6              1      HE    18    61      2
 4400ACBD  14  14   b   15       3          6              2      HE    25    61      2
 440068BE  14  14   b   15       3          7              0      HE    17    62      1
 4400E83E  14  14   b   15       3          7              1      HE    16    62      3
 44006D3D  14  14   b   15       3          7              2      HE    26    61      1
 4400693E  14  14   b   15       3          8              0      HE    18    62      1
 4400A93E  14  14   b   15       3          8              1      HE    18    62      2
 4400AD3D  14  14   b   15       3          8              2      HE    26    61      2
 44006E3B  14  15   t   15       4          1              0      HE    28    59      1
 4400AE3B  14  15   t   15       4          1              1      HE    28    59      2
 44006EBB  14  15   t   15       4          1              2      HE    29    59      1
 4400EE3B  14  15   t   15       4          2              0      HE    28    59      3
 4400AC3B  14  15   t   15       4          2              1      HE    24    59      2
 44006C3B  14  15   t   15       4          2              2      HE    24    59      1
 44006DBB  14  15   t   15       4          3              0      HE    27    59      1
 4400ADBB  14  15   t   15       4          3              1      HE    27    59      2
 4400AEBB  14  15   t   15       4          3              2      HE    29    59      2
 4400EDBB  14  15   t   15       4          4              0      HE    27    59      3
 4400ABBB  14  15   t   15       4          4              1      HE    23    59      2
 44006BBB  14  15   t   15       4          4              2      HE    23    59      1
 4400A9BB  14  15   t   15       4          5              0      HE    19    59      2
 44006A3B  14  15   t   15       4          5              1      HE    20    59      1
 4400AB3B  14  15   t   15       4          5              2      HE    22    59      2
 440069BB  14  15   t   15       4          6              0      HE    19    59      1
 4400AA3B  14  15   t   15       4          6              1      HE    20    59      2
 44006B3B  14  15   t   15       4          6              2      HE    22    59      1
 4400A9BC  14  15   t   15       4          7              0      HE    19    60      2
 44006A3C  14  15   t   15       4          7              1      HE    20    60      1
 4400AABB  14  15   t   15       4          7              2      HE    21    59      2
 440069BC  14  15   t   15       4          8              0      HE    19    60      1
 4400AA3C  14  15   t   15       4          8              1      HE    20    60      2
 44006ABB  14  15   t   15       4          8              2      HE    21    59      1
 44006DBD  14  15   b   15       5          1              0      HE    27    61      1
 4400ADBD  14  15   b   15       5          1              1      HE    27    61      2
 4400AEBD  14  15   b   15       5          1              2      HE    29    61      2
 4400EDBD  14  15   b   15       5          2              0      HE    27    61      3
 4400ABBD  14  15   b   15       5          2              1      HE    23    61      2
 44006BBD  14  15   b   15       5          2              2      HE    23    61      1
 44006E3D  14  15   b   15       5          3              0      HE    28    61      1
 4400AE3D  14  15   b   15       5          3              1      HE    28    61      2
 44006EBD  14  15   b   15       5          3              2      HE    29    61      1
 4400EE3D  14  15   b   15       5          4              0      HE    28    61      3
 4400AC3D  14  15   b   15       5          4              1      HE    24    61      2
 44006C3D  14  15   b   15       5          4              2      HE    24    61      1
 4400A9BD  14  15   b   15       5          5              0      HE    19    61      2
 44006A3D  14  15   b   15       5          5              1      HE    20    61      1
 4400AABD  14  15   b   15       5          5              2      HE    21    61      2
 440069BD  14  15   b   15       5          6              0      HE    19    61      1
 4400AA3D  14  15   b   15       5          6              1      HE    20    61      2
 44006ABD  14  15   b   15       5          6              2      HE    21    61      1
 4400A9BE  14  15   b   15       5          7              0      HE    19    62      2
 44006A3E  14  15   b   15       5          7              1      HE    20    62      1
 4400AB3D  14  15   b   15       5          7              2      HE    22    61      2
 440069BE  14  15   b   15       5          8              0      HE    19    62      1
 4400AA3E  14  15   b   15       5          8              1      HE    20    62      2
 44006B3D  14  15   b   15       5          8              2      HE    22    61      1
 420065BF  14  16   t   15       6          1              0      HB    11    63      1
 420063BF  14  16   t   15       6          1              1      HB     7    63      1
 420061BF  14  16   t   15       6          1              2      HB     3    63      1
 420062BF  14  16   t   15       6          2              0      HB     5    63      1
 420060BF  14  16   t   15       6          2              1      HB     1    63      1
 420064BF  14  16   t   15       6          2              2      HB     9    63      1
 420065C0  14  16   t   15       6          3              0      HB    11    64      1
 420063C0  14  16   t   15       6          3              1      HB     7    64      1
 420061C0  14  16   t   15       6          3              2      HB     3    64      1
 420062C0  14  16   t   15       6          4              0      HB     5    64      1
 420060C0  14  16   t   15       6          4              1      HB     1    64      1
 420064C0  14  16   t   15       6          4              2      HB     9    64      1
 4200653F  14  16   t   15       6          5              0      HB    10    63      1
 4200633F  14  16   t   15       6          5              1      HB     6    63      1
 4200613F  14  16   t   15       6          5              2      HB     2    63      1
 4200643F  14  16   t   15       6          6              0      HB     8    63      1
 4200623F  14  16   t   15       6          6              1      HB     4    63      1
 4200663F  14  16   t   15       6          6              2      HB    12    63      1
 42006540  14  16   t   15       6          7              0      HB    10    64      1
 42006340  14  16   t   15       6          7              1      HB     6    64      1
 42006140  14  16   t   15       6          7              2      HB     2    64      1
 42006440  14  16   t   15       6          8              0      HB     8    64      1
 42006240  14  16   t   15       6          8              1      HB     4    64      1
 42006640  14  16   t   15       6          8              2      HB    12    64      1
 420065C1  14  16   b   15       7          1              0      HB    11    65      1
 420063C1  14  16   b   15       7          1              1      HB     7    65      1
 420061C1  14  16   b   15       7          1              2      HB     3    65      1
 420062C1  14  16   b   15       7          2              0      HB     5    65      1
 420060C1  14  16   b   15       7          2              1      HB     1    65      1
 420064C1  14  16   b   15       7          2              2      HB     9    65      1
 420065C2  14  16   b   15       7          3              0      HB    11    66      1
 420063C2  14  16   b   15       7          3              1      HB     7    66      1
 420061C2  14  16   b   15       7          3              2      HB     3    66      1
 420062C2  14  16   b   15       7          4              0      HB     5    66      1
 420060C2  14  16   b   15       7          4              1      HB     1    66      1
 420064C2  14  16   b   15       7          4              2      HB     9    66      1
 42006541  14  16   b   15       7          5              0      HB    10    65      1
 42006341  14  16   b   15       7          5              1      HB     6    65      1
 42006141  14  16   b   15       7          5              2      HB     2    65      1
