#i     cr sl  tb dcc spigot  fiber  fiberchan        subdet zside sector  module
92 18 3 t 0 0 2 2 CASTOR_HAD 0 1 4
93 18 5 b 2 0 5 1 CASTOR_EM 0 12 2
94 18 7 t 2 1 8 0 CASTOR_HAD 0 14 10
95 18 7 b 2 2 7 0 CASTOR_HAD 0 16 7
96 18 3 t 0 0 6 0 CASTOR_HAD 0 2 5
97 18 6 t 1 3 2 2 CASTOR_HAD 0 16 13
98 18 4 b 1 0 6 2 CASTOR_HAD 0 8 6
99 18 3 b 0 1 2 2 CASTOR_HAD 0 3 6
100 18 4 t 0 2 2 1 CASTOR_HAD 0 5 6
101 18 4 t 0 2 3 2 CASTOR_HAD 0 5 9
102 18 3 b 0 1 8 2 CASTOR_HAD 0 4 10
103 18 3 t 0 0 1 0 CASTOR_EM 0 1 1
104 18 5 t 1 1 5 1 CASTOR_HAD 0 10 3
105 18 6 b 1 2 7 1 CASTOR_HAD 0 10 14
106 18 5 b 2 0 5 2 CASTOR_HAD 0 12 3
107 18 3 t 0 0 8 1 CASTOR_HAD 0 2 12
108 18 4 b 1 0 7 2 CASTOR_HAD 0 8 7
109 18 3 b 0 1 2 1 CASTOR_HAD 0 3 5
110 18 4 t 0 2 5 2 CASTOR_HAD 0 6 3
111 18 4 b 1 0 4 2 CASTOR_HAD 0 7 12
112 18 5 b 2 0 3 2 CASTOR_HAD 0 11 9
113 18 7 b 2 2 8 0 CASTOR_HAD 0 16 10
114 18 4 t 0 2 4 2 CASTOR_HAD 0 5 10
115 18 3 t 0 0 2 1 CASTOR_HAD 0 1 6
116 18 5 b 2 0 6 2 CASTOR_HAD 0 12 4
117 18 5 t 1 1 3 2 CASTOR_HAD 0 9 9
118 18 7 b 2 2 5 2 CASTOR_EM 0 16 1
119 18 4 b 1 0 8 0 CASTOR_HAD 0 8 10
120 18 3 t 0 0 7 2 CASTOR_HAD 0 2 7
121 18 5 t 1 1 3 0 CASTOR_HAD 0 9 7
122 18 6 b 1 2 5 1 CASTOR_HAD 0 15 13
123 18 3 b 0 1 2 0 CASTOR_HAD 0 3 4
124 18 3 b 0 1 4 2 CASTOR_HAD 0 3 10
125 18 6 t 1 3 7 0 CASTOR_HAD 0 12 14
126 18 5 t 1 1 7 0 CASTOR_HAD 0 10 8
127 18 7 b 2 2 1 1 CASTOR_EM 0 15 2
128 18 3 t 0 0 4 2 CASTOR_HAD 0 1 12
129 18 5 b 2 0 2 1 CASTOR_HAD 0 11 5
130 18 5 b 2 0 6 0 CASTOR_HAD 0 12 5
131 18 7 b 2 2 5 0 CASTOR_EM 0 16 2
132 18 4 t 0 2 6 2 CASTOR_HAD 0 6 4
133 18 5 b 2 0 2 2 CASTOR_HAD 0 11 6
134 18 4 b 1 0 6 1 CASTOR_HAD 0 8 5
135 18 3 b 0 1 1 1 CASTOR_HAD 0 3 3
136 18 5 t 1 1 4 0 CASTOR_HAD 0 9 10
137 18 5 t 1 1 8 1 CASTOR_HAD 0 10 12
138 18 4 b 1 0 3 1 CASTOR_HAD 0 7 9
139 18 6 t 1 3 1 0 CASTOR_HAD 0 3 13
140 18 5 b 2 0 8 0 CASTOR_HAD 0 12 11
141 18 5 b 2 0 6 1 CASTOR_HAD 0 12 6
142 18 4 t 0 2 5 1 CASTOR_EM 0 6 2
143 18 5 b 2 0 1 1 CASTOR_HAD 0 11 3
144 18 7 b 2 2 5 1 CASTOR_HAD 0 16 3
145 18 5 b 2 0 3 1 CASTOR_HAD 0 11 8
146 18 7 t 2 1 7 2 CASTOR_HAD 0 14 7
147 18 3 t 0 0 4 1 CASTOR_HAD 0 1 11
148 18 3 b 0 1 1 0 CASTOR_EM 0 3 2
149 18 4 t 0 2 1 0 CASTOR_EM 0 5 2
150 18 5 t 1 1 6 0 CASTOR_HAD 0 10 4
151 18 7 t 2 1 3 2 CASTOR_HAD 0 13 9
152 18 5 b 2 0 4 2 CASTOR_HAD 0 11 12
153 18 7 b 2 2 2 0 CASTOR_HAD 0 15 5
154 18 5 t 1 1 5 2 CASTOR_EM 0 10 1
155 18 3 b 0 1 7 0 CASTOR_HAD 0 4 8
156 18 4 b 1 0 3 0 CASTOR_HAD 0 7 8
157 18 5 t 1 1 7 2 CASTOR_HAD 0 10 7
158 18 5 b 2 0 7 0 CASTOR_HAD 0 12 7
159 18 4 t 0 2 6 1 CASTOR_HAD 0 6 6
160 18 3 b 0 1 1 2 CASTOR_EM 0 3 1
161 18 7 t 2 1 6 0 CASTOR_HAD 0 14 5
162 18 7 t 2 1 8 1 CASTOR_HAD 0 14 11
163 18 3 t 0 0 3 0 CASTOR_HAD 0 1 8
164 18 5 b 2 0 7 1 CASTOR_HAD 0 12 8
165 18 3 t 0 0 1 2 CASTOR_HAD 0 1 3
166 18 3 b 0 1 7 1 CASTOR_HAD 0 4 9
167 18 5 t 1 1 1 1 CASTOR_EM 0 9 2
168 18 5 b 2 0 4 1 CASTOR_HAD 0 11 11
169 18 3 t 0 0 5 1 CASTOR_EM 0 2 2
170 18 3 b 0 1 8 0 CASTOR_HAD 0 4 11
171 18 7 t 2 1 1 0 CASTOR_EM 0 13 1
172 18 6 b 1 2 8 1 CASTOR_HAD 0 8 14
173 18 4 t 0 2 2 0 CASTOR_HAD 0 5 5
174 18 4 b 1 0 7 0 CASTOR_HAD 0 8 8
175 18 6 t 1 3 7 1 CASTOR_HAD 0 11 13
176 18 6 t 1 3 2 0 CASTOR_HAD 0 2 13
177 18 7 t 2 1 3 0 CASTOR_HAD 0 13 7
178 18 7 b 2 2 3 0 CASTOR_HAD 0 15 7
179 18 4 b 1 0 4 1 CASTOR_HAD 0 7 11
180 18 5 t 1 1 6 1 CASTOR_HAD 0 10 5
181 18 7 t 2 1 8 2 CASTOR_HAD 0 14 12
182 18 5 b 2 0 7 2 CASTOR_HAD 0 12 9
183 18 6 t 1 3 6 1 CASTOR_HAD 0 6 14
184 18 7 b 2 2 8 1 CASTOR_HAD 0 16 11
185 18 6 b 1 2 8 2 CASTOR_HAD 0 5 13
186 18 4 b 1 0 7 1 CASTOR_HAD 0 8 9
187 18 7 t 2 1 5 2 CASTOR_HAD 0 14 3
188 18 3 b 0 1 8 1 CASTOR_HAD 0 4 12
189 18 7 t 2 1 2 2 CASTOR_HAD 0 13 6
190 18 7 t 2 1 7 0 CASTOR_HAD 0 14 8
191 18 4 b 1 0 8 1 CASTOR_HAD 0 8 11
192 18 7 b 2 2 4 1 CASTOR_HAD 0 15 12
193 18 3 t 0 0 2 0 CASTOR_HAD 0 1 5
194 18 3 t 0 0 8 2 CASTOR_HAD 0 2 10
195 18 5 t 1 1 2 0 CASTOR_HAD 0 9 4
196 18 3 t 0 0 6 2 CASTOR_HAD 0 2 4
197 18 5 b 2 0 3 0 CASTOR_HAD 0 11 7
198 18 4 t 0 2 3 0 CASTOR_HAD 0 5 7
199 18 3 b 0 1 6 1 CASTOR_HAD 0 4 6
200 18 7 t 2 1 2 1 CASTOR_HAD 0 13 5
201 18 7 b 2 2 1 0 CASTOR_EM 0 15 1
202 18 5 t 1 1 5 0 CASTOR_EM 0 10 2
203 18 7 b 2 2 3 1 CASTOR_HAD 0 15 8
204 18 6 t 1 3 5 2 CASTOR_HAD 0 9 13
205 18 6 b 1 2 6 0 CASTOR_HAD 0 13 14
206 18 4 b 1 0 8 2 CASTOR_HAD 0 8 12
207 18 4 t 0 2 7 1 CASTOR_HAD 0 6 9
208 18 7 b 2 2 4 0 CASTOR_HAD 0 15 11
209 18 6 b 1 2 7 2 CASTOR_HAD 0 10 13
210 18 3 t 0 0 7 1 CASTOR_HAD 0 2 9
211 18 3 b 0 1 4 1 CASTOR_HAD 0 3 12
212 18 5 b 2 0 8 1 CASTOR_HAD 0 12 12
213 18 7 t 2 1 5 0 CASTOR_EM 0 14 1
214 18 4 t 0 2 8 2 CASTOR_HAD 0 6 12
215 18 3 b 0 1 7 2 CASTOR_HAD 0 4 7
216 18 7 t 2 1 2 0 CASTOR_HAD 0 13 4
217 18 6 b 1 2 7 0 CASTOR_HAD 0 9 14
218 18 6 b 1 2 8 0 CASTOR_HAD 0 6 13
219 18 3 t 0 0 4 0 CASTOR_HAD 0 1 10
220 18 3 t 0 0 3 2 CASTOR_HAD 0 1 7
221 18 4 b 1 0 1 2 CASTOR_HAD 0 7 3
222 18 5 t 1 1 2 2 CASTOR_HAD 0 9 6
223 18 3 t 0 0 6 1 CASTOR_HAD 0 2 6
224 18 4 t 0 2 1 2 CASTOR_EM 0 5 1
