#i     cr sl  tb dcc spigot  fiber  fiberchan        subdet zside sector  module
52 0 8 t 0 2 2 0 CASTOR_HAD 0 5 4
53 0 8 t 0 2 2 1 CASTOR_HAD 0 5 5
54 0 8 t 0 2 2 2 CASTOR_HAD 0 5 6
55 0 8 t 0 2 3 0 CASTOR_HAD 0 5 7
56 0 8 t 0 2 3 1 CASTOR_HAD 0 5 8
57 0 8 t 0 2 3 2 CASTOR_HAD 0 5 9
58 0 8 t 0 2 4 0 CASTOR_HAD 0 5 10
59 0 8 t 0 2 4 1 CASTOR_HAD 0 5 11
60 0 8 t 0 2 4 2 CASTOR_HAD 0 5 12
61 0 8 t 0 2 5 0 CASTOR_EM  0 6 1
62 0 8 t 0 2 5 1 CASTOR_EM  0 6 2
63 0 8 t 0 2 5 2 CASTOR_HAD 0 6 3
64 0 8 t 0 2 6 0 CASTOR_HAD 0 6 4
65 0 8 t 0 2 6 1 CASTOR_HAD 0 6 5
66 0 8 t 0 2 6 2 CASTOR_HAD 0 6 6
67 0 8 t 0 2 7 0 CASTOR_HAD 0 6 7
68 0 8 t 0 2 7 1 CASTOR_HAD 0 6 8
69 0 8 t 0 2 7 2 CASTOR_HAD 0 6 9
70 0 8 t 0 2 8 0 CASTOR_HAD 0 6 10
71 0 8 t 0 2 8 1 CASTOR_HAD 0 6 11
72 0 8 t 0 2 8 2 CASTOR_HAD 0 6 12
73 0 8 b 1 0 1 0 CASTOR_EM  0 7 1
74 0 8 b 1 0 1 1 CASTOR_EM  0 7 2
75 0 8 b 1 0 1 2 CASTOR_HAD 0 7 3
76 0 8 b 1 0 2 0 CASTOR_HAD 0 7 4
77 0 8 b 1 0 2 1 CASTOR_HAD 0 7 5
78 0 8 b 1 0 2 2 CASTOR_HAD 0 7 6
79 0 8 b 1 0 3 0 CASTOR_HAD 0 7 7
80 0 8 b 1 0 3 1 CASTOR_HAD 0 7 8
81 0 8 b 1 0 3 2 CASTOR_HAD 0 7 9
82 0 8 b 1 0 4 0 CASTOR_HAD 0 7 10
83 0 8 b 1 0 4 1 CASTOR_HAD 0 7 11
84 0 8 b 1 0 4 2 CASTOR_HAD 0 7 12
85 0 8 b 1 0 5 0 CASTOR_EM  0 8 1
86 0 8 b 1 0 5 1 CASTOR_EM  0 8 2
87 0 8 b 1 0 5 2 CASTOR_HAD 0 8 3
88 0 8 b 1 0 6 0 CASTOR_HAD 0 8 4
89 0 8 b 1 0 6 1 CASTOR_HAD 0 8 5
90 0 8 b 1 0 6 2 CASTOR_HAD 0 8 6
91 0 8 b 1 0 7 0 CASTOR_HAD 0 8 7
92 0 8 b 1 0 7 1 CASTOR_HAD 0 8 8
93 0 8 b 1 0 7 2 CASTOR_HAD 0 8 9
94 0 8 b 1 0 8 0 CASTOR_HAD 0 8 10
95 0 8 b 1 0 8 1 CASTOR_HAD 0 8 11
96 0 8 b 1 0 8 2 CASTOR_HAD 0 8 12
97 0 9 t 1 1 1 0 CASTOR_EM  0 9 1
98 0 9 t 1 1 1 1 CASTOR_EM  0 9 2
99 0 9 t 1 1 1 2 CASTOR_HAD 0 9 3
100 0 9 t 1 1 2 0 CASTOR_HAD 0 9 4
101 0 9 t 1 1 2 1 CASTOR_HAD 0 9 5
102 0 9 t 1 1 2 2 CASTOR_HAD 0 9 6
103 0 9 t 1 1 3 0 CASTOR_HAD 0 9 7
104 0 9 t 1 1 3 1 CASTOR_HAD 0 9 8
105 0 9 t 1 1 3 2 CASTOR_HAD 0 9 9
106 0 9 t 1 1 4 0 CASTOR_HAD 0 9 10
107 0 9 t 1 1 4 1 CASTOR_HAD 0 9 11
108 0 9 t 1 1 4 2 CASTOR_HAD 0 9 12
109 0 9 t 1 1 5 0 CASTOR_EM  0 10 1
110 0 9 t 1 1 5 1 CASTOR_EM  0 10 2
111 0 9 t 1 1 5 2 CASTOR_HAD 0 10 3
112 0 9 t 1 1 6 0 CASTOR_HAD 0 10 4
113 0 9 t 1 1 6 1 CASTOR_HAD 0 10 5
114 0 9 t 1 1 6 2 CASTOR_HAD 0 10 6
115 0 9 t 1 1 7 0 CASTOR_HAD 0 10 7
116 0 9 t 1 1 7 1 CASTOR_HAD 0 10 8
117 0 9 t 1 1 7 2 CASTOR_HAD 0 10 9
118 0 9 t 1 1 8 0 CASTOR_HAD 0 10 10
119 0 9 t 1 1 8 1 CASTOR_HAD 0 10 11
120 0 9 t 1 1 8 2 CASTOR_HAD 0 10 12
121 0 9 b 1 2 1 0 CASTOR_EM  0 11 1
122 0 9 b 1 2 1 1 CASTOR_EM  0 11 2
123 0 9 b 1 2 1 2 CASTOR_HAD 0 11 3
124 0 9 b 1 2 2 0 CASTOR_HAD 0 11 4
125 0 9 b 1 2 2 1 CASTOR_HAD 0 11 5
126 0 9 b 1 2 2 2 CASTOR_HAD 0 11 6
127 0 9 b 1 2 3 0 CASTOR_HAD 0 11 7
128 0 9 b 1 2 3 1 CASTOR_HAD 0 11 8
129 0 9 b 1 2 3 2 CASTOR_HAD 0 11 9
130 0 9 b 1 2 4 0 CASTOR_HAD 0 11 10
131 0 9 b 1 2 4 1 CASTOR_HAD 0 11 11
132 0 9 b 1 2 4 2 CASTOR_HAD 0 11 12
133 0 9 b 1 2 5 0 CASTOR_EM  0 12 1
134 0 9 b 1 2 5 1 CASTOR_EM  0 12 2
135 0 9 b 1 2 5 2 CASTOR_HAD 0 12 3
136 0 9 b 1 2 6 0 CASTOR_HAD 0 12 4
137 0 9 b 1 2 6 1 CASTOR_HAD 0 12 5
138 0 9 b 1 2 6 2 CASTOR_HAD 0 12 6
139 0 9 b 1 2 7 0 CASTOR_HAD 0 12 7
140 0 9 b 1 2 7 1 CASTOR_HAD 0 12 8
141 0 9 b 1 2 7 2 CASTOR_HAD 0 12 9
142 0 9 b 1 2 8 0 CASTOR_HAD 0 12 10
143 0 9 b 1 2 8 1 CASTOR_HAD 0 12 11
144 0 9 b 1 2 8 2 CASTOR_HAD 0 12 12
145 0 10 t 2 0 1 0 CASTOR_EM  0 13 1
146 0 10 t 2 0 1 1 CASTOR_EM  0 13 2
147 0 10 t 2 0 1 2 CASTOR_HAD 0 13 3
148 0 10 t 2 0 2 0 CASTOR_HAD 0 13 4
149 0 10 t 2 0 2 1 CASTOR_HAD 0 13 5
150 0 10 t 2 0 2 2 CASTOR_HAD 0 13 6
151 0 10 t 2 0 3 0 CASTOR_HAD 0 13 7
152 0 10 t 2 0 3 1 CASTOR_HAD 0 13 8
153 0 10 t 2 0 3 2 CASTOR_HAD 0 13 9
154 0 10 t 2 0 4 0 CASTOR_HAD 0 13 10
155 0 10 t 2 0 4 1 CASTOR_HAD 0 13 11
156 0 10 t 2 0 4 2 CASTOR_HAD 0 13 12
157 0 10 t 2 0 5 0 CASTOR_EM  0 14 1
158 0 10 t 2 0 5 1 CASTOR_EM  0 14 2
159 0 10 t 2 0 5 2 CASTOR_HAD 0 14 3
160 0 10 t 2 0 6 0 CASTOR_HAD 0 14 4
161 0 10 t 2 0 6 1 CASTOR_HAD 0 14 5
162 0 10 t 2 0 6 2 CASTOR_HAD 0 14 6
163 0 10 t 2 0 7 0 CASTOR_HAD 0 14 7
164 0 10 t 2 0 7 1 CASTOR_HAD 0 14 8
165 0 10 t 2 0 7 2 CASTOR_HAD 0 14 9
166 0 10 t 2 0 8 0 CASTOR_HAD 0 14 10
167 0 10 t 2 0 8 1 CASTOR_HAD 0 14 11
168 0 10 t 2 0 8 2 CASTOR_HAD 0 14 12
169 0 10 b 2 1 1 0 CASTOR_EM  0 15 1
170 0 10 b 2 1 1 1 CASTOR_EM  0 15 2
171 0 10 b 2 1 1 2 CASTOR_HAD 0 15 3
172 0 10 b 2 1 2 0 CASTOR_HAD 0 15 4
173 0 10 b 2 1 2 1 CASTOR_HAD 0 15 5
174 0 10 b 2 1 2 2 CASTOR_HAD 0 15 6
175 0 10 b 2 1 3 0 CASTOR_HAD 0 15 7
176 0 10 b 2 1 3 1 CASTOR_HAD 0 15 8
177 0 10 b 2 1 3 2 CASTOR_HAD 0 15 9
178 0 10 b 2 1 4 0 CASTOR_HAD 0 15 10
179 0 10 b 2 1 4 1 CASTOR_HAD 0 15 11
180 0 10 b 2 1 4 2 CASTOR_HAD 0 15 12
181 0 10 b 2 1 5 0 CASTOR_EM  0 16 1
182 0 10 b 2 1 5 1 CASTOR_EM  0 16 2
183 0 10 b 2 1 5 2 CASTOR_HAD 0 16 3
184 0 10 b 2 1 6 0 CASTOR_HAD 0 16 4
185 0 10 b 2 1 6 1 CASTOR_HAD 0 16 5
186 0 10 b 2 1 6 2 CASTOR_HAD 0 16 6
187 0 10 b 2 1 7 0 CASTOR_HAD 0 16 7
188 0 10 b 2 1 7 1 CASTOR_HAD 0 16 8
189 0 10 b 2 1 7 2 CASTOR_HAD 0 16 9
190 0 10 b 2 1 8 0 CASTOR_HAD 0 16 10
191 0 10 b 2 1 8 1 CASTOR_HAD 0 16 11
192 0 10 b 2 1 8 2 CASTOR_HAD 0 16 12
193 0 11 t 2 2 1 0 CASTOR_HAD 0 16 13
194 0 11 t 2 2 1 1 CASTOR_HAD 0 16 14
195 0 11 t 2 2 1 2 CASTOR_HAD 0 15 13
196 0 11 t 2 2 2 0 CASTOR_HAD 0 15 14
197 0 11 t 2 2 2 1 CASTOR_HAD 0 14 13
198 0 11 t 2 2 2 2 CASTOR_HAD 0 14 14
199 0 11 t 2 2 3 0 CASTOR_HAD 0 13 13
200 0 11 t 2 2 3 1 CASTOR_HAD 0 13 14
201 0 11 t 2 2 3 2 CASTOR_HAD 0 12 13
202 0 11 t 2 2 4 0 CASTOR_HAD 0 12 14
203 0 11 t 2 2 4 1 CASTOR_HAD 0 11 13
204 0 11 t 2 2 4 2 CASTOR_HAD 0 11 14
205 0 11 t 2 2 5 0 CASTOR_HAD 0 10 13
206 0 11 t 2 2 5 1 CASTOR_HAD 0 10 14
207 0 11 t 2 2 5 2 CASTOR_HAD 0 9 13
208 0 11 t 2 2 6 0 CASTOR_HAD 0 9 14
209 0 11 t 2 2 6 1 CASTOR_HAD 0 8 13
210 0 11 t 2 2 6 2 CASTOR_HAD 0 8 14
211 0 11 t 2 2 7 0 CASTOR_HAD 0 7 13
212 0 11 t 2 2 7 1 CASTOR_HAD 0 7 14
213 0 11 t 2 2 7 2 CASTOR_HAD 0 6 13
214 0 11 t 2 2 8 0 CASTOR_HAD 0 6 14
215 0 11 t 2 2 8 1 CASTOR_HAD 0 5 13
216 0 11 t 2 2 8 2 CASTOR_HAD 0 5 14
217 0 11 b 3 0 1 0 CASTOR_HAD 0 4 13
218 0 11 b 3 0 1 1 CASTOR_HAD 0 4 14
219 0 11 b 3 0 1 2 CASTOR_HAD 0 3 13
220 0 11 b 3 0 2 0 CASTOR_HAD 0 3 14
221 0 11 b 3 0 2 1 CASTOR_HAD 0 2 13
222 0 11 b 3 0 2 2 CASTOR_HAD 0 2 14
223 0 11 b 3 0 3 0 CASTOR_HAD 0 1 13
224 0 11 b 3 0 3 1 CASTOR_HAD 0 1 14
