   Wtype     ROC HalfROC     Seq  ROCpin  SiCell  TrLink  TrCell      iu      iv   trace       t
    ML-F       0       1       8      44      -1      -1      -1      -1      -1    0.00      -1
    ML-F       0       1       9      45      74       2       2       6       7   48.89       1
    ML-F       0       1      10      46      88       2       2       7       7   50.00       1
    ML-F       0       1      11      47      87       2       2       7       6   34.29       1
    ML-F       0       1      12      48      73       2       2       6       6   33.84       1
    ML-F       0       1      13      49      71       2       3       6       4   19.78       1
    ML-F       0       1      14      50      86       2       3       7       5   37.72       1
    ML-F       0       1      15      51      72       2       3       6       5   28.18       1
    ML-F       0       1      16      52      85       2       3       7       4   37.70       1
    ML-F       0       1      17      53      -1      -1      -1      -1      -1    0.00      -1
    ML-F       0       1      18  CALIB1      70      -1      -1       6       3    0.00       0
    ML-F       0       1      19      54      -1      -1      -1      -1      -1    0.00      -1
    ML-F       0       1      20      55      69       3       0       6       3   38.79       1
    ML-F       0       1      21      56      84       3       0       7       3   40.99       1
    ML-F       0       1      22      57      68       3       0       6       2   41.15       1
    ML-F       0       1      23      58      83       3       0       7       2   47.83       1
    ML-F       0       1      24      59      43       3       1       4       3    8.46       1
    ML-F       0       1      25      60      42       3       1       4       2    9.81       1
    ML-F       0       1      26      61      55       3       1       5       3   20.10       1
    ML-F       0       1      27      62      54       3       1       5       2   29.91       1
    ML-F       0       1      28      63      -1      -1      -1      -1      -1    0.00      -1
    ML-F       0       1      29      64      67       3       2       6       1   43.21       1
    ML-F       0       1      30      65      82       3       2       7       1   62.38       1
    ML-F       0       1      31      66      66       3       2       6       0   58.75       1
    ML-F       0       1      32      67      81       3       2       7       0   67.26       1
    ML-F       0       1      33      68      52       3       3       5       0   42.18       1
    ML-F       0       1      34      69      41       3       3       4       1   28.19       1
    ML-F       0       1      35      70      53       3       3       5       1   37.62       1
    ML-F       0       1      36      71      40       3       3       4       0   40.36       1
    ML-F       1       0       0       0     165       0       0      12      12   41.83       1
    ML-F       1       0       1       1     177       0       0      13      13   49.49       1
    ML-F       1       0       2       2     151       0       0      11      12   38.19       1
    ML-F       1       0       3       3     166       0       0      12      13   44.70       1
    ML-F       1       0       4       4     178       0       1      13      14   49.26       1
    ML-F       1       0       5       5     188       0       1      14      14   67.07       1
    ML-F       1       0       6       6     198       0       1      15      15   70.57       1
    ML-F       1       0       7       7     189       0       1      14      15   60.82       1
    ML-F       1       0       8       8      -1      -1      -1      -1      -1    0.00      -1
    ML-F       1       0       9       9     179       0       2      13      15   56.79       1
    ML-F       1       0      10      10     167       0       2      12      14   46.80       1
    ML-F       1       0      11      11     168       0       2      12      15   48.72       1
    ML-F       1       0      12      12     153       0       2      11      14   46.56       1
    ML-F       1       0      13      13     137       0       3      10      12   11.55       1
    ML-F       1       0      14      14     123       0       3       9      12   10.64       1
    ML-F       1       0      15      15     138       0       3      10      13   13.43       1
    ML-F       1       0      16      16     152       0       3      11      13   30.36       1
    ML-F       1       0      17      17      -1      -1      -1      -1      -1    0.00      -1
    ML-F       1       0      18  CALIB0     154      -1      -1      11      14    0.00       0
    ML-F       1       0      19      18      -1      -1      -1      -1      -1    0.00      -1
    ML-F       1       0      20      19     155       1       0      11      15   35.87       1
    ML-F       1       0      21      20     139       1       0      10      14   29.88       1
    ML-F       1       0      22      21     140       1       0      10      15   35.00       1
    ML-F       1       0      23      22     125       1       0       9      14   31.39       1
    ML-F       1       0      24      23     126       1       1       9      15   34.24       1
    ML-F       1       0      25      24     111       1       1       8      15   47.74       1
    ML-F       1       0      26      25     110       1       1       8      14   41.86       1
    ML-F       1       0      27      26      95       1       1       7      14   44.10       1
    ML-F       1       0      28      27      -1      -1      -1      -1      -1    0.00      -1
    ML-F       1       0      29      28     109       1       2       8      13   13.67       1
    ML-F       1       0      30      29      93       1       2       7      12   37.18       1
    ML-F       1       0      31      30     124       1       2       9      13    9.47       1
    ML-F       1       0      32      31     108       1       2       8      12    7.68       1
    ML-F       1       0      33      32      94       1       3       7      13   35.00       1
    ML-F       1       0      34      33      79       1       3       6      12   43.58       1
    ML-F       1       0      35      34      80       1       3       6      13   45.31       1
    ML-F       1       0      36      35      65       1       3       5      12   48.50       1
    ML-F       1       1       0      36     121       2       0       9      10   35.78       1
    ML-F       1       1       1      37     135       2       0      10      10   43.65       1
    ML-F       1       1       2      38     136       2       0      10      11   37.56       1
    ML-F       1       1       3      39     150       2       0      11      11   77.07       1
    ML-F       1       1       4      40     107       2       1       8      11   16.34       1
    ML-F       1       1       5      41     106       2       1       8      10   17.87       1
    ML-F       1       1       6      42      91       2       1       7      10   21.05       1
    ML-F       1       1       7      43     122       2       1       9      11   23.30       1
    ML-F       1       1       8      44      -1      -1      -1      -1      -1    0.00      -1
    ML-F       1       1       9      45     120       2       2       9       9   53.70       1
    ML-F       1       1      10      46     104       2       2       8       8   49.81       1
    ML-F       1       1      11      47      89       2       2       7       8   34.59       1
    ML-F       1       1      12      48     105       2       2       8       9   33.36       1
    ML-F       1       1      13      49      76       2       3       6       9   19.55       1
    ML-F       1       1      14      50      75       2       3       6       8   41.18       1
    ML-F       1       1      15      51      90       2       3       7       9   27.96       1
    ML-F       1       1      16      52      60       2       3       5       8   32.68       1
    ML-F       1       1      17      53      -1      -1      -1      -1      -1    0.00      -1
    ML-F       1       1      18  CALIB1      62      -1      -1       5       9    0.00       0
    ML-F       1       1      19      54      -1      -1      -1      -1      -1    0.00      -1
    ML-F       1       1      20      55      61       3       0       5       9   46.40       1
    ML-F       1       1      21      56      48       3       0       4       8   44.74       1
    ML-F       1       1      22      57      49       3       0       4       9   43.61       1
    ML-F       1       1      23      58      37       3       0       3       8   51.08       1
    ML-F       1       1      24      59      92       3       1       7      11    9.28       1
    ML-F       1       1      25      60      78       3       1       6      11   10.62       1
    ML-F       1       1      26      61      77       3       1       6      10   19.11       1
    ML-F       1       1      27      62      63       3       1       5      10   31.20       1
    ML-F       1       1      28      63      -1      -1      -1      -1      -1    0.00      -1
    ML-F       1       1      29      64      38       3       2       3       9   51.97       1
    ML-F       1       1      30      65      27       3       2       2       8   58.35       1
    ML-F       1       1      31      66      28       3       2       2       9   54.05       1
    ML-F       1       1      32      67      18       3       2       1       8   73.57       1
    ML-F       1       1      33      68      39       3       3       3      10   46.14       1
    ML-F       1       1      34      69      64       3       3       5      11   27.99       1
    ML-F       1       1      35      70      50       3       3       4      10   38.12       1
    ML-F       1       1      36      71      51       3       3       4      11   40.21       1
    ML-F       2       0       0       0      99       0       0       8       3   42.39       1
    ML-F       2       0       1       1      98       0       0       8       2   50.32       1
    ML-F       2       0       2       2     115       0       0       9       4   33.69       1
    ML-F       2       0       3       3     114       0       0       9       3   47.10       1
    ML-F       2       0       4       4      96       0       1       8       0   71.33       1
    ML-F       2       0       5       5      97       0       1       8       1   57.69       1
    ML-F       2       0       6       6     113       0       1       9       2   56.40       1
    ML-F       2       0       7       7     112       0       1       9       1   60.91       1
    ML-F       2       0       8       8      -1      -1      -1      -1      -1    0.00      -1
    ML-F       2       0       9       9     127       0       2      10       2   52.34       1
    ML-F       2       0      10      10     128       0       2      10       3   46.37       1
    ML-F       2       0      11      11     141       0       2      11       3   47.34       1
    ML-F       2       0      12      12     142       0       2      11       4   34.03       1
    ML-F       2       0      13      13     130       0       3      10       5   12.30       1
    ML-F       2       0      14      14     145       0       3      11       6   10.94       1
    ML-F       2       0      15      15     144       0       3      11       5   14.08       1
    ML-F       2       0      16      16     129       0       3      10       4   25.08       1
    ML-F       2       0      17      17      -1      -1      -1      -1      -1    0.00      -1
    ML-F       2       0      18  CALIB0     143      -1      -1      11       4    0.00       0
    ML-F       2       0      19      18      -1      -1      -1      -1      -1    0.00      -1
    ML-F       2       0      20      19     157       1       0      12       5   28.81       1
    ML-F       2       0      21      20     156       1       0      12       4   34.10       1
    ML-F       2       0      22      21     169       1       0      13       5   36.49       1
    ML-F       2       0      23      22     170       1       0      13       6   31.18       1
    ML-F       2       0      24      23     180       1       1      14       6   37.71       1
    ML-F       2       0      25      24     190       1       1      15       7   45.03       1
    ML-F       2       0      26      25     181       1       1      14       7   38.75       1
    ML-F       2       0      27      26     191       1       1      15       8   41.02       1
    ML-F       2       0      28      27      -1      -1      -1      -1      -1    0.00      -1
    ML-F       2       0      29      28     171       1       2      13       7   12.92       1
    ML-F       2       0      30      29     172       1       2      13       8   30.44       1
    ML-F       2       0      31      30     158       1       2      12       6    8.87       1
    ML-F       2       0      32      31     159       1       2      12       7    7.57       1
    ML-F       2       0      33      32     192       1       3      15       9   45.17       1
    ML-F       2       0      34      33     193       1       3      15      10   46.96       1
    ML-F       2       0      35      34     182       1       3      14       8   36.56       1
    ML-F       2       0      36      35     183       1       3      14       9   37.37       1
    ML-F       2       1       0      36     100       2       0       8       4   48.71       1
    ML-F       2       1       1      37     101       2       0       8       5   42.48       1
    ML-F       2       1       2      38     116       2       0       9       5   44.33       1
    ML-F       2       1       3      39     117       2       0       9       6   38.93       1
    ML-F       2       1       4      40     146       2       1      11       7   17.97       1
    ML-F       2       1       5      41     132       2       1      10       7   17.40       1
    ML-F       2       1       6      42     147       2       1      11       8   20.75       1
    ML-F       2       1       7      43     131       2       1      10       6   22.00       1
    ML-F       2       1       8      44      -1      -1      -1      -1      -1    0.00      -1
    ML-F       2       1       9      45     102       2       2       8       6   43.55       1
    ML-F       2       1      10      46     103       2       2       8       7   50.77       1
    ML-F       2       1      11      47     119       2       2       9       8   37.99       1
    ML-F       2       1      12      48     118       2       2       9       7   37.86       1
    ML-F       2       1      13      49     148       2       3      11       9   19.57       1
    ML-F       2       1      14      50     134       2       3      10       9   44.58       1
    ML-F       2       1      15      51     133       2       3      10       8   27.78       1
    ML-F       2       1      16      52     149       2       3      11      10   37.33       1
    ML-F       2       1      17      53      -1      -1      -1      -1      -1    0.00      -1
    ML-F       2       1      18  CALIB1     163      -1      -1      12      10    0.00       0
    ML-F       2       1      19      54      -1      -1      -1      -1      -1    0.00      -1
    ML-F       2       1      20      55     162       3       0      12      10   39.87       1
    ML-F       2       1      21      56     164       3       0      12      11   41.44       1
    ML-F       2       1      22      57     175       3       0      13      11   40.92       1
    ML-F       2       1      23      58     176       3       0      13      12   45.57       1
    ML-F       2       1      24      59     160       3       1      12       8    8.38       1
    ML-F       2       1      25      60     173       3       1      13       9   10.07       1
    ML-F       2       1      26      61     161       3       1      12       9   19.18       1
    ML-F       2       1      27      62     174       3       1      13      10   30.03       1
    ML-F       2       1      28      63      -1      -1      -1      -1      -1    0.00      -1
    ML-F       2       1      29      64     186       3       2      14      12   51.70       1
    ML-F       2       1      30      65     187       3       2      14      13   57.40       1
    ML-F       2       1      31      66     196       3       2      15      13   53.95       1
    ML-F       2       1      32      67     197       3       2      15      14   71.59       1
    ML-F       2       1      33      68     195       3       3      15      12   43.25       1
    ML-F       2       1      34      69     184       3       3      14      10   27.78       1
    ML-F       2       1      35      70     185       3       3      14      11   37.57       1
    ML-F       2       1      36      71     194       3       3      15      11   46.35       1
    MH-F       0       0       0       0      76       0       0       5       3    0.00       1
    MH-F       0       0       1       1      60       0       0       4       3    0.00       1
    MH-F       0       0       2       2      78       0       0       5       5    0.00       1
    MH-F       0       0       3       3      77       0       0       5       4    0.00       1
    MH-F       0       0       4       4      46       0       0       3       4    0.00       1
    MH-F       0       0       5       5      62       0       0       4       5    0.00       1
    MH-F       0       0       6       6      47       0       0       3       5    0.00       1
    MH-F       0       0       7       7      45       0       0       3       3    0.00       1
    MH-F       0       0       8       8      61       0       0       4       4    0.00       1
    MH-F       0       0       9       9      18       0       2       1       5    0.00       1
    MH-F       0       0      10      10      31       0       2       2       4    0.00       1
    MH-F       0       0      11      11      32       0       2       2       5    0.00       1
    MH-F       0       0      12      12       6       0       2       0       5    0.00       1
    MH-F       0       0      13      13      16       0       2       1       3    0.00       1
    MH-F       0       0      14      14      29       0       2       2       3    0.00       1
    MH-F       0       0      15      15      17       0       2       1       4    0.00       1
    MH-F       0       0      16      16       5       0       2       0       4    0.00       1
    MH-F       0       0      17      17       4       0       2       0       3    0.00       1
    MH-F       0       0      18  CALIB0      30      -1      -1       2       3    0.00       0
    MH-F       0       0      19      18       3       0       1       0       2    0.00       1
    MH-F       0       0      20      19       2       0       1       0       1    0.00       1
    MH-F       0       0      21      20       1       0       1       0       0    0.00       1
    MH-F       0       0      22      21      15       0       1       1       2    0.00       1
    MH-F       0       0      23      22      14       0       1       1       1    0.00       1
    MH-F       0       0      24      23      27       0       1       2       1    0.00       1
    MH-F       0       0      25      24      13       0       1       1       0    0.00       1
    MH-F       0       0      26      25      28       0       1       2       2    0.00       1
    MH-F       0       0      27      26      26       0       1       2       0    0.00       1
    MH-F       0       0      28      27      73       0       3       5       0    0.00       1
    MH-F       0       0      29      28      59       0       3       4       2    0.00       1
    MH-F       0       0      30      29      44       0       3       3       2    0.00       1
    MH-F       0       0      31      30      43       0       3       3       1    0.00       1
    MH-F       0       0      32      31      75       0       3       5       2    0.00       1
    MH-F       0       0      33      32      58       0       3       4       1    0.00       1
    MH-F       0       0      34      33      74       0       3       5       1    0.00       1
    MH-F       0       0      35      34      42       0       3       3       0    0.00       1
    MH-F       0       0      36      35      57       0       3       4       0    0.00       1
    MH-F       0       1       0      36      95       2       0       6       4    0.00       1
    MH-F       0       1       1      37     114       2       0       7       5    0.00       1
    MH-F       0       1       2      38      96       2       0       6       5    0.00       1
    MH-F       0       1       3      39      94       2       0       6       3    0.00       1
    MH-F       0       1       4      40     113       2       0       7       4    0.00       1
    MH-F       0       1       5      41     112       2       0       7       3    0.00       1
    MH-F       0       1       6      42     132       2       0       8       4    0.00       1
    MH-F       0       1       7      43     131       2       0       8       3    0.00       1
    MH-F       0       1       8      44     133       2       0       8       5    0.00       1
    MH-F       0       1       9      45     175       2       2      10       4    0.00       1
    MH-F       0       1      10      46     154       2       2       9       5    0.00       1
    MH-F       0       1      11      47     153       2       2       9       4    0.00       1
    MH-F       0       1      12      48     176       2       2      10       5    0.00       1
    MH-F       0       1      13      49     152       2       2       9       3    0.00       1
    MH-F       0       1      14      50     198       2       2      11       5    0.00       1
    MH-F       0       1      15      51     197       2       2      11       4    0.00       1
    MH-F       0       1      16      52     174       2       2      10       3    0.00       1
    MH-F       0       1      17      53     196       2       2      11       3    0.00       1
    MH-F       0       1      18  CALIB1     151      -1      -1       9       2    0.00       0
    MH-F       0       1      19      54     194       2       1      11       1    0.00       1
    MH-F       0       1      20      55     171       2       1      10       0    0.00       1
    MH-F       0       1      21      56     195       2       1      11       2    0.00       1
    MH-F       0       1      22      57     193       2       1      11       0    0.00       1
    MH-F       0       1      23      58     173       2       1      10       2    0.00       1
    MH-F       0       1      24      59     172       2       1      10       1    0.00       1
    MH-F       0       1      25      60     150       2       1       9       2    0.00       1
    MH-F       0       1      26      61     149       2       1       9       1    0.00       1
    MH-F       0       1      27      62     148       2       1       9       0    0.00       1
    MH-F       0       1      28      63     109       2       3       7       0    0.00       1
    MH-F       0       1      29      64     130       2       3       8       2    0.00       1
    MH-F       0       1      30      65     111       2       3       7       2    0.00       1
    MH-F       0       1      31      66     110       2       3       7       1    0.00       1
    MH-F       0       1      32      67      92       2       3       6       1    0.00       1
    MH-F       0       1      33      68      93       2       3       6       2    0.00       1
    MH-F       0       1      34      69      91       2       3       6       0    0.00       1
    MH-F       0       1      35      70     129       2       3       8       1    0.00       1
    MH-F       0       1      36      71     128       2       3       8       0    0.00       1
    MH-F       1       0       0       0     117       0       0       7       8    0.00       1
    MH-F       1       0       1       1     136       0       0       8       8    0.00       1
    MH-F       1       0       2       2      99       0       0       6       8    0.00       1
    MH-F       1       0       3       3      98       0       0       6       7    0.00       1
    MH-F       1       0       4       4     116       0       0       7       7    0.00       1
    MH-F       1       0       5       5      97       0       0       6       6    0.00       1
    MH-F       1       0       6       6     134       0       0       8       6    0.00       1
    MH-F       1       0       7       7     135       0       0       8       7    0.00       1
    MH-F       1       0       8       8     115       0       0       7       6    0.00       1
    MH-F       1       0       9       9     177       0       2      10       6    0.00       1
    MH-F       1       0      10      10     156       0       2       9       7    0.00       1
    MH-F       1       0      11      11     155       0       2       9       6    0.00       1
    MH-F       1       0      12      12     199       0       2      11       6    0.00       1
    MH-F       1       0      13      13     157       0       2       9       8    0.00       1
    MH-F       1       0      14      14     178       0       2      10       7    0.00       1
    MH-F       1       0      15      15     200       0       2      11       7    0.00       1
    MH-F       1       0      16      16     179       0       2      10       8    0.00       1
    MH-F       1       0      17      17     201       0       2      11       8    0.00       1
    MH-F       1       0      18  CALIB0     158      -1      -1       9       8    0.00       0
    MH-F       1       0      19      18     202       0       1      11       9    0.00       1
    MH-F       1       0      20      19     159       0       1       9       9    0.00       1
    MH-F       1       0      21      20     203       0       1      11      10    0.00       1
    MH-F       1       0      22      21     180       0       1      10       9    0.00       1
    MH-F       1       0      23      22     204       0       1      11      11    0.00       1
    MH-F       1       0      24      23     182       0       1      10      11    0.00       1
    MH-F       1       0      25      24     181       0       1      10      10    0.00       1
    MH-F       1       0      26      25     160       0       1       9      10    0.00       1
    MH-F       1       0      27      26     161       0       1       9      11    0.00       1
    MH-F       1       0      28      27     119       0       3       7      10    0.00       1
    MH-F       1       0      29      28     139       0       3       8      11    0.00       1
    MH-F       1       0      30      29     137       0       3       8       9    0.00       1
    MH-F       1       0      31      30     138       0       3       8      10    0.00       1
    MH-F       1       0      32      31     100       0       3       6       9    0.00       1
    MH-F       1       0      33      32     101       0       3       6      10    0.00       1
    MH-F       1       0      34      33     118       0       3       7       9    0.00       1
    MH-F       1       0      35      34     120       0       3       7      11    0.00       1
    MH-F       1       0      36      35     102       0       3       6      11    0.00       1
    MH-F       1       1       0      36      63       2       0       4       6    0.00       1
    MH-F       1       1       1      37      48       2       0       3       6    0.00       1
    MH-F       1       1       2      38      50       2       0       3       8    0.00       1
    MH-F       1       1       3      39      79       2       0       5       6    0.00       1
    MH-F       1       1       4      40      80       2       0       5       7    0.00       1
    MH-F       1       1       5      41      81       2       0       5       8    0.00       1
    MH-F       1       1       6      42      49       2       0       3       7    0.00       1
    MH-F       1       1       7      43      65       2       0       4       8    0.00       1
    MH-F       1       1       8      44      64       2       0       4       7    0.00       1
    MH-F       1       1       9      45      19       2       2       1       6    0.00       1
    MH-F       1       1      10      46      33       2       2       2       6    0.00       1
    MH-F       1       1      11      47      34       2       2       2       7    0.00       1
    MH-F       1       1      12      48       7       2       2       0       6    0.00       1
    MH-F       1       1      13      49       8       2       2       0       7    0.00       1
    MH-F       1       1      14      50      20       2       2       1       7    0.00       1
    MH-F       1       1      15      51      35       2       2       2       8    0.00       1
    MH-F       1       1      16      52      21       2       2       1       8    0.00       1
    MH-F       1       1      17      53       9       2       2       0       8    0.00       1
    MH-F       1       1      18  CALIB1      37      -1      -1       2       9    0.00       0
    MH-F       1       1      19      54      36       2       1       2       9    0.00       1
    MH-F       1       1      20      55      11       2       1       0      10    0.00       1
    MH-F       1       1      21      56      22       2       1       1       9    0.00       1
    MH-F       1       1      22      57      10       2       1       0       9    0.00       1
    MH-F       1       1      23      58      23       2       1       1      10    0.00       1
    MH-F       1       1      24      59      24       2       1       1      11    0.00       1
    MH-F       1       1      25      60      38       2       1       2      10    0.00       1
    MH-F       1       1      26      61      39       2       1       2      11    0.00       1
    MH-F       1       1      27      62      12       2       1       0      11    0.00       1
    MH-F       1       1      28      63      51       2       3       3       9    0.00       1
    MH-F       1       1      29      64      82       2       3       5       9    0.00       1
    MH-F       1       1      30      65      66       2       3       4       9    0.00       1
    MH-F       1       1      31      66      52       2       3       3      10    0.00       1
    MH-F       1       1      32      67      53       2       3       3      11    0.00       1
    MH-F       1       1      33      68      83       2       3       5      10    0.00       1
    MH-F       1       1      34      69      68       2       3       4      11    0.00       1
    MH-F       1       1      35      70      67       2       3       4      10    0.00       1
    MH-F       1       1      36      71      84       2       3       5      11    0.00       1
    MH-F       2       0       0       0     391       0       0      20      13    0.00       1
    MH-F       2       0       1       1     390       0       0      20      12    0.00       1
    MH-F       2       0       2       2     354       0       0      18      11    0.00       1
    MH-F       2       0       3       3     372       0       0      19      12    0.00       1
    MH-F       2       0       4       4     353       0       0      18      10    0.00       1
    MH-F       2       0       5       5     370       0       0      19      10    0.00       1
    MH-F       2       0       6       6     352       0       0      18       9    0.00       1
    MH-F       2       0       7       7     389       0       0      20      11    0.00       1
    MH-F       2       0       8       8     371       0       0      19      11    0.00       1
    MH-F       2       0       9       9     350       0       2      18       7    0.00       1
    MH-F       2       0      10      10     369       0       2      19       9    0.00       1
    MH-F       2       0      11      11     351       0       2      18       8    0.00       1
    MH-F       2       0      12      12     349       0       2      18       6    0.00       1
    MH-F       2       0      13      13     386       0       2      20       9    0.00       1
    MH-F       2       0      14      14     387       0       2      20      10    0.00       1
    MH-F       2       0      15      15     368       0       2      19       8    0.00       1
    MH-F       2       0      16      16     367       0       2      19       7    0.00       1
    MH-F       2       0      17      17     385       0       2      20       8    0.00       1
    MH-F       2       0      18  CALIB0     388      -1      -1      20      10    0.00       0
    MH-F       2       0      19      18     402       0       1      21       9    0.00       1
    MH-F       2       0      20      19     432       0       1      23      11    0.00       1
    MH-F       2       0      21      20     418       0       1      22      10    0.00       1
    MH-F       2       0      22      21     403       0       1      21      10    0.00       1
    MH-F       2       0      23      22     419       0       1      22      11    0.00       1
    MH-F       2       0      24      23     420       0       1      22      12    0.00       1
    MH-F       2       0      25      24     433       0       1      23      12    0.00       1
    MH-F       2       0      26      25     404       0       1      21      11    0.00       1
    MH-F       2       0      27      26     434       0       1      23      13    0.00       1
    MH-F       2       0      28      27     437       0       3      23      16    0.00       1
    MH-F       2       0      29      28     406       0       3      21      13    0.00       1
    MH-F       2       0      30      29     405       0       3      21      12    0.00       1
    MH-F       2       0      31      30     421       0       3      22      13    0.00       1
    MH-F       2       0      32      31     407       0       3      21      14    0.00       1
    MH-F       2       0      33      32     422       0       3      22      14    0.00       1
    MH-F       2       0      34      33     423       0       3      22      15    0.00       1
    MH-F       2       0      35      34     435       0       3      23      14    0.00       1
    MH-F       2       0      36      35     436       0       3      23      15    0.00       1
    MH-F       2       1       0      36     373       2       0      19      13    0.00       1
    MH-F       2       1       1      37     356       2       0      18      13    0.00       1
    MH-F       2       1       2      38     355       2       0      18      12    0.00       1
    MH-F       2       1       3      39     392       2       0      20      14    0.00       1
    MH-F       2       1       4      40     374       2       0      19      14    0.00       1
    MH-F       2       1       5      41     393       2       0      20      15    0.00       1
    MH-F       2       1       6      42     375       2       0      19      15    0.00       1
    MH-F       2       1       7      43     394       2       0      20      16    0.00       1
    MH-F       2       1       8      44     357       2       0      18      14    0.00       1
    MH-F       2       1       9      45     377       2       2      19      17    0.00       1
    MH-F       2       1      10      46     358       2       2      18      15    0.00       1
    MH-F       2       1      11      47     376       2       2      19      16    0.00       1
    MH-F       2       1      12      48     359       2       2      18      16    0.00       1
    MH-F       2       1      13      49     395       2       2      20      17    0.00       1
    MH-F       2       1      14      50     360       2       2      18      17    0.00       1
    MH-F       2       1      15      51     378       2       2      19      18    0.00       1
    MH-F       2       1      16      52     396       2       2      20      18    0.00       1
    MH-F       2       1      17      53     397       2       2      20      19    0.00       1
    MH-F       2       1      18  CALIB1     412      -1      -1      21      18    0.00       0
    MH-F       2       1      19      54     429       2       1      22      21    0.00       1
    MH-F       2       1      20      55     442       2       1      23      21    0.00       1
    MH-F       2       1      21      56     414       2       1      21      20    0.00       1
    MH-F       2       1      22      57     443       2       1      23      22    0.00       1
    MH-F       2       1      23      58     413       2       1      21      19    0.00       1
    MH-F       2       1      24      59     428       2       1      22      20    0.00       1
    MH-F       2       1      25      60     411       2       1      21      18    0.00       1
    MH-F       2       1      26      61     427       2       1      22      19    0.00       1
    MH-F       2       1      27      62     441       2       1      23      20    0.00       1
    MH-F       2       1      28      63     439       2       3      23      18    0.00       1
    MH-F       2       1      29      64     409       2       3      21      16    0.00       1
    MH-F       2       1      30      65     410       2       3      21      17    0.00       1
    MH-F       2       1      31      66     425       2       3      22      17    0.00       1
    MH-F       2       1      32      67     424       2       3      22      16    0.00       1
    MH-F       2       1      33      68     408       2       3      21      15    0.00       1
    MH-F       2       1      34      69     438       2       3      23      17    0.00       1
    MH-F       2       1      35      70     426       2       3      22      18    0.00       1
    MH-F       2       1      36      71     440       2       3      23      19    0.00       1
    MH-F       3       0       0       0     295       0       0      15      10    0.00       1
    MH-F       3       0       1       1     296       0       0      15      11    0.00       1
    MH-F       3       0       2       2     294       0       0      15       9    0.00       1
    MH-F       3       0       3       3     316       0       0      16      10    0.00       1
    MH-F       3       0       4       4     317       0       0      16      11    0.00       1
    MH-F       3       0       5       5     336       0       0      17      11    0.00       1
    MH-F       3       0       6       6     338       0       0      17      13    0.00       1
    MH-F       3       0       7       7     318       0       0      16      12    0.00       1
    MH-F       3       0       8       8     337       0       0      17      12    0.00       1
    MH-F       3       0       9       9     341       0       2      17      16    0.00       1
    MH-F       3       0      10      10     319       0       2      16      13    0.00       1
    MH-F       3       0      11      11     339       0       2      17      14    0.00       1
