[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nPFCand_QC_ptCut_quark}
26 32 3 4 4 0 100 8.708 7.322
26 32 4 5 4 0 100 7.970 7.603
26 32 5 6 4 0 100 8.244 7.722
26 32 6 7 4 0 100 8.313 7.674
26 32 7 8 4 0 100 8.493 7.794
26 32 8 9 4 0 100 7.822 7.807
26 32 9 10 4 0 100 8.236 7.892
26 32 10 11 4 0 100 8.140 8.024
26 32 11 12 4 0 100 7.951 7.998
26 32 12 13 4 0 100 7.697 8.015
26 32 13 14 4 0 100 7.885 7.997
26 32 14 15 4 0 100 7.711 8.071
26 32 15 16 4 0 100 7.481 8.106
26 32 16 17 4 0 100 8.336 8.234
26 32 17 18 4 0 100 7.149 8.146
26 32 18 19 4 0 100 7.082 8.094
26 32 19 20 4 0 100 7.670 8.317
26 32 20 21 4 0 100 7.309 8.209
26 32 21 22 4 0 100 6.808 8.189
26 32 22 23 4 0 100 7.492 8.394
26 32 23 24 4 0 100 7.532 8.427
26 32 24 25 4 0 100 7.532 8.516
26 32 25 26 4 0 100 8.264 8.582
26 32 26 27 4 0 100 7.646 8.379
26 32 27 28 4 0 100 8.303 8.599
26 32 28 29 4 0 100 7.595 8.387
26 32 29 30 4 0 100 7.713 8.132
26 32 30 31 4 0 100 7.614 8.415
26 32 31 32 4 0 100 10.880 8.483
26 32 32 33 4 0 100 8.083 8.502
26 32 33 34 4 0 100 9.884 7.996
26 32 34 35 4 0 100 14.454 8.491
26 32 35 36 4 0 100 18.930 8.830
26 32 36 37 4 0 100 16.003 8.475
26 32 37 38 4 0 100 13.257 8.535
26 32 38 39 4 0 100 16.894 5.759
26 32 39 40 4 0 100 50.000 9.259
26 32 40 41 4 0 100 50.000 8.050
26 32 41 42 4 0 100 1.052 100.000
26 32 42 43 4 0 100 50.000 7.228
26 32 43 44 4 0 100 1.000 100.000
26 32 44 100 4 0 100 1.005 100.000
32 40 0 1 4 0 100 50.000 7.348
32 40 1 2 4 0 100 22.680 8.040
32 40 2 3 4 0 100 9.804 8.357
32 40 3 4 4 0 100 9.070 8.534
32 40 4 5 4 0 100 9.156 8.708
32 40 5 6 4 0 100 8.353 8.727
32 40 6 7 4 0 100 8.594 8.791
32 40 7 8 4 0 100 8.637 8.857
32 40 8 9 4 0 100 8.846 8.981
32 40 9 10 4 0 100 8.593 9.027
32 40 10 11 4 0 100 8.691 9.141
32 40 11 12 4 0 100 8.351 9.148
32 40 12 13 4 0 100 8.613 9.176
32 40 13 14 4 0 100 8.694 9.251
32 40 14 15 4 0 100 8.331 9.222
32 40 15 16 4 0 100 8.139 9.252
32 40 16 17 4 0 100 8.382 9.284
32 40 17 18 4 0 100 8.202 9.288
32 40 18 19 4 0 100 8.774 9.415
32 40 19 20 4 0 100 8.490 9.424
32 40 20 21 4 0 100 8.594 9.526
32 40 21 22 4 0 100 8.387 9.512
32 40 22 23 4 0 100 8.570 9.540
32 40 23 24 4 0 100 8.340 9.507
32 40 24 25 4 0 100 9.371 9.609
32 40 25 26 4 0 100 8.510 9.726
32 40 26 27 4 0 100 8.588 9.577
32 40 27 28 4 0 100 8.928 9.617
32 40 28 29 4 0 100 7.900 9.720
32 40 29 30 4 0 100 8.778 9.627
32 40 30 31 4 0 100 8.427 9.630
32 40 31 32 4 0 100 9.962 9.824
32 40 32 33 4 0 100 12.729 9.870
32 40 33 34 4 0 100 10.078 9.231
32 40 34 35 4 0 100 12.242 10.158
32 40 35 36 4 0 100 16.778 9.798
32 40 36 37 4 0 100 12.163 9.612
32 40 37 38 4 0 100 15.704 9.050
32 40 38 39 4 0 100 16.108 9.991
32 40 39 40 4 0 100 15.255 8.974
32 40 40 41 4 0 100 43.861 9.058
32 40 41 42 4 0 100 23.337 7.318
32 40 42 43 4 0 100 50.000 9.960
32 40 43 44 4 0 100 50.000 9.310
32 40 44 100 4 0 100 50.000 5.153
40 51 0 1 4 0 100 50.000 10.688
40 51 1 2 4 0 100 16.279 8.888
40 51 2 3 4 0 100 8.620 9.413
40 51 3 4 4 0 100 9.291 9.802
40 51 4 5 4 0 100 8.748 9.907
40 51 5 6 4 0 100 8.927 9.899
40 51 6 7 4 0 100 8.607 9.994
40 51 7 8 4 0 100 8.712 10.119
40 51 8 9 4 0 100 8.860 10.164
40 51 9 10 4 0 100 9.078 10.252
40 51 10 11 4 0 100 8.926 10.281
40 51 11 12 4 0 100 8.935 10.299
40 51 12 13 4 0 100 9.072 10.402
40 51 13 14 4 0 100 8.906 10.443
40 51 14 15 4 0 100 8.799 10.527
40 51 15 16 4 0 100 8.916 10.536
40 51 16 17 4 0 100 9.023 10.604
40 51 17 18 4 0 100 9.265 10.659
40 51 18 19 4 0 100 9.123 10.720
40 51 19 20 4 0 100 9.226 10.728
40 51 20 21 4 0 100 9.460 10.843
40 51 21 22 4 0 100 9.299 10.897
40 51 22 23 4 0 100 9.101 10.920
40 51 23 24 4 0 100 8.950 11.011
40 51 24 25 4 0 100 9.333 11.039
40 51 25 26 4 0 100 9.201 11.046
40 51 26 27 4 0 100 9.628 11.079
40 51 27 28 4 0 100 9.171 10.853
40 51 28 29 4 0 100 8.962 10.964
40 51 29 30 4 0 100 8.901 11.125
40 51 30 31 4 0 100 10.034 11.297
40 51 31 32 4 0 100 9.780 11.130
40 51 32 33 4 0 100 9.521 11.169
40 51 33 34 4 0 100 11.699 10.900
40 51 34 35 4 0 100 9.812 10.866
40 51 35 36 4 0 100 12.743 10.899
40 51 36 37 4 0 100 13.741 11.397
40 51 37 38 4 0 100 15.118 11.295
40 51 38 39 4 0 100 19.364 11.190
40 51 39 40 4 0 100 15.654 10.229
40 51 40 41 4 0 100 11.102 11.390
40 51 41 42 4 0 100 21.523 10.334
40 51 42 43 4 0 100 28.273 12.033
40 51 43 44 4 0 100 50.000 12.160
40 51 44 100 4 0 100 22.171 9.177
51 64 0 1 4 0 100 1.149 100.000
51 64 1 2 4 0 100 10.715 10.331
51 64 2 3 4 0 100 10.892 10.824
51 64 3 4 4 0 100 9.437 10.678
51 64 4 5 4 0 100 8.877 11.082
51 64 5 6 4 0 100 8.948 11.233
51 64 6 7 4 0 100 8.672 11.195
51 64 7 8 4 0 100 8.882 11.389
51 64 8 9 4 0 100 9.195 11.446
51 64 9 10 4 0 100 9.000 11.448
51 64 10 11 4 0 100 9.002 11.562
51 64 11 12 4 0 100 9.047 11.699
51 64 12 13 4 0 100 9.059 11.726
51 64 13 14 4 0 100 9.202 11.833
51 64 14 15 4 0 100 9.023 11.858
51 64 15 16 4 0 100 8.880 11.860
51 64 16 17 4 0 100 9.331 11.961
51 64 17 18 4 0 100 9.634 12.005
51 64 18 19 4 0 100 8.899 11.974
51 64 19 20 4 0 100 9.577 12.085
51 64 20 21 4 0 100 9.110 12.081
51 64 21 22 4 0 100 9.465 12.136
51 64 22 23 4 0 100 9.281 12.276
51 64 23 24 4 0 100 9.145 12.215
51 64 24 25 4 0 100 9.704 12.373
51 64 25 26 4 0 100 9.941 12.414
51 64 26 27 4 0 100 9.802 12.329
51 64 27 28 4 0 100 9.638 12.222
51 64 28 29 4 0 100 10.127 12.450
51 64 29 30 4 0 100 9.559 12.632
51 64 30 31 4 0 100 10.301 12.456
51 64 31 32 4 0 100 10.331 12.901
51 64 32 33 4 0 100 10.978 12.446
51 64 33 34 4 0 100 10.159 12.526
51 64 34 35 4 0 100 11.315 12.340
51 64 35 36 4 0 100 13.284 12.135
51 64 36 37 4 0 100 12.139 12.422
51 64 37 38 4 0 100 13.059 12.527
51 64 38 39 4 0 100 13.128 12.422
51 64 39 40 4 0 100 16.637 12.222
51 64 40 41 4 0 100 23.736 11.925
51 64 41 42 4 0 100 24.022 11.426
51 64 42 43 4 0 100 28.140 13.054
51 64 43 44 4 0 100 27.964 10.165
51 64 44 100 4 0 100 50.000 12.512
64 80 0 1 4 0 100 50.000 9.607
64 80 1 2 4 0 100 10.461 11.116
64 80 2 3 4 0 100 8.115 11.742
64 80 3 4 4 0 100 8.829 12.214
64 80 4 5 4 0 100 8.789 12.161
64 80 5 6 4 0 100 8.584 12.329
64 80 6 7 4 0 100 8.548 12.468
64 80 7 8 4 0 100 8.713 12.529
64 80 8 9 4 0 100 8.784 12.578
64 80 9 10 4 0 100 8.650 12.722
64 80 10 11 4 0 100 8.754 12.754
64 80 11 12 4 0 100 8.880 12.918
64 80 12 13 4 0 100 8.981 12.963
64 80 13 14 4 0 100 8.910 12.997
64 80 14 15 4 0 100 9.096 12.937
64 80 15 16 4 0 100 9.043 13.049
64 80 16 17 4 0 100 8.902 13.129
64 80 17 18 4 0 100 9.189 13.234
64 80 18 19 4 0 100 9.154 13.300
64 80 19 20 4 0 100 9.213 13.303
64 80 20 21 4 0 100 9.185 13.319
64 80 21 22 4 0 100 9.409 13.446
64 80 22 23 4 0 100 9.343 13.470
64 80 23 24 4 0 100 9.497 13.489
64 80 24 25 4 0 100 9.587 13.544
64 80 25 26 4 0 100 9.149 13.590
64 80 26 27 4 0 100 9.127 13.592
64 80 27 28 4 0 100 9.714 13.697
64 80 28 29 4 0 100 10.019 13.530
64 80 29 30 4 0 100 9.700 13.948
64 80 30 31 4 0 100 10.125 13.737
64 80 31 32 4 0 100 8.983 13.718
64 80 32 33 4 0 100 10.032 13.664
64 80 33 34 4 0 100 9.075 13.648
64 80 34 35 4 0 100 10.448 14.252
64 80 35 36 4 0 100 11.888 13.512
64 80 36 37 4 0 100 11.695 13.805
64 80 37 38 4 0 100 11.338 13.835
64 80 38 39 4 0 100 15.729 12.934
64 80 39 40 4 0 100 17.306 13.483
64 80 40 41 4 0 100 22.080 12.526
64 80 41 42 4 0 100 24.625 13.265
64 80 42 43 4 0 100 50.000 12.975
64 80 43 44 4 0 100 31.842 13.295
64 80 44 100 4 0 100 50.000 12.552
80 101 0 1 4 0 100 1.099 100.000
80 101 1 2 4 0 100 8.732 13.016
80 101 2 3 4 0 100 8.592 13.024
80 101 3 4 4 0 100 8.134 13.305
80 101 4 5 4 0 100 8.105 13.496
80 101 5 6 4 0 100 8.450 13.502
80 101 6 7 4 0 100 8.562 13.694
80 101 7 8 4 0 100 8.257 13.763
80 101 8 9 4 0 100 8.220 13.840
80 101 9 10 4 0 100 8.440 13.861
80 101 10 11 4 0 100 8.256 14.005
80 101 11 12 4 0 100 8.502 14.013
80 101 12 13 4 0 100 8.588 14.135
80 101 13 14 4 0 100 8.613 14.211
80 101 14 15 4 0 100 8.639 14.312
80 101 15 16 4 0 100 8.613 14.406
80 101 16 17 4 0 100 8.569 14.436
80 101 17 18 4 0 100 8.914 14.459
80 101 18 19 4 0 100 8.562 14.489
80 101 19 20 4 0 100 8.909 14.629
80 101 20 21 4 0 100 8.692 14.699
80 101 21 22 4 0 100 9.052 14.706
80 101 22 23 4 0 100 9.093 14.763
80 101 23 24 4 0 100 9.076 14.918
80 101 24 25 4 0 100 8.998 14.934
80 101 25 26 4 0 100 9.112 14.918
80 101 26 27 4 0 100 9.114 14.837
80 101 27 28 4 0 100 9.636 14.968
80 101 28 29 4 0 100 8.829 15.130
80 101 29 30 4 0 100 10.221 14.926
80 101 30 31 4 0 100 9.406 14.921
80 101 31 32 4 0 100 10.244 15.327
80 101 32 33 4 0 100 9.412 15.076
80 101 33 34 4 0 100 10.643 15.187
80 101 34 35 4 0 100 9.543 14.957
80 101 35 36 4 0 100 11.917 14.997
80 101 36 37 4 0 100 10.975 15.102
80 101 37 38 4 0 100 11.568 15.278
80 101 38 39 4 0 100 12.232 14.621
80 101 39 40 4 0 100 10.657 14.942
80 101 40 41 4 0 100 20.847 14.640
80 101 41 42 4 0 100 20.068 15.462
80 101 42 43 4 0 100 17.320 15.216
80 101 43 44 4 0 100 26.235 14.083
80 101 44 100 4 0 100 24.119 12.409
101 127 0 1 4 0 100 1.219 100.000
101 127 1 2 4 0 100 9.105 13.534
101 127 2 3 4 0 100 7.496 14.358
101 127 3 4 4 0 100 7.794 14.376
101 127 4 5 4 0 100 7.746 14.522
101 127 5 6 4 0 100 7.749 14.720
101 127 6 7 4 0 100 7.844 14.911
101 127 7 8 4 0 100 8.183 15.041
101 127 8 9 4 0 100 7.818 15.104
101 127 9 10 4 0 100 8.126 15.233
101 127 10 11 4 0 100 8.205 15.203
101 127 11 12 4 0 100 8.270 15.300
101 127 12 13 4 0 100 8.237 15.318
101 127 13 14 4 0 100 8.266 15.364
101 127 14 15 4 0 100 8.449 15.457
101 127 15 16 4 0 100 8.254 15.568
101 127 16 17 4 0 100 8.605 15.562
101 127 17 18 4 0 100 8.477 15.689
101 127 18 19 4 0 100 8.562 15.752
101 127 19 20 4 0 100 8.268 15.875
101 127 20 21 4 0 100 8.390 15.875
101 127 21 22 4 0 100 8.648 15.879
101 127 22 23 4 0 100 8.659 16.059
101 127 23 24 4 0 100 8.903 16.146
101 127 24 25 4 0 100 8.756 16.187
101 127 25 26 4 0 100 8.867 16.086
101 127 26 27 4 0 100 8.598 16.213
101 127 27 28 4 0 100 8.739 16.348
101 127 28 29 4 0 100 8.663 16.210
101 127 29 30 4 0 100 8.825 16.365
101 127 30 31 4 0 100 8.958 16.414
101 127 31 32 4 0 100 9.120 16.190
101 127 32 33 4 0 100 9.190 16.467
101 127 33 34 4 0 100 9.054 16.558
101 127 34 35 4 0 100 10.826 16.132
101 127 35 36 4 0 100 9.663 16.193
101 127 36 37 4 0 100 10.453 16.433
101 127 37 38 4 0 100 10.446 16.079
101 127 38 39 4 0 100 11.711 16.810
101 127 39 40 4 0 100 8.798 16.454
101 127 40 41 4 0 100 16.813 15.722
101 127 41 42 4 0 100 18.267 16.492
101 127 42 43 4 0 100 19.829 17.054
101 127 43 44 4 0 100 21.596 14.109
101 127 44 100 4 0 100 19.971 16.603
127 159 0 1 4 0 100 5.935 16.243
127 159 1 2 4 0 100 11.767 14.211
127 159 2 3 4 0 100 8.403 14.976
127 159 3 4 4 0 100 7.658 15.530
127 159 4 5 4 0 100 7.413 15.857
127 159 5 6 4 0 100 7.609 15.913
127 159 6 7 4 0 100 7.605 16.045
127 159 7 8 4 0 100 7.633 16.118
127 159 8 9 4 0 100 7.688 16.301
127 159 9 10 4 0 100 7.753 16.269
127 159 10 11 4 0 100 8.002 16.396
127 159 11 12 4 0 100 7.959 16.412
127 159 12 13 4 0 100 7.968 16.543
127 159 13 14 4 0 100 8.074 16.583
127 159 14 15 4 0 100 8.133 16.599
127 159 15 16 4 0 100 8.101 16.726
127 159 16 17 4 0 100 8.014 16.688
127 159 17 18 4 0 100 8.023 16.790
127 159 18 19 4 0 100 8.278 16.872
127 159 19 20 4 0 100 8.119 16.972
127 159 20 21 4 0 100 8.234 16.975
127 159 21 22 4 0 100 8.378 17.040
127 159 22 23 4 0 100 8.275 17.110
127 159 23 24 4 0 100 8.441 17.280
127 159 24 25 4 0 100 8.556 17.253
127 159 25 26 4 0 100 8.544 17.429
127 159 26 27 4 0 100 8.824 17.498
127 159 27 28 4 0 100 8.982 17.516
127 159 28 29 4 0 100 8.766 17.705
127 159 29 30 4 0 100 8.753 17.667
127 159 30 31 4 0 100 8.391 17.561
127 159 31 32 4 0 100 8.296 17.625
127 159 32 33 4 0 100 8.790 17.678
127 159 33 34 4 0 100 9.038 17.389
127 159 34 35 4 0 100 9.680 17.922
127 159 35 36 4 0 100 9.673 17.760
127 159 36 37 4 0 100 9.991 17.688
127 159 37 38 4 0 100 9.062 18.138
127 159 38 39 4 0 100 9.807 16.912
127 159 39 40 4 0 100 10.780 16.849
127 159 40 41 4 0 100 10.490 16.866
127 159 41 42 4 0 100 12.684 17.426
127 159 42 43 4 0 100 19.793 17.212
127 159 43 44 4 0 100 21.692 17.563
127 159 44 100 4 0 100 20.757 16.600
159 201 0 1 4 0 100 37.782 11.444
159 201 1 2 4 0 100 10.505 16.000
159 201 2 3 4 0 100 6.769 16.993
159 201 3 4 4 0 100 7.351 16.818
159 201 4 5 4 0 100 7.430 17.106
159 201 5 6 4 0 100 7.325 17.092
159 201 6 7 4 0 100 7.288 17.140
159 201 7 8 4 0 100 7.423 17.266
159 201 8 9 4 0 100 7.401 17.254
159 201 9 10 4 0 100 7.474 17.414
159 201 10 11 4 0 100 7.431 17.384
159 201 11 12 4 0 100 7.630 17.502
159 201 12 13 4 0 100 7.616 17.655
159 201 13 14 4 0 100 7.670 17.758
159 201 14 15 4 0 100 7.799 17.738
159 201 15 16 4 0 100 7.940 17.890
159 201 16 17 4 0 100 7.816 17.889
159 201 17 18 4 0 100 7.828 17.976
159 201 18 19 4 0 100 7.965 18.183
159 201 19 20 4 0 100 7.945 18.183
159 201 20 21 4 0 100 7.888 18.124
159 201 21 22 4 0 100 7.911 18.364
159 201 22 23 4 0 100 7.926 18.386
159 201 23 24 4 0 100 8.045 18.425
159 201 24 25 4 0 100 8.100 18.425
159 201 25 26 4 0 100 7.972 18.690
159 201 26 27 4 0 100 8.015 18.741
159 201 27 28 4 0 100 8.546 18.518
159 201 28 29 4 0 100 8.308 18.751
159 201 29 30 4 0 100 8.093 18.856
159 201 30 31 4 0 100 7.991 18.918
159 201 31 32 4 0 100 8.804 18.662
159 201 32 33 4 0 100 8.583 18.901
159 201 33 34 4 0 100 8.713 19.013
159 201 34 35 4 0 100 9.516 18.702
159 201 35 36 4 0 100 9.050 18.794
159 201 36 37 4 0 100 8.336 18.846
159 201 37 38 4 0 100 10.333 19.307
159 201 38 39 4 0 100 9.751 18.507
159 201 39 40 4 0 100 11.141 18.449
159 201 40 41 4 0 100 9.932 18.951
159 201 41 42 4 0 100 13.296 17.448
159 201 42 43 4 0 100 9.177 17.814
159 201 43 44 4 0 100 23.747 18.644
159 201 44 100 4 0 100 20.821 17.427
201 252 0 1 4 0 100 23.098 11.208
201 252 1 2 4 0 100 11.933 16.266
201 252 2 3 4 0 100 6.659 17.700
201 252 3 4 4 0 100 7.038 18.198
201 252 4 5 4 0 100 6.927 18.184
201 252 5 6 4 0 100 6.952 18.445
201 252 6 7 4 0 100 7.188 18.294
201 252 7 8 4 0 100 7.104 18.426
201 252 8 9 4 0 100 7.106 18.540
201 252 9 10 4 0 100 7.356 18.564
201 252 10 11 4 0 100 7.286 18.719
201 252 11 12 4 0 100 7.314 18.797
201 252 12 13 4 0 100 7.415 18.834
201 252 13 14 4 0 100 7.491 18.895
201 252 14 15 4 0 100 7.617 18.921
201 252 15 16 4 0 100 7.270 19.068
201 252 16 17 4 0 100 7.471 19.128
201 252 17 18 4 0 100 7.779 19.028
201 252 18 19 4 0 100 7.794 19.211
201 252 19 20 4 0 100 7.654 19.402
201 252 20 21 4 0 100 7.713 19.323
201 252 21 22 4 0 100 7.812 19.249
201 252 22 23 4 0 100 7.950 19.587
201 252 23 24 4 0 100 7.627 19.585
201 252 24 25 4 0 100 7.782 19.670
201 252 25 26 4 0 100 8.061 19.640
201 252 26 27 4 0 100 7.575 19.818
201 252 27 28 4 0 100 8.190 19.836
201 252 28 29 4 0 100 8.192 19.917
201 252 29 30 4 0 100 8.041 20.181
201 252 30 31 4 0 100 8.005 19.865
201 252 31 32 4 0 100 8.274 20.037
201 252 32 33 4 0 100 8.021 20.321
201 252 33 34 4 0 100 8.396 20.027
201 252 34 35 4 0 100 8.394 20.324
201 252 35 36 4 0 100 8.653 20.139
201 252 36 37 4 0 100 8.688 19.731
201 252 37 38 4 0 100 11.393 19.615
201 252 38 39 4 0 100 11.952 20.750
201 252 39 40 4 0 100 10.788 20.036
201 252 40 41 4 0 100 11.019 19.717
201 252 41 42 4 0 100 17.788 17.733
201 252 42 43 4 0 100 18.200 18.112
201 252 43 44 4 0 100 18.524 18.518
201 252 44 100 4 0 100 33.707 20.208
252 317 0 1 4 0 100 50.000 14.464
252 317 1 2 4 0 100 8.800 17.621
252 317 2 3 4 0 100 6.652 18.814
252 317 3 4 4 0 100 6.738 19.308
252 317 4 5 4 0 100 6.959 19.246
252 317 5 6 4 0 100 7.018 19.464
252 317 6 7 4 0 100 7.031 19.396
252 317 7 8 4 0 100 6.992 19.689
252 317 8 9 4 0 100 7.106 19.659
252 317 9 10 4 0 100 7.120 19.673
252 317 10 11 4 0 100 7.232 19.790
252 317 11 12 4 0 100 7.297 19.927
252 317 12 13 4 0 100 7.281 20.007
252 317 13 14 4 0 100 7.341 19.955
252 317 14 15 4 0 100 7.244 20.237
252 317 15 16 4 0 100 7.357 20.243
252 317 16 17 4 0 100 7.345 20.184
252 317 17 18 4 0 100 7.458 20.279
252 317 18 19 4 0 100 7.228 20.499
252 317 19 20 4 0 100 7.346 20.533
252 317 20 21 4 0 100 7.775 20.407
252 317 21 22 4 0 100 7.458 20.579
252 317 22 23 4 0 100 7.366 20.749
252 317 23 24 4 0 100 7.585 20.658
252 317 24 25 4 0 100 7.844 20.828
252 317 25 26 4 0 100 7.599 20.949
252 317 26 27 4 0 100 8.065 20.751
252 317 27 28 4 0 100 7.486 21.011
252 317 28 29 4 0 100 8.045 21.064
252 317 29 30 4 0 100 7.776 21.200
252 317 30 31 4 0 100 7.557 21.147
252 317 31 32 4 0 100 7.492 21.372
252 317 32 33 4 0 100 7.798 21.542
252 317 33 34 4 0 100 7.383 21.378
252 317 34 35 4 0 100 7.445 21.479
252 317 35 36 4 0 100 7.659 21.700
252 317 36 37 4 0 100 8.856 20.663
252 317 37 38 4 0 100 8.556 21.745
252 317 38 39 4 0 100 8.867 20.788
252 317 39 40 4 0 100 9.582 20.984
252 317 40 41 4 0 100 10.971 21.305
252 317 41 42 4 0 100 15.761 20.862
252 317 42 43 4 0 100 19.159 20.919
252 317 43 44 4 0 100 14.604 20.800
252 317 44 100 4 0 100 1.206 100.000
317 400 0 1 4 0 100 1.217 100.000
317 400 1 2 4 0 100 8.193 17.761
317 400 2 3 4 0 100 6.912 20.594
317 400 3 4 4 0 100 6.419 20.575
317 400 4 5 4 0 100 6.977 20.439
317 400 5 6 4 0 100 6.891 20.696
317 400 6 7 4 0 100 6.952 20.527
317 400 7 8 4 0 100 7.002 20.698
317 400 8 9 4 0 100 7.014 20.757
317 400 9 10 4 0 100 7.063 20.801
317 400 10 11 4 0 100 6.962 21.153
317 400 11 12 4 0 100 6.868 21.030
317 400 12 13 4 0 100 7.073 21.145
317 400 13 14 4 0 100 7.161 21.108
317 400 14 15 4 0 100 7.174 21.109
317 400 15 16 4 0 100 7.252 21.259
317 400 16 17 4 0 100 7.213 21.337
317 400 17 18 4 0 100 7.163 21.415
317 400 18 19 4 0 100 7.317 21.544
317 400 19 20 4 0 100 7.295 21.583
317 400 20 21 4 0 100 7.456 21.705
317 400 21 22 4 0 100 7.217 21.722
317 400 22 23 4 0 100 7.515 21.700
317 400 23 24 4 0 100 7.332 22.041
317 400 24 25 4 0 100 7.402 22.249
317 400 25 26 4 0 100 7.507 21.943
317 400 26 27 4 0 100 7.682 22.359
317 400 27 28 4 0 100 7.611 22.237
317 400 28 29 4 0 100 7.475 22.226
317 400 29 30 4 0 100 7.964 22.088
317 400 30 31 4 0 100 7.931 22.396
317 400 31 32 4 0 100 7.488 22.457
317 400 32 33 4 0 100 7.724 23.084
317 400 33 34 4 0 100 8.319 22.285
317 400 34 35 4 0 100 7.938 22.021
317 400 35 36 4 0 100 8.290 22.751
317 400 36 37 4 0 100 8.051 22.064
317 400 37 38 4 0 100 9.709 22.832
317 400 38 39 4 0 100 9.986 22.508
317 400 39 40 4 0 100 9.652 22.284
317 400 40 41 4 0 100 10.372 21.301
317 400 41 42 4 0 100 12.166 20.258
317 400 42 43 4 0 100 13.489 20.108
317 400 43 44 4 0 100 24.785 20.723
317 400 44 100 4 0 100 36.738 16.163
400 503 0 1 4 0 100 44.151 16.973
400 503 1 2 4 0 100 8.159 20.947
400 503 2 3 4 0 100 6.933 20.783
400 503 3 4 4 0 100 6.806 21.351
400 503 4 5 4 0 100 6.450 21.566
400 503 5 6 4 0 100 6.586 21.586
400 503 6 7 4 0 100 6.555 21.930
400 503 7 8 4 0 100 6.710 21.923
400 503 8 9 4 0 100 6.685 22.047
400 503 9 10 4 0 100 6.812 21.872
400 503 10 11 4 0 100 7.004 22.074
400 503 11 12 4 0 100 6.953 22.195
400 503 12 13 4 0 100 6.919 22.219
400 503 13 14 4 0 100 6.953 22.276
400 503 14 15 4 0 100 6.949 22.328
400 503 15 16 4 0 100 7.138 22.422
400 503 16 17 4 0 100 6.881 22.608
400 503 17 18 4 0 100 7.064 22.533
400 503 18 19 4 0 100 7.047 22.612
400 503 19 20 4 0 100 6.928 22.506
400 503 20 21 4 0 100 7.184 22.821
400 503 21 22 4 0 100 7.115 22.766
400 503 22 23 4 0 100 7.302 22.841
400 503 23 24 4 0 100 7.278 23.082
400 503 24 25 4 0 100 7.423 23.199
400 503 25 26 4 0 100 7.283 23.459
400 503 26 27 4 0 100 7.179 23.242
400 503 27 28 4 0 100 7.106 23.262
400 503 28 29 4 0 100 7.485 23.374
400 503 29 30 4 0 100 7.926 23.503
400 503 30 31 4 0 100 7.250 23.915
400 503 31 32 4 0 100 7.566 23.528
400 503 32 33 4 0 100 7.607 23.969
400 503 33 34 4 0 100 8.513 23.353
400 503 34 35 4 0 100 7.299 24.067
400 503 35 36 4 0 100 8.874 22.790
400 503 36 37 4 0 100 8.356 23.327
400 503 37 38 4 0 100 8.345 23.632
400 503 38 39 4 0 100 10.170 22.567
400 503 39 40 4 0 100 10.378 23.345
