[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_axis2_QC_quark}
40 51 7 8 4 0 100 34.345 3.272
40 51 8 9 4 0 100 34.328 3.257
40 51 9 10 4 0 100 35.349 3.266
40 51 10 11 4 0 100 33.963 3.259
40 51 11 12 4 0 100 36.150 3.246
40 51 12 13 4 0 100 35.787 3.250
40 51 13 14 4 0 100 36.386 3.242
40 51 14 15 4 0 100 35.844 3.244
40 51 15 16 4 0 100 34.663 3.245
40 51 16 17 4 0 100 35.813 3.238
40 51 17 18 4 0 100 36.308 3.227
40 51 18 19 4 0 100 35.638 3.242
40 51 19 20 4 0 100 37.295 3.229
40 51 20 21 4 0 100 38.386 3.235
40 51 21 22 4 0 100 36.289 3.236
40 51 22 23 4 0 100 37.303 3.222
40 51 23 24 4 0 100 35.106 3.244
40 51 24 25 4 0 100 37.628 3.228
40 51 25 26 4 0 100 38.599 3.208
40 51 26 27 4 0 100 37.239 3.243
40 51 27 28 4 0 100 40.249 3.249
40 51 28 29 4 0 100 37.379 3.226
40 51 29 30 4 0 100 37.401 3.196
40 51 30 31 4 0 100 41.948 3.220
40 51 31 32 4 0 100 39.975 3.212
40 51 32 33 4 0 100 44.814 3.195
40 51 33 34 4 0 100 47.420 3.175
40 51 34 35 4 0 100 48.583 3.154
40 51 35 36 4 0 100 88.447 3.068
40 51 36 37 4 0 100 66.228 3.251
40 51 37 38 4 0 100 74.100 3.123
40 51 38 39 4 0 100 100.000 3.193
40 51 39 40 4 0 100 79.918 3.204
40 51 40 41 4 0 100 100.000 3.263
40 51 41 42 4 0 100 100.000 3.228
40 51 42 43 4 0 100 100.000 3.130
40 51 43 44 4 0 100 100.000 2.946
40 51 44 100 4 0 100 18.925 3.482
51 64 0 1 4 0 100 5.388 100.000
51 64 1 2 4 0 100 69.927 3.328
51 64 2 3 4 0 100 37.037 3.450
51 64 3 4 4 0 100 36.196 3.393
51 64 4 5 4 0 100 35.228 3.414
51 64 5 6 4 0 100 35.979 3.409
51 64 6 7 4 0 100 34.412 3.409
51 64 7 8 4 0 100 36.346 3.403
51 64 8 9 4 0 100 36.265 3.398
51 64 9 10 4 0 100 35.522 3.389
51 64 10 11 4 0 100 36.150 3.382
51 64 11 12 4 0 100 36.696 3.374
51 64 12 13 4 0 100 36.091 3.375
51 64 13 14 4 0 100 36.621 3.366
51 64 14 15 4 0 100 38.043 3.370
51 64 15 16 4 0 100 37.760 3.367
51 64 16 17 4 0 100 38.758 3.369
51 64 17 18 4 0 100 38.003 3.363
51 64 18 19 4 0 100 38.061 3.355
51 64 19 20 4 0 100 38.629 3.353
51 64 20 21 4 0 100 37.674 3.355
51 64 21 22 4 0 100 40.879 3.351
51 64 22 23 4 0 100 39.485 3.356
51 64 23 24 4 0 100 39.424 3.360
51 64 24 25 4 0 100 39.936 3.339
51 64 25 26 4 0 100 41.283 3.325
51 64 26 27 4 0 100 39.212 3.327
51 64 27 28 4 0 100 43.563 3.312
51 64 28 29 4 0 100 39.615 3.335
51 64 29 30 4 0 100 41.255 3.316
51 64 30 31 4 0 100 41.419 3.350
51 64 31 32 4 0 100 40.573 3.332
51 64 32 33 4 0 100 41.019 3.309
51 64 33 34 4 0 100 47.051 3.384
51 64 34 35 4 0 100 42.451 3.294
51 64 35 36 4 0 100 56.454 3.299
51 64 36 37 4 0 100 57.180 3.293
51 64 37 38 4 0 100 69.501 3.371
51 64 38 39 4 0 100 95.131 3.250
51 64 39 40 4 0 100 69.284 3.422
51 64 40 41 4 0 100 100.000 3.006
51 64 41 42 4 0 100 100.000 3.269
51 64 42 43 4 0 100 96.122 3.256
51 64 43 44 4 0 100 100.000 3.600
51 64 44 100 4 0 100 33.992 3.283
64 80 0 1 4 0 100 15.726 43.687
64 80 1 2 4 0 100 100.000 3.579
64 80 2 3 4 0 100 43.472 3.542
64 80 3 4 4 0 100 36.506 3.550
64 80 4 5 4 0 100 37.333 3.539
64 80 5 6 4 0 100 36.885 3.531
64 80 6 7 4 0 100 37.425 3.524
64 80 7 8 4 0 100 36.793 3.526
64 80 8 9 4 0 100 36.755 3.530
64 80 9 10 4 0 100 36.817 3.524
64 80 10 11 4 0 100 37.281 3.513
64 80 11 12 4 0 100 37.438 3.507
64 80 12 13 4 0 100 38.038 3.510
64 80 13 14 4 0 100 38.269 3.503
64 80 14 15 4 0 100 37.179 3.501
64 80 15 16 4 0 100 37.912 3.492
64 80 16 17 4 0 100 38.034 3.499
64 80 17 18 4 0 100 39.071 3.486
64 80 18 19 4 0 100 38.568 3.488
64 80 19 20 4 0 100 39.676 3.480
64 80 20 21 4 0 100 38.582 3.476
64 80 21 22 4 0 100 39.257 3.483
64 80 22 23 4 0 100 39.759 3.471
64 80 23 24 4 0 100 39.713 3.466
64 80 24 25 4 0 100 39.307 3.461
64 80 25 26 4 0 100 39.984 3.474
64 80 26 27 4 0 100 39.836 3.470
64 80 27 28 4 0 100 40.187 3.466
64 80 28 29 4 0 100 40.125 3.463
64 80 29 30 4 0 100 41.956 3.453
64 80 30 31 4 0 100 42.917 3.465
64 80 31 32 4 0 100 45.380 3.430
64 80 32 33 4 0 100 42.099 3.442
64 80 33 34 4 0 100 46.379 3.429
64 80 34 35 4 0 100 45.767 3.428
64 80 35 36 4 0 100 44.095 3.397
64 80 36 37 4 0 100 57.756 3.471
64 80 37 38 4 0 100 59.693 3.476
64 80 38 39 4 0 100 72.741 3.412
64 80 39 40 4 0 100 100.000 3.499
64 80 40 41 4 0 100 100.000 3.736
64 80 41 42 4 0 100 100.000 3.290
64 80 42 43 4 0 100 100.000 3.323
64 80 43 44 4 0 100 100.000 3.598
64 80 44 100 4 0 100 100.000 3.497
80 101 0 1 4 0 100 5.073 99.993
80 101 1 2 4 0 100 48.489 3.660
80 101 2 3 4 0 100 39.299 3.711
80 101 3 4 4 0 100 36.461 3.680
80 101 4 5 4 0 100 37.314 3.661
80 101 5 6 4 0 100 37.779 3.679
80 101 6 7 4 0 100 38.025 3.667
80 101 7 8 4 0 100 36.970 3.659
80 101 8 9 4 0 100 37.062 3.665
80 101 9 10 4 0 100 39.153 3.654
80 101 10 11 4 0 100 38.766 3.656
80 101 11 12 4 0 100 38.435 3.650
80 101 12 13 4 0 100 39.180 3.642
80 101 13 14 4 0 100 39.056 3.644
80 101 14 15 4 0 100 39.499 3.640
80 101 15 16 4 0 100 39.262 3.640
80 101 16 17 4 0 100 39.713 3.623
80 101 17 18 4 0 100 39.117 3.621
80 101 18 19 4 0 100 40.351 3.626
80 101 19 20 4 0 100 39.003 3.610
80 101 20 21 4 0 100 38.751 3.617
80 101 21 22 4 0 100 41.249 3.609
80 101 22 23 4 0 100 40.409 3.591
80 101 23 24 4 0 100 40.583 3.581
80 101 24 25 4 0 100 39.855 3.599
80 101 25 26 4 0 100 40.534 3.591
80 101 26 27 4 0 100 38.775 3.594
80 101 27 28 4 0 100 41.854 3.587
80 101 28 29 4 0 100 41.860 3.614
80 101 29 30 4 0 100 42.419 3.570
80 101 30 31 4 0 100 40.962 3.586
80 101 31 32 4 0 100 44.934 3.563
80 101 32 33 4 0 100 44.497 3.591
80 101 33 34 4 0 100 44.411 3.569
80 101 34 35 4 0 100 52.928 3.571
80 101 35 36 4 0 100 42.998 3.585
80 101 36 37 4 0 100 52.101 3.546
80 101 37 38 4 0 100 71.325 3.466
80 101 38 39 4 0 100 61.657 3.535
80 101 39 40 4 0 100 84.283 3.688
80 101 40 41 4 0 100 100.000 3.539
80 101 41 42 4 0 100 67.287 3.583
80 101 42 43 4 0 100 91.442 3.435
80 101 43 44 4 0 100 100.000 3.488
80 101 44 100 4 0 100 100.000 3.891
101 127 0 1 4 0 100 6.573 72.370
101 127 1 2 4 0 100 50.123 3.843
101 127 2 3 4 0 100 40.507 3.822
101 127 3 4 4 0 100 41.129 3.848
101 127 4 5 4 0 100 38.722 3.827
101 127 5 6 4 0 100 39.802 3.822
101 127 6 7 4 0 100 39.017 3.808
101 127 7 8 4 0 100 38.295 3.799
101 127 8 9 4 0 100 38.609 3.803
101 127 9 10 4 0 100 37.859 3.797
101 127 10 11 4 0 100 39.049 3.797
101 127 11 12 4 0 100 39.667 3.791
101 127 12 13 4 0 100 39.076 3.788
101 127 13 14 4 0 100 40.033 3.786
101 127 14 15 4 0 100 40.147 3.779
101 127 15 16 4 0 100 40.611 3.775
101 127 16 17 4 0 100 40.506 3.777
101 127 17 18 4 0 100 40.289 3.777
101 127 18 19 4 0 100 40.552 3.770
101 127 19 20 4 0 100 40.154 3.760
101 127 20 21 4 0 100 41.964 3.771
101 127 21 22 4 0 100 41.974 3.764
101 127 22 23 4 0 100 41.041 3.763
101 127 23 24 4 0 100 40.365 3.741
101 127 24 25 4 0 100 42.428 3.738
101 127 25 26 4 0 100 41.450 3.744
101 127 26 27 4 0 100 42.447 3.738
101 127 27 28 4 0 100 43.710 3.721
101 127 28 29 4 0 100 45.885 3.723
101 127 29 30 4 0 100 40.673 3.723
101 127 30 31 4 0 100 42.550 3.748
101 127 31 32 4 0 100 40.538 3.716
101 127 32 33 4 0 100 42.714 3.680
101 127 33 34 4 0 100 45.886 3.691
101 127 34 35 4 0 100 57.410 3.722
101 127 35 36 4 0 100 55.438 3.707
101 127 36 37 4 0 100 46.740 3.719
101 127 37 38 4 0 100 49.715 3.692
101 127 38 39 4 0 100 85.395 3.759
101 127 39 40 4 0 100 100.000 3.812
101 127 40 41 4 0 100 100.000 3.700
101 127 41 42 4 0 100 77.117 3.623
101 127 42 43 4 0 100 80.648 3.807
101 127 43 44 4 0 100 100.000 3.642
101 127 44 100 4 0 100 100.000 3.751
127 159 0 1 4 0 100 100.000 4.038
127 159 1 2 4 0 100 56.565 4.019
127 159 2 3 4 0 100 40.158 4.006
127 159 3 4 4 0 100 41.721 3.964
127 159 4 5 4 0 100 37.464 3.959
127 159 5 6 4 0 100 39.596 3.970
127 159 6 7 4 0 100 39.782 3.959
127 159 7 8 4 0 100 40.238 3.959
127 159 8 9 4 0 100 40.249 3.951
127 159 9 10 4 0 100 40.898 3.952
127 159 10 11 4 0 100 39.574 3.953
127 159 11 12 4 0 100 40.930 3.947
127 159 12 13 4 0 100 40.994 3.937
127 159 13 14 4 0 100 41.223 3.937
127 159 14 15 4 0 100 42.333 3.939
127 159 15 16 4 0 100 42.036 3.937
127 159 16 17 4 0 100 41.837 3.935
127 159 17 18 4 0 100 42.874 3.924
127 159 18 19 4 0 100 42.181 3.914
127 159 19 20 4 0 100 40.055 3.917
127 159 20 21 4 0 100 42.189 3.916
127 159 21 22 4 0 100 41.737 3.903
127 159 22 23 4 0 100 44.060 3.898
127 159 23 24 4 0 100 42.810 3.891
127 159 24 25 4 0 100 40.130 3.899
127 159 25 26 4 0 100 42.951 3.879
127 159 26 27 4 0 100 44.626 3.877
127 159 27 28 4 0 100 43.480 3.884
127 159 28 29 4 0 100 43.635 3.862
127 159 29 30 4 0 100 43.516 3.858
127 159 30 31 4 0 100 43.392 3.852
127 159 31 32 4 0 100 45.487 3.871
127 159 32 33 4 0 100 43.827 3.829
127 159 33 34 4 0 100 48.992 3.847
127 159 34 35 4 0 100 46.008 3.828
127 159 35 36 4 0 100 56.048 3.882
127 159 36 37 4 0 100 45.816 3.839
127 159 37 38 4 0 100 59.133 3.750
127 159 38 39 4 0 100 80.482 3.811
127 159 39 40 4 0 100 55.391 3.769
127 159 40 41 4 0 100 56.539 3.809
127 159 41 42 4 0 100 66.794 3.833
127 159 42 43 4 0 100 69.982 3.826
127 159 43 44 4 0 100 100.000 3.761
127 159 44 100 4 0 100 100.000 4.073
159 201 0 1 4 0 100 87.440 37.026
159 201 1 2 4 0 100 51.456 4.082
159 201 2 3 4 0 100 37.576 4.083
159 201 3 4 4 0 100 40.380 4.116
159 201 4 5 4 0 100 40.543 4.114
159 201 5 6 4 0 100 39.998 4.105
159 201 6 7 4 0 100 41.428 4.116
159 201 7 8 4 0 100 40.469 4.117
159 201 8 9 4 0 100 41.513 4.119
159 201 9 10 4 0 100 41.663 4.119
159 201 10 11 4 0 100 41.126 4.108
159 201 11 12 4 0 100 41.243 4.104
159 201 12 13 4 0 100 41.678 4.104
159 201 13 14 4 0 100 41.647 4.095
159 201 14 15 4 0 100 41.432 4.099
159 201 15 16 4 0 100 41.683 4.089
159 201 16 17 4 0 100 42.029 4.091
159 201 17 18 4 0 100 42.550 4.084
159 201 18 19 4 0 100 42.434 4.073
159 201 19 20 4 0 100 43.363 4.066
159 201 20 21 4 0 100 42.842 4.071
159 201 21 22 4 0 100 41.722 4.055
159 201 22 23 4 0 100 42.823 4.056
159 201 23 24 4 0 100 44.972 4.052
159 201 24 25 4 0 100 45.168 4.053
159 201 25 26 4 0 100 42.754 4.046
159 201 26 27 4 0 100 43.642 4.038
159 201 27 28 4 0 100 44.092 4.036
159 201 28 29 4 0 100 45.889 4.034
159 201 29 30 4 0 100 45.165 4.006
159 201 30 31 4 0 100 46.144 4.024
159 201 31 32 4 0 100 46.956 4.018
159 201 32 33 4 0 100 45.781 3.986
159 201 33 34 4 0 100 48.736 4.024
159 201 34 35 4 0 100 52.884 4.026
159 201 35 36 4 0 100 56.731 4.047
159 201 36 37 4 0 100 43.805 4.002
159 201 37 38 4 0 100 73.837 3.996
159 201 38 39 4 0 100 60.638 3.960
159 201 39 40 4 0 100 61.207 3.996
159 201 40 41 4 0 100 55.243 3.907
159 201 41 42 4 0 100 88.927 3.866
159 201 42 43 4 0 100 100.000 4.176
159 201 43 44 4 0 100 99.714 3.821
159 201 44 100 4 0 100 100.000 4.066
201 252 0 1 4 0 100 56.077 21.484
201 252 1 2 4 0 100 76.711 4.195
201 252 2 3 4 0 100 42.707 4.290
201 252 3 4 4 0 100 41.015 4.277
201 252 4 5 4 0 100 40.706 4.271
201 252 5 6 4 0 100 40.753 4.270
201 252 6 7 4 0 100 40.005 4.283
201 252 7 8 4 0 100 41.806 4.276
201 252 8 9 4 0 100 41.170 4.271
201 252 9 10 4 0 100 42.263 4.271
201 252 10 11 4 0 100 42.296 4.266
201 252 11 12 4 0 100 41.952 4.263
201 252 12 13 4 0 100 43.546 4.275
201 252 13 14 4 0 100 43.835 4.258
201 252 14 15 4 0 100 42.638 4.252
201 252 15 16 4 0 100 42.544 4.245
201 252 16 17 4 0 100 42.588 4.247
201 252 17 18 4 0 100 45.558 4.253
201 252 18 19 4 0 100 43.684 4.245
201 252 19 20 4 0 100 43.066 4.224
201 252 20 21 4 0 100 43.791 4.230
201 252 21 22 4 0 100 43.485 4.229
201 252 22 23 4 0 100 44.949 4.219
201 252 23 24 4 0 100 43.789 4.223
201 252 24 25 4 0 100 46.530 4.216
201 252 25 26 4 0 100 45.565 4.220
201 252 26 27 4 0 100 46.054 4.226
201 252 27 28 4 0 100 46.027 4.196
201 252 28 29 4 0 100 48.124 4.199
201 252 29 30 4 0 100 45.774 4.176
201 252 30 31 4 0 100 46.050 4.212
201 252 31 32 4 0 100 46.997 4.178
201 252 32 33 4 0 100 45.226 4.146
201 252 33 34 4 0 100 46.167 4.146
201 252 34 35 4 0 100 46.617 4.172
201 252 35 36 4 0 100 47.225 4.132
201 252 36 37 4 0 100 56.008 4.137
201 252 37 38 4 0 100 52.892 4.120
201 252 38 39 4 0 100 62.706 4.123
201 252 39 40 4 0 100 63.310 4.083
201 252 40 41 4 0 100 100.000 4.259
201 252 41 42 4 0 100 100.000 4.166
201 252 42 43 4 0 100 100.000 4.109
201 252 43 44 4 0 100 100.000 4.047
201 252 44 100 4 0 100 100.000 4.135
252 317 0 1 4 0 100 3.985 100.000
252 317 1 2 4 0 100 71.932 4.470
252 317 2 3 4 0 100 46.013 4.478
252 317 3 4 4 0 100 43.035 4.417
252 317 4 5 4 0 100 42.546 4.453
252 317 5 6 4 0 100 42.512 4.432
252 317 6 7 4 0 100 43.690 4.441
252 317 7 8 4 0 100 43.173 4.425
252 317 8 9 4 0 100 44.885 4.438
252 317 9 10 4 0 100 44.546 4.441
252 317 10 11 4 0 100 43.853 4.427
252 317 11 12 4 0 100 44.988 4.433
252 317 12 13 4 0 100 44.320 4.419
252 317 13 14 4 0 100 44.471 4.427
252 317 14 15 4 0 100 44.879 4.422
252 317 15 16 4 0 100 45.161 4.420
252 317 16 17 4 0 100 45.511 4.424
252 317 17 18 4 0 100 45.305 4.408
252 317 18 19 4 0 100 44.923 4.400
252 317 19 20 4 0 100 47.499 4.407
252 317 20 21 4 0 100 46.044 4.394
252 317 21 22 4 0 100 46.456 4.402
252 317 22 23 4 0 100 44.107 4.389
252 317 23 24 4 0 100 46.545 4.387
252 317 24 25 4 0 100 45.783 4.369
252 317 25 26 4 0 100 46.972 4.378
252 317 26 27 4 0 100 47.209 4.361
252 317 27 28 4 0 100 48.806 4.375
252 317 28 29 4 0 100 48.112 4.349
252 317 29 30 4 0 100 51.859 4.339
252 317 30 31 4 0 100 47.846 4.341
252 317 31 32 4 0 100 48.833 4.334
252 317 32 33 4 0 100 48.252 4.335
252 317 33 34 4 0 100 51.597 4.327
252 317 34 35 4 0 100 48.690 4.342
252 317 35 36 4 0 100 54.346 4.335
252 317 36 37 4 0 100 56.749 4.321
252 317 37 38 4 0 100 50.330 4.269
252 317 38 39 4 0 100 57.873 4.209
252 317 39 40 4 0 100 81.110 4.319
252 317 40 41 4 0 100 71.985 4.270
252 317 41 42 4 0 100 75.573 4.271
252 317 42 43 4 0 100 85.177 4.274
252 317 43 44 4 0 100 100.000 4.214
252 317 44 100 4 0 100 100.000 4.156
317 400 0 1 4 0 100 100.000 4.485
317 400 1 2 4 0 100 67.251 4.650
317 400 2 3 4 0 100 47.353 4.555
317 400 3 4 4 0 100 44.128 4.579
317 400 4 5 4 0 100 46.274 4.600
317 400 5 6 4 0 100 44.597 4.590
317 400 6 7 4 0 100 45.438 4.607
317 400 7 8 4 0 100 46.101 4.608
317 400 8 9 4 0 100 47.193 4.614
317 400 9 10 4 0 100 46.599 4.613
317 400 10 11 4 0 100 44.336 4.588
317 400 11 12 4 0 100 46.774 4.608
317 400 12 13 4 0 100 47.127 4.601
317 400 13 14 4 0 100 47.684 4.598
317 400 14 15 4 0 100 47.309 4.599
317 400 15 16 4 0 100 48.910 4.594
317 400 16 17 4 0 100 48.019 4.590
317 400 17 18 4 0 100 47.528 4.586
317 400 18 19 4 0 100 46.817 4.574
317 400 19 20 4 0 100 48.486 4.580
317 400 20 21 4 0 100 49.478 4.577
317 400 21 22 4 0 100 48.201 4.577
317 400 22 23 4 0 100 48.823 4.550
317 400 23 24 4 0 100 49.536 4.537
317 400 24 25 4 0 100 47.442 4.548
317 400 25 26 4 0 100 49.675 4.545
317 400 26 27 4 0 100 49.620 4.531
317 400 27 28 4 0 100 48.598 4.522
317 400 28 29 4 0 100 50.376 4.548
317 400 29 30 4 0 100 53.243 4.535
317 400 30 31 4 0 100 50.792 4.497
317 400 31 32 4 0 100 51.977 4.533
317 400 32 33 4 0 100 52.176 4.466
317 400 33 34 4 0 100 55.687 4.498
317 400 34 35 4 0 100 63.400 4.521
317 400 35 36 4 0 100 58.857 4.504
317 400 36 37 4 0 100 63.632 4.537
317 400 37 38 4 0 100 56.443 4.499
317 400 38 39 4 0 100 66.548 4.471
317 400 39 40 4 0 100 93.945 4.565
317 400 40 41 4 0 100 84.672 4.487
317 400 41 42 4 0 100 74.309 4.496
317 400 42 43 4 0 100 100.000 4.517
317 400 43 44 4 0 100 100.000 4.387
317 400 44 100 4 0 100 100.000 4.468
400 503 0 1 4 0 100 100.000 4.841
400 503 1 2 4 0 100 55.117 4.741
400 503 2 3 4 0 100 50.323 4.761
400 503 3 4 4 0 100 49.451 4.760
400 503 4 5 4 0 100 46.330 4.765
400 503 5 6 4 0 100 48.751 4.785
400 503 6 7 4 0 100 48.586 4.773
400 503 7 8 4 0 100 47.533 4.778
400 503 8 9 4 0 100 48.266 4.768
400 503 9 10 4 0 100 50.063 4.786
400 503 10 11 4 0 100 49.070 4.774
400 503 11 12 4 0 100 49.503 4.777
400 503 12 13 4 0 100 48.837 4.771
400 503 13 14 4 0 100 49.843 4.770
400 503 14 15 4 0 100 49.659 4.773
400 503 15 16 4 0 100 51.592 4.763
400 503 16 17 4 0 100 51.016 4.772
400 503 17 18 4 0 100 50.693 4.769
400 503 18 19 4 0 100 50.714 4.762
400 503 19 20 4 0 100 52.053 4.764
400 503 20 21 4 0 100 51.236 4.746
400 503 21 22 4 0 100 53.345 4.757
400 503 22 23 4 0 100 53.176 4.748
400 503 23 24 4 0 100 54.125 4.735
400 503 24 25 4 0 100 55.611 4.735
400 503 25 26 4 0 100 53.732 4.728
400 503 26 27 4 0 100 53.379 4.726
400 503 27 28 4 0 100 53.958 4.720
400 503 28 29 4 0 100 55.049 4.715
400 503 29 30 4 0 100 52.101 4.693
400 503 30 31 4 0 100 59.200 4.703
400 503 31 32 4 0 100 52.592 4.675
400 503 32 33 4 0 100 59.626 4.696
400 503 33 34 4 0 100 61.400 4.703
400 503 34 35 4 0 100 56.751 4.667
400 503 35 36 4 0 100 71.330 4.726
400 503 36 37 4 0 100 69.677 4.733
400 503 37 38 4 0 100 74.000 4.700
400 503 38 39 4 0 100 92.787 4.748
400 503 39 40 4 0 100 100.000 4.653
400 503 40 41 4 0 100 85.916 4.596
