[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nPFCand_QC_ptCut_F_quark}
46 51 29 30 4 0 100 16.998 10.542
46 51 30 31 4 0 100 25.164 11.434
46 51 31 32 4 0 100 21.770 10.988
46 51 32 33 4 0 100 39.403 12.216
46 51 33 34 4 0 100 27.841 12.142
46 51 34 35 4 0 100 50.000 12.117
46 51 35 36 4 0 100 40.909 12.721
46 51 36 37 4 0 100 50.000 13.465
46 51 37 38 4 0 100 44.761 12.309
46 51 38 39 4 0 100 50.000 12.660
46 51 39 40 4 0 100 50.000 11.599
46 51 40 41 4 0 100 1.361 100.000
46 51 41 42 4 0 100 50.000 14.850
46 51 42 43 4 0 100 50.000 12.364
46 51 43 44 4 0 100 1.467 100.000
46 51 44 100 4 0 100 1.506 100.000
51 56 0 1 4 0 100 50.000 4.806
51 56 1 2 4 0 100 15.484 4.990
51 56 2 3 4 0 100 10.450 5.845
51 56 3 4 4 0 100 11.222 6.163
51 56 4 5 4 0 100 10.569 6.554
51 56 5 6 4 0 100 11.292 6.673
51 56 6 7 4 0 100 9.497 6.853
51 56 7 8 4 0 100 9.918 7.065
51 56 8 9 4 0 100 10.640 7.251
51 56 9 10 4 0 100 10.977 7.372
51 56 10 11 4 0 100 10.801 7.523
51 56 11 12 4 0 100 10.930 7.761
51 56 12 13 4 0 100 10.869 8.007
51 56 13 14 4 0 100 11.840 8.152
51 56 14 15 4 0 100 11.557 8.423
51 56 15 16 4 0 100 11.941 8.660
51 56 16 17 4 0 100 12.671 8.813
51 56 17 18 4 0 100 12.480 9.122
51 56 18 19 4 0 100 12.711 9.212
51 56 19 20 4 0 100 12.993 9.374
51 56 20 21 4 0 100 13.209 9.677
51 56 21 22 4 0 100 13.910 9.975
51 56 22 23 4 0 100 13.832 10.128
51 56 23 24 4 0 100 16.413 10.501
51 56 24 25 4 0 100 16.492 10.477
51 56 25 26 4 0 100 18.097 10.389
51 56 26 27 4 0 100 17.767 10.852
51 56 27 28 4 0 100 20.786 11.109
51 56 28 29 4 0 100 26.504 11.004
51 56 29 30 4 0 100 17.559 11.331
51 56 30 31 4 0 100 26.210 12.018
51 56 31 32 4 0 100 22.619 10.599
51 56 32 33 4 0 100 33.795 11.314
51 56 33 34 4 0 100 29.629 12.289
51 56 34 35 4 0 100 50.000 10.686
51 56 35 36 4 0 100 29.361 12.161
51 56 36 37 4 0 100 50.000 12.539
51 56 37 38 4 0 100 50.000 11.353
51 56 38 39 4 0 100 50.000 12.150
51 56 39 40 4 0 100 50.000 13.606
51 56 40 41 4 0 100 50.000 14.448
51 56 42 43 4 0 100 1.549 100.000
51 56 43 44 4 0 100 1.456 100.000
51 56 44 100 4 0 100 1.564 100.000
56 61 0 1 4 0 100 50.000 6.277
56 61 1 2 4 0 100 21.383 5.140
56 61 2 3 4 0 100 11.141 6.478
56 61 3 4 4 0 100 13.057 5.990
56 61 4 5 4 0 100 9.272 6.418
56 61 5 6 4 0 100 10.957 6.601
56 61 6 7 4 0 100 11.077 6.953
56 61 7 8 4 0 100 10.526 7.169
56 61 8 9 4 0 100 9.692 7.330
56 61 9 10 4 0 100 11.462 7.551
56 61 10 11 4 0 100 11.213 7.730
56 61 11 12 4 0 100 11.461 7.998
56 61 12 13 4 0 100 11.748 8.082
56 61 13 14 4 0 100 11.408 8.246
56 61 14 15 4 0 100 11.781 8.484
56 61 15 16 4 0 100 12.691 8.703
56 61 16 17 4 0 100 12.335 9.000
56 61 17 18 4 0 100 13.715 9.161
56 61 18 19 4 0 100 12.823 9.118
56 61 19 20 4 0 100 13.192 9.623
56 61 20 21 4 0 100 14.952 9.905
56 61 21 22 4 0 100 14.397 10.054
56 61 22 23 4 0 100 16.591 10.296
56 61 23 24 4 0 100 17.538 10.220
56 61 24 25 4 0 100 17.088 10.980
56 61 25 26 4 0 100 14.324 10.904
56 61 26 27 4 0 100 20.648 10.903
56 61 27 28 4 0 100 27.226 11.121
56 61 28 29 4 0 100 21.471 11.021
56 61 29 30 4 0 100 19.764 11.093
56 61 30 31 4 0 100 32.166 11.566
56 61 31 32 4 0 100 20.154 11.953
56 61 32 33 4 0 100 43.456 11.899
56 61 33 34 4 0 100 39.644 11.478
56 61 34 35 4 0 100 50.000 12.249
56 61 35 36 4 0 100 41.991 12.981
56 61 36 37 4 0 100 50.000 12.789
56 61 37 38 4 0 100 36.717 11.692
56 61 38 39 4 0 100 50.000 13.230
56 61 39 40 4 0 100 50.000 13.822
56 61 41 42 4 0 100 1.443 100.000
56 61 43 44 4 0 100 1.573 100.000
56 61 44 100 4 0 100 1.690 100.000
61 67 0 1 4 0 100 1.485 100.000
61 67 1 2 4 0 100 22.239 5.473
61 67 2 3 4 0 100 14.814 6.131
61 67 3 4 4 0 100 13.025 6.375
61 67 4 5 4 0 100 11.002 6.752
61 67 5 6 4 0 100 11.056 6.913
61 67 6 7 4 0 100 9.668 7.076
61 67 7 8 4 0 100 10.307 7.252
61 67 8 9 4 0 100 10.668 7.458
61 67 9 10 4 0 100 10.452 7.600
61 67 10 11 4 0 100 10.945 7.864
61 67 11 12 4 0 100 10.656 8.151
61 67 12 13 4 0 100 11.480 8.303
61 67 13 14 4 0 100 11.955 8.630
61 67 14 15 4 0 100 12.354 8.730
61 67 15 16 4 0 100 12.104 8.853
61 67 16 17 4 0 100 13.214 9.120
61 67 17 18 4 0 100 14.221 9.413
61 67 18 19 4 0 100 13.295 9.437
61 67 19 20 4 0 100 15.050 9.914
61 67 20 21 4 0 100 14.530 9.914
61 67 21 22 4 0 100 15.320 10.185
61 67 22 23 4 0 100 15.862 10.336
61 67 23 24 4 0 100 16.507 10.486
61 67 24 25 4 0 100 15.026 10.752
61 67 25 26 4 0 100 17.498 10.828
61 67 26 27 4 0 100 18.983 11.540
61 67 27 28 4 0 100 19.635 11.399
61 67 28 29 4 0 100 19.819 11.512
61 67 29 30 4 0 100 21.128 11.875
61 67 30 31 4 0 100 41.079 12.487
61 67 31 32 4 0 100 23.921 11.711
61 67 32 33 4 0 100 25.292 12.806
61 67 33 34 4 0 100 31.444 12.325
61 67 34 35 4 0 100 50.000 12.739
61 67 35 36 4 0 100 50.000 11.611
61 67 36 37 4 0 100 29.684 12.430
61 67 37 38 4 0 100 40.031 12.550
61 67 38 39 4 0 100 50.000 12.817
61 67 39 40 4 0 100 50.000 12.399
61 67 40 41 4 0 100 1.320 100.000
61 67 41 42 4 0 100 50.000 15.279
61 67 42 43 4 0 100 1.562 100.000
61 67 43 100 4 0 100 1.519 100.000
67 73 1 2 4 0 100 23.798 6.086
67 73 2 3 4 0 100 10.259 6.632
67 73 3 4 4 0 100 11.153 6.584
67 73 4 5 4 0 100 10.533 6.810
67 73 5 6 4 0 100 10.873 6.969
67 73 6 7 4 0 100 9.805 7.146
67 73 7 8 4 0 100 10.310 7.417
67 73 8 9 4 0 100 11.170 7.737
67 73 9 10 4 0 100 10.359 7.787
67 73 10 11 4 0 100 11.148 8.206
67 73 11 12 4 0 100 11.395 8.205
67 73 12 13 4 0 100 11.123 8.473
67 73 13 14 4 0 100 11.657 8.749
67 73 14 15 4 0 100 12.719 8.824
67 73 15 16 4 0 100 12.161 9.077
67 73 16 17 4 0 100 12.125 9.319
67 73 17 18 4 0 100 13.127 9.435
67 73 18 19 4 0 100 13.294 9.617
67 73 19 20 4 0 100 14.377 9.868
67 73 20 21 4 0 100 14.309 10.124
67 73 21 22 4 0 100 13.585 10.233
67 73 22 23 4 0 100 16.365 10.508
67 73 23 24 4 0 100 17.616 10.594
67 73 24 25 4 0 100 14.993 10.781
67 73 25 26 4 0 100 25.426 11.017
67 73 26 27 4 0 100 18.151 10.818
67 73 27 28 4 0 100 23.832 11.480
67 73 28 29 4 0 100 28.633 12.046
67 73 29 30 4 0 100 22.204 11.577
67 73 30 31 4 0 100 26.472 12.330
67 73 31 32 4 0 100 40.831 12.811
67 73 32 33 4 0 100 50.000 12.225
67 73 33 34 4 0 100 50.000 12.685
67 73 34 35 4 0 100 44.962 12.343
67 73 35 36 4 0 100 50.000 13.608
67 73 36 37 4 0 100 50.000 12.154
67 73 37 38 4 0 100 50.000 13.614
67 73 38 39 4 0 100 50.000 10.287
67 73 39 40 4 0 100 1.416 100.000
67 73 40 41 4 0 100 50.000 14.721
67 73 41 42 4 0 100 1.454 100.000
67 73 42 43 4 0 100 1.414 100.000
67 73 43 100 4 0 100 1.412 100.000
73 81 0 1 4 0 100 50.000 5.877
73 81 1 2 4 0 100 15.134 6.151
73 81 2 3 4 0 100 15.410 6.187
73 81 3 4 4 0 100 13.931 6.790
73 81 4 5 4 0 100 11.413 6.982
73 81 5 6 4 0 100 10.655 7.209
73 81 6 7 4 0 100 10.984 7.420
73 81 7 8 4 0 100 10.544 7.537
